rank	commit_utc	head	branch
001	2026-03-23T18:05:17Z	3db4c250d6a1df534c29a0e89a8966de571a70c7	archive/2026-04-pre-forgejo
002	2026-09-06T13:52:26Z	8c3b9944ff0ecee0c25d89b312ca005729f51abb	claude/avx512-zen5-compiler-perf-8efb1e
003	2026-09-06T14:04:24Z	fe34ccd5d9262e4a63c6c8fe60aa5c66ed6cce28	audit/2026-09-06-publication
004	2026-09-06T17:17:42Z	6c814e76d3406b48c8418d4f537209ed18754835	work/2026-09-06-issue-batch-validation
005	2026-09-06T22:40:32Z	fbb2191e5d96e69a73ddda335a68db6701d83e46	work/2026-09-06-integration-gates
006	2026-09-07T13:35:11Z	7432a44761af209a27359fb80080bf3a992fc71d	agent/inspect-190-195
007	2026-09-07T22:08:01Z	7ed1678d1bf8df9aae34deebf86d2a021088a8b4	agent/tackle-190-195-control
008	2026-09-07T22:08:38Z	6f96c2ba5297bd46892f6c49333b4c811f2dc8f9	fix/arena-rewind-watermark-235
009	2026-09-07T22:10:13Z	c940f4af06ec90c4daec48a4affbc01c35643c09	audit/lexer-parser-source-20260907
010	2026-09-07T22:10:36Z	ccfe0b75f4bae1d7f2ad6b639d008272433bc873	work/llvm-222-validation
011	2026-09-07T22:10:43Z	bb25896d405551817be91da5edf56b267ce4b2b3	fix/llvm-signed-minimum-constants-222
012	2026-09-07T22:12:51Z	bc69d63cf5c7db607bd3729a365ea89c9b6c5f0a	audit/canonical-ir-source-9834a42
013	2026-09-07T22:13:04Z	3e3ad7a835593d3f0be30bcf43b6850d2b775124	audit/correctness-20260907-source
014	2026-09-07T22:14:05Z	7b0e23ea24cc3233a91a67386122f85fdb6b1f7b	audit/allocation-transport-20260907
015	2026-09-07T22:14:22Z	513c7e6a48000c6439210804baaebcc1cfd241f0	audit/publish-parser-frames-20260907
016	2026-09-07T22:19:28Z	20717f706b1bdd4e8f60e61670f042754d12937f	fix/host-portability-audit
017	2026-09-07T22:27:51Z	27ecdf9d7d3a82b0d4f7caa2fcb87795ca32278c	audit/fast-ra-source-9834a42
018	2026-09-07T22:32:55Z	4025e70ef29921188327ef3cd4888c898c2e86d1	ci/actions-audit-observations-20260907
019	2026-09-07T22:38:40Z	bdc5c9f8826ce5f81d1cd3cd088c86ec1922715b	audit/ub-source-20260907
020	2026-09-07T22:42:31Z	82c6437d1b4a61767d94dfef6efbda53ee628535	refactor/canonical-complex-values
021	2026-09-07T22:45:47Z	44d4d5f242696362bb9896db41da84e31496ad84	work/llvm-222-candidate
022	2026-09-07T22:46:07Z	43f78c7ce1622653376b0c1eced3ba1b7a85556a	audit/ub-combined-candidate
023	2026-09-07T22:46:27Z	733d386a32c11641374a6b07cd8f3354584a5865	audit/2026-09-07-correctness-source
024	2026-09-07T22:47:28Z	c0f944231b32f574bec4a4054df5c021c34c2270	work/strict-ir-verifier-source
025	2026-09-07T22:47:32Z	c5f7232951a6549ab8bc6ffab74341eeaf8ae818	test/metamorphic-regressions
026	2026-09-07T22:51:13Z	44eececdee0bb6616a94dd7e32cb29e8a0d77165	audit/staged-263-20260907
027	2026-09-07T22:52:23Z	ebe65ff5d98c10c6980ced059dbda5d23c575788	bench/compiler-throughput-suite
028	2026-09-07T23:41:41Z	b4bcaf05c2edc33ed0343d8af324c23205f3b908	work/audit-191-rebase-publish-20260907
029	2026-09-08T00:17:40Z	53ea57c1a755411b3b300ebf9b025f97cb5866aa	work/self-host-audit-20260907
030	2026-09-08T00:19:11Z	a8107f8ea147a1e2991cac7685072c13fb70442a	audit/pipeline-correctness-ebfdd117
031	2026-09-08T00:23:22Z	e4bad175a2236c28cc2643f3ff5b3db429b94a59	audit/prepared-canonical-entry-layout-main88
032	2026-09-08T00:29:24Z	f7811aaad977a5d69af13cb160e567d14862ac20	audit/prepared-canonical-entry-layout
033	2026-09-08T00:47:11Z	e7782d42c78519334b9c5c40a58fe680c16dd41d	audit/prepared-parameter-local-alignment
034	2026-09-08T00:48:11Z	c69faa8b878c620cc1c5b20ad9f9a47791cb5dc1	fix/x86-evex-broadcast-disp8-audit
035	2026-09-08T00:48:11Z	0285c4d1f28570d3456c1d19d0531e2412d56914	fix/x86-rex2-memory-width-audit
036	2026-09-08T00:50:43Z	14ebc9aab9fd8f6cb12043db28a63c120a399a5c	audit/parameter-matrix-238-14ebc9aa
