fixture	target	fixture_sha256	applicability	reason
tests/basic_c_aarch64_atomic_pair.c	x86_64-apple-ios	c7655dbdd6227cec53d270035fac88e544cf1e95edaa8cdbddd861c4a0d9f033	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_atomic_pair.c	x86_64-apple-macos	c7655dbdd6227cec53d270035fac88e544cf1e95edaa8cdbddd861c4a0d9f033	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_atomic_pair.c	x86_64-linux-android	c7655dbdd6227cec53d270035fac88e544cf1e95edaa8cdbddd861c4a0d9f033	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_atomic_pair.c	x86_64-pc-windows-msvc	c7655dbdd6227cec53d270035fac88e544cf1e95edaa8cdbddd861c4a0d9f033	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_atomic_pair.c	x86_64-unknown-linux-gnu	c7655dbdd6227cec53d270035fac88e544cf1e95edaa8cdbddd861c4a0d9f033	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_atomic_pair.c	x86_64-unknown-uefi	c7655dbdd6227cec53d270035fac88e544cf1e95edaa8cdbddd861c4a0d9f033	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_atomic_update_pair.c	x86_64-apple-ios	5d695188f5fc1d0ef36bd8551e94b6aa7989db8cae8c1214b491e4e162b0ad7a	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_atomic_update_pair.c	x86_64-apple-macos	5d695188f5fc1d0ef36bd8551e94b6aa7989db8cae8c1214b491e4e162b0ad7a	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_atomic_update_pair.c	x86_64-linux-android	5d695188f5fc1d0ef36bd8551e94b6aa7989db8cae8c1214b491e4e162b0ad7a	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_atomic_update_pair.c	x86_64-pc-windows-msvc	5d695188f5fc1d0ef36bd8551e94b6aa7989db8cae8c1214b491e4e162b0ad7a	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_atomic_update_pair.c	x86_64-unknown-linux-gnu	5d695188f5fc1d0ef36bd8551e94b6aa7989db8cae8c1214b491e4e162b0ad7a	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_atomic_update_pair.c	x86_64-unknown-uefi	5d695188f5fc1d0ef36bd8551e94b6aa7989db8cae8c1214b491e4e162b0ad7a	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_float_to_i128.c	x86_64-apple-ios	6fe6033ca2aa8081323c07d64aa5590766f2bbcd5c484cc31ce5fed9ee4bd14b	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_float_to_i128.c	x86_64-apple-macos	6fe6033ca2aa8081323c07d64aa5590766f2bbcd5c484cc31ce5fed9ee4bd14b	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_float_to_i128.c	x86_64-linux-android	6fe6033ca2aa8081323c07d64aa5590766f2bbcd5c484cc31ce5fed9ee4bd14b	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_float_to_i128.c	x86_64-pc-windows-msvc	6fe6033ca2aa8081323c07d64aa5590766f2bbcd5c484cc31ce5fed9ee4bd14b	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_float_to_i128.c	x86_64-unknown-linux-gnu	6fe6033ca2aa8081323c07d64aa5590766f2bbcd5c484cc31ce5fed9ee4bd14b	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_float_to_i128.c	x86_64-unknown-uefi	6fe6033ca2aa8081323c07d64aa5590766f2bbcd5c484cc31ce5fed9ee4bd14b	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_i128.c	x86_64-apple-ios	53ee3ea1e04912ce5e68ca22334a2f590dd2a2bf2988954e27e4b3e9d96b14eb	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_i128.c	x86_64-apple-macos	53ee3ea1e04912ce5e68ca22334a2f590dd2a2bf2988954e27e4b3e9d96b14eb	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_i128.c	x86_64-linux-android	53ee3ea1e04912ce5e68ca22334a2f590dd2a2bf2988954e27e4b3e9d96b14eb	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_i128.c	x86_64-pc-windows-msvc	53ee3ea1e04912ce5e68ca22334a2f590dd2a2bf2988954e27e4b3e9d96b14eb	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_i128.c	x86_64-unknown-linux-gnu	53ee3ea1e04912ce5e68ca22334a2f590dd2a2bf2988954e27e4b3e9d96b14eb	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_i128.c	x86_64-unknown-uefi	53ee3ea1e04912ce5e68ca22334a2f590dd2a2bf2988954e27e4b3e9d96b14eb	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_i128_to_float.c	x86_64-apple-ios	7a8fa98809691916bb3d250d822e6733e9852e59238110c0a976fd040894479e	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_i128_to_float.c	x86_64-apple-macos	7a8fa98809691916bb3d250d822e6733e9852e59238110c0a976fd040894479e	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_i128_to_float.c	x86_64-linux-android	7a8fa98809691916bb3d250d822e6733e9852e59238110c0a976fd040894479e	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_i128_to_float.c	x86_64-pc-windows-msvc	7a8fa98809691916bb3d250d822e6733e9852e59238110c0a976fd040894479e	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_i128_to_float.c	x86_64-unknown-linux-gnu	7a8fa98809691916bb3d250d822e6733e9852e59238110c0a976fd040894479e	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_i128_to_float.c	x86_64-unknown-uefi	7a8fa98809691916bb3d250d822e6733e9852e59238110c0a976fd040894479e	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_zero_counts.c	x86_64-apple-ios	10d281b40321bd9addaa877d3a8794e9ba7ebb36db9d15fd5006eb442a9b94d3	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_zero_counts.c	x86_64-apple-macos	10d281b40321bd9addaa877d3a8794e9ba7ebb36db9d15fd5006eb442a9b94d3	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_zero_counts.c	x86_64-linux-android	10d281b40321bd9addaa877d3a8794e9ba7ebb36db9d15fd5006eb442a9b94d3	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_zero_counts.c	x86_64-pc-windows-msvc	10d281b40321bd9addaa877d3a8794e9ba7ebb36db9d15fd5006eb442a9b94d3	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_zero_counts.c	x86_64-unknown-linux-gnu	10d281b40321bd9addaa877d3a8794e9ba7ebb36db9d15fd5006eb442a9b94d3	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_aarch64_zero_counts.c	x86_64-unknown-uefi	10d281b40321bd9addaa877d3a8794e9ba7ebb36db9d15fd5006eb442a9b94d3	platform-inapplicable	fixture-requires-aarch64-target
tests/basic_c_asm_memory_operand_no_load.c	aarch64-apple-ios	fb77e872151d25a04c01046fdbbb1797f063c16f9e8568f35e48edb5fb9c74cb	platform-inapplicable	fixture-requires-x86-64-linux-target
tests/basic_c_asm_memory_operand_no_load.c	aarch64-apple-macos	fb77e872151d25a04c01046fdbbb1797f063c16f9e8568f35e48edb5fb9c74cb	platform-inapplicable	fixture-requires-x86-64-linux-target
tests/basic_c_asm_memory_operand_no_load.c	aarch64-linux-android	fb77e872151d25a04c01046fdbbb1797f063c16f9e8568f35e48edb5fb9c74cb	platform-inapplicable	fixture-requires-x86-64-linux-target
tests/basic_c_asm_memory_operand_no_load.c	aarch64-pc-windows-msvc	fb77e872151d25a04c01046fdbbb1797f063c16f9e8568f35e48edb5fb9c74cb	platform-inapplicable	fixture-requires-x86-64-linux-target
