fixture	target	frontend_lowering	PIC	allocator	admission	reason
tests/basic_c_aarch64_platform_variadic.c	x86_64-unknown-uefi	direct-ssa	0	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_aarch64_platform_variadic.c	x86_64-unknown-uefi	direct-ssa	0	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_aarch64_platform_variadic.c	x86_64-unknown-uefi	direct-ssa	0	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_aarch64_platform_variadic.c	x86_64-unknown-uefi	direct-ssa	1	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_aarch64_platform_variadic.c	x86_64-unknown-uefi	direct-ssa	1	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_aarch64_platform_variadic.c	x86_64-unknown-uefi	direct-ssa	1	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_aarch64_platform_variadic.c	x86_64-unknown-uefi	local-backed-canonical	0	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_aarch64_platform_variadic.c	x86_64-unknown-uefi	local-backed-canonical	0	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_aarch64_platform_variadic.c	x86_64-unknown-uefi	local-backed-canonical	0	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_aarch64_platform_variadic.c	x86_64-unknown-uefi	local-backed-canonical	1	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_aarch64_platform_variadic.c	x86_64-unknown-uefi	local-backed-canonical	1	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_aarch64_platform_variadic.c	x86_64-unknown-uefi	local-backed-canonical	1	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-ios	direct-ssa	0	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-ios	direct-ssa	0	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-ios	direct-ssa	0	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-ios	direct-ssa	1	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-ios	direct-ssa	1	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-ios	direct-ssa	1	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-ios	local-backed-canonical	0	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-ios	local-backed-canonical	0	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-ios	local-backed-canonical	0	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-ios	local-backed-canonical	1	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-ios	local-backed-canonical	1	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-ios	local-backed-canonical	1	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-macos	direct-ssa	0	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-macos	direct-ssa	0	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-macos	direct-ssa	0	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-macos	direct-ssa	1	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-macos	direct-ssa	1	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-macos	direct-ssa	1	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-macos	local-backed-canonical	0	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-macos	local-backed-canonical	0	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-macos	local-backed-canonical	0	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-macos	local-backed-canonical	1	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-macos	local-backed-canonical	1	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-apple-macos	local-backed-canonical	1	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-linux-android	direct-ssa	0	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-linux-android	direct-ssa	0	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-linux-android	direct-ssa	0	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-linux-android	direct-ssa	1	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-linux-android	direct-ssa	1	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-linux-android	direct-ssa	1	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-linux-android	local-backed-canonical	0	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-linux-android	local-backed-canonical	0	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-linux-android	local-backed-canonical	0	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-linux-android	local-backed-canonical	1	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-linux-android	local-backed-canonical	1	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-linux-android	local-backed-canonical	1	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-pc-windows-msvc	direct-ssa	0	fast	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-pc-windows-msvc	direct-ssa	0	mir-stack	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-pc-windows-msvc	direct-ssa	0	quality	admitted-supported	supported-object-zero-fallback
tests/basic_c_atomic_asm.c	x86_64-pc-windows-msvc	direct-ssa	1	fast	admitted-supported	supported-object-zero-fallback
