workload,phase,pair,warmup,variant,wallNs,userCpuNs,systemCpuNs,maxRssKiB,instructionsUser,sha256
deep-1023,timing,-2,True,before,13829241,10756000,2900000,55764,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,-2,True,after,12885247,9799000,2926000,56112,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,-1,True,after,12070744,8905000,2975000,56160,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,-1,True,before,12075746,7946000,3952000,55800,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,0,False,before,12600037,8591000,3837000,55772,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,0,False,after,13143601,9942000,2980000,56136,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,1,False,after,11980063,8868000,2964000,56140,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,1,False,before,12548781,11378000,1019000,55792,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,2,False,before,11859939,9594000,2120000,55508,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,2,False,after,12516106,9223000,3058000,55944,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,3,False,after,12972021,9833000,2943000,56104,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,3,False,before,11995794,8902000,2972000,55836,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,4,False,before,12187296,9027000,2991000,55544,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,4,False,after,11904763,7819000,3861000,55940,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,5,False,after,11992020,9901000,1961000,56092,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,5,False,before,13175201,9309000,3650000,55760,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,6,False,before,13229585,13088000,0,56044,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,6,False,after,12946102,7817000,4912000,56092,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,7,False,after,12163084,8996000,2980000,56148,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,7,False,before,11711545,10556000,964000,55916,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,8,False,before,12691442,9390000,3131000,55708,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,timing,8,False,after,13528095,10269000,3052000,55944,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,counter,0,False,before,,,,,94721151,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,counter,0,False,after,,,,,94748156,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,counter,1,False,after,,,,,94747790,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,counter,1,False,before,,,,,94721201,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,counter,2,False,before,,,,,94720689,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
deep-1023,counter,2,False,after,,,,,94748236,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f
operations,timing,-2,True,before,15176608,10975000,3993000,59732,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,-2,True,after,14987146,9879000,4932000,60176,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,-1,True,after,15161367,11989000,2987000,60356,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,-1,True,before,15440467,11197000,4042000,59704,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,0,False,before,15341698,13122000,2021000,59628,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,0,False,after,14996442,10853000,3945000,60436,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,1,False,after,15010288,10881000,3952000,60240,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,1,False,before,14817977,12697000,1942000,59924,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,2,False,before,14872546,10751000,3915000,59980,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,2,False,after,15056787,12876000,1994000,60224,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,3,False,after,14924701,10830000,3845000,60284,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,3,False,before,14319521,13136000,996000,59928,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,4,False,before,14669460,12413000,2075000,59992,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,4,False,after,13601412,12402000,1029000,60276,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,5,False,after,14801385,13563000,1046000,60196,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,5,False,before,14180140,11956000,2003000,59684,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,6,False,before,14315570,10104000,4035000,59892,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,6,False,after,14013254,9938000,3943000,60224,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,7,False,after,14562314,10535000,3806000,60424,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,7,False,before,15201805,12025000,2997000,59632,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,8,False,before,15128555,11913000,2961000,59960,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,timing,8,False,after,14344595,11111000,3006000,60272,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,counter,0,False,before,,,,,107571694,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,counter,0,False,after,,,,,107589387,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,counter,1,False,after,,,,,107590752,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,counter,1,False,before,,,,,107572159,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,counter,2,False,before,,,,,107571877,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
operations,counter,2,False,after,,,,,107589653,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013
shallow-2048,timing,-2,True,before,47270521,41953000,4995000,137968,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,timing,-2,True,after,51668468,43260000,8063000,141972,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
