case,variant,sample,wall_ns,cpu_seconds,instructions,counter_running_percent
compiler,before,0,4436800739,2.7362299999999973,11917685433,100.00
compiler,after,0,5364511206,2.804596000000001,11918437418,100.00
compiler,after,1,5322590989,2.669784000000001,11918421525,100.00
compiler,before,1,5804970153,2.861123000000001,11917686606,100.00
compiler,before,2,5811109774,2.9454629999999957,11917668447,100.00
compiler,after,2,5512587969,2.682539999999995,11918424112,100.00
compiler,after,3,6067072902,2.913653000000007,11918408077,100.00
compiler,before,3,5460108197,2.6380050000000006,11917672584,100.00
compiler,before,4,5492764544,2.666763999999994,11917672622,100.00
compiler,after,4,5652129837,2.777979999999997,11918442009,100.00
compiler,after,5,5560483549,2.7941119999999975,11918458536,100.00
compiler,before,5,5570506972,2.7111330000000096,11917720053,100.00
compiler,before,6,5924478560,2.940882999999995,11917685296,100.00
compiler,after,6,5632857700,2.8275950000000023,11918458887,100.00
operations,before,0,71572152,0.04052200000000905,133740444,100.00
operations,after,0,72557209,0.040338999999991465,133770847,100.00
operations,after,1,69014111,0.03997200000000056,133771292,100.00
operations,before,1,66943835,0.03781700000000621,133740154,100.00
operations,before,2,64916682,0.03778799999999061,133740017,100.00
operations,after,2,65856639,0.03798500000000882,133770566,100.00
operations,after,3,66075789,0.037860999999991485,133770754,100.00
operations,before,3,67615998,0.03912200000000032,133740180,100.00
operations,before,4,67639275,0.03922599999999399,133740168,100.00
operations,after,4,66729977,0.0383029999999982,133771155,100.00
operations,after,5,66187886,0.03740599999999539,133770984,100.00
operations,before,5,66267278,0.038379999999998304,133739852,100.00
operations,before,6,63166972,0.03692699999999949,133739492,100.00
operations,after,6,66574942,0.037601999999988145,133770814,100.00
operations,after,7,67652037,0.039112000000010916,133771153,100.00
operations,before,7,68289755,0.039386999999997396,133739558,100.00
operations,before,8,72894535,0.04156299999999469,133739849,100.00
operations,after,8,76579920,0.044119000000003794,133770584,100.00
operations,after,9,80158995,0.04633200000001114,133770989,100.00
operations,before,9,71981041,0.04176299999999378,133739838,100.00
operations,before,10,69472172,0.03900900000001295,133740263,100.00
operations,after,10,66913113,0.03843099999998989,133770830,100.00
operations,after,11,64218734,0.03707099999999919,133770709,100.00
operations,before,11,66032870,0.03790100000001484,133739636,100.00
operations,before,12,66545482,0.03814799999999874,133739658,100.00
operations,after,12,69862746,0.039483000000007706,133770974,100.00
operations,after,13,63935475,0.03743100000000421,133770561,100.00
operations,before,13,68634141,0.039229000000009506,133740345,100.00
operations,before,14,65187853,0.037078000000000166,133740309,100.00
operations,after,14,62521717,0.03593800000000602,133770959,100.00
operations,after,15,66100183,0.03690999999999711,133770708,100.00
operations,before,15,66084398,0.03751600000000899,133740062,100.00
operations,before,16,66747647,0.037838000000000704,133739734,100.00
