workload,phase,pair,warmup,variant,wallNs,userCpuNs,systemCpuNs,maxRssKiB,instructionsUser,sha256,command
deep-1023,timing,-2,True,before,68865884,26530000,6632000,55740,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing--2-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,timing,-2,True,after,62848181,25552000,4821000,56088,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing--2-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,timing,-1,True,after,60028251,25592000,3414000,56120,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing--1-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,timing,-1,True,before,55714077,19445000,7074000,55596,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing--1-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,timing,0,False,before,49728666,17608000,5860000,55864,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing-0-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,timing,0,False,after,46127333,17616000,5192000,56040,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing-0-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,timing,1,False,after,45972528,15546000,7169000,56156,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing-1-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,timing,1,False,before,43093344,20021000,1175000,55812,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing-1-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,timing,2,False,before,61267067,21428000,8737000,55832,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing-2-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
deep-1023,timing,2,False,after,44792885,19013000,2720000,56184,,38a042d1e2d74068590651125cc224df6cc69bd37633db65cf2f6493b463fe9f,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-deep-1023-timing-2-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/deep-1023.c"", ""-o"", ""CORPUS/comparison.o""]"
