workload,series,pair,compiler,wall_s,user_s,system_s,rss_kib,minor_faults,major_faults,sha256
operations,before_pause,-2,baseline,0.4725862330014934,0.11912199999999999,0.044469999999999996,29824,4101,2,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,-2,candidate,0.507425196999975,0.114033,0.047099999999999996,28084,4181,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,-1,candidate,0.41330857099819696,0.128446,0.031089,28484,2210,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,-1,baseline,0.582745835003152,0.11910899999999999,0.046036,37408,3946,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,0,candidate,0.5703665100008948,0.113465,0.041853999999999995,34036,4124,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,0,baseline,0.4903725390031468,0.11066999999999999,0.048617999999999995,37556,3971,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,1,candidate,0.5190955350044533,0.121652,0.038124,39528,3929,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,1,baseline,0.412552626003162,0.11820499999999999,0.041784999999999996,50364,3653,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,2,baseline,0.5970641860039905,0.12945399999999999,0.042824,50616,3668,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,2,candidate,0.4829616700008046,0.11333599999999999,0.052953,43128,3818,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,3,baseline,0.5281311329963501,0.117604,0.044815,46896,3751,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,3,candidate,0.6468866209979751,0.11398699999999999,0.045785,45228,3832,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,4,candidate,0.3456092579945107,0.075347,0.032581,43192,3817,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,4,baseline,0.22249386300245533,0.057372,0.023749,46544,3713,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,5,candidate,0.11861654799577082,0.053387,0.020693,43104,3821,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,5,baseline,0.14691503799986094,0.055584999999999996,0.015885,46548,3713,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,6,candidate,0.16735602699918672,0.049296,0.021228999999999998,47004,3750,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,6,baseline,0.15802722300577443,0.046211999999999996,0.020624,44748,3758,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,7,baseline,0.20646620100160362,0.050792,0.015898,44564,3713,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,7,candidate,0.19102625099912984,0.045777,0.019864,45084,3804,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,8,candidate,0.18322396100120386,0.047531,0.018494999999999998,45232,3829,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,8,baseline,0.202361628995277,0.045716,0.018212,46556,3708,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,9,baseline,0.11512676600250416,0.045489999999999996,0.019333,48944,3750,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,9,candidate,0.07191564299864694,0.046522999999999995,0.018746,41280,3852,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,10,baseline,0.13811524799530162,0.04325,0.017648,44736,3236,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,10,candidate,0.20292771099775564,0.049712,0.014615999999999999,28128,4184,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,11,candidate,0.4752237499997136,0.046606999999999996,0.022234,28196,4185,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,11,baseline,0.10307294599624583,0.04779,0.018269999999999998,39372,3925,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,12,baseline,0.1662466330017196,0.051945,0.016717,37168,3923,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,12,candidate,1.5959723230043892,0.047799999999999995,0.021854,37876,3526,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,13,baseline,0.18043912300345255,0.041514999999999996,0.017783999999999998,50496,3659,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,13,candidate,0.18547418100206414,0.046735,0.011892999999999999,47316,3821,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,14,candidate,0.22983925500011537,0.045433,0.012993999999999999,49036,3751,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,14,baseline,0.07637845400313381,0.044912,0.011458,50272,3655,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,15,candidate,0.07835846600210061,0.036048,0.018869999999999998,28232,4187,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,15,baseline,0.10526521900465013,0.037323999999999996,0.016264,50560,3665,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,16,baseline,0.2834092429984594,0.03236,0.018494,46824,3750,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,16,candidate,0.09889457700046478,0.041489,0.0101,44860,2210,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,17,baseline,0.12202474799414631,0.0392,0.01444,51804,3447,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,17,candidate,0.27929310200124746,0.039712,0.013940999999999999,41232,3852,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,18,candidate,0.08259937500406522,0.034607,0.018827999999999998,40140,4019,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,18,baseline,0.05737838599452516,0.045466,0.009089999999999999,42852,3762,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,19,baseline,0.16117426900018472,0.046726,0.007221999999999999,45184,3900,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,19,candidate,0.12910509899666067,0.035743,0.019719,47024,3724,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,20,baseline,0.1071531550041982,0.031487,0.016928,46656,3716,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,20,candidate,0.09519131700653816,0.040649,0.013571999999999999,45124,3803,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,21,candidate,0.09807377099787118,0.036778,0.013559,47212,3795,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,21,baseline,0.1025768129984499,0.034503,0.016218,48572,3708,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,22,baseline,0.09022739800275303,0.035727999999999996,0.014745999999999999,48472,3718,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,22,candidate,0.07697805199859431,0.037494,0.013526999999999999,45096,3803,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,23,candidate,0.09943530299642589,0.040712,0.013496,45024,3803,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,23,baseline,0.0961306000026525,0.037940999999999996,0.012622999999999999,46504,3712,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,counter,baseline,0.18768565700156614,0.042686999999999996,0.033534999999999995,29476,5481,7,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
operations,before_pause,counter,candidate,0.23235923099855427,0.041895999999999996,0.03006,28140,5577,0,9137e902380ee742553be2877c0626db968a6b627fb7fa4ec6f536283dcb53c3
allocation,before_pause,-2,baseline,0.1452827539978898,0.032251,0.011807,45420,3370,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,-2,candidate,0.10651957400114043,0.028631999999999998,0.009519,35452,1389,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,-1,candidate,0.12148794100357918,0.031128,0.0146,43772,3474,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,-1,baseline,0.08187476499733748,0.033969,0.010346,45472,2881,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
allocation,before_pause,0,candidate,0.12419161399884615,0.036191999999999995,0.010516,44004,3489,0,74a7fa082e3edcc984c0c06658016e0abfb0cf42f58ce88d27be723973d97f50
