case,variant,sample,wall_ns,cpu_seconds,peak_rss_kib,object_bytes,instructions,counter_running_percent
compiler-fast,before,0,1700488611,1.69371,966500,36122352,11784361384,100.0
compiler-fast,after,0,1687925053,1.680911,965164,36122304,11783613470,100.0
compiler-fast,after,1,1678343831,1.6711799999999999,967388,36122304,11783598829,100.0
compiler-fast,before,1,1723988236,1.717371,966264,36122352,11784368497,100.0
compiler-fast,before,2,1704526440,1.697416,966436,36122352,11784383120,100.0
compiler-fast,after,2,2240835353,1.6894969999999998,971608,36122304,11783596208,100.0
compiler-fast,after,3,2017179313,1.666786,968160,36122304,11783504092,100.0
compiler-fast,before,3,1711333795,1.704325,966332,36122352,11784381756,100.0
compiler-fast,before,4,1787073711,1.77958,967092,36122352,11784381318,100.0
compiler-fast,after,4,1684227629,1.6770709999999998,967708,36122304,11783611905,100.0
compiler-fast,after,5,1880691227,1.87093,967336,36122304,11783610294,100.0
compiler-fast,before,5,2457674959,2.444867,966536,36122352,11784381189,100.0
compiler-fast,before,6,4133245265,3.098304,969084,36122352,11784273822,100.0
compiler-fast,after,6,4484319768,3.2085,979440,36122304,11783612083,100.0
compiler-fast,after,7,3059746313,3.0412489999999996,977484,36122304,11783611327,100.0
compiler-fast,before,7,3036608229,3.016351,976920,36122352,11784380498,100.0
compiler-fast,before,8,2957788140,2.9377060000000004,978608,36122352,11784380485,100.0
compiler-fast,after,8,2916781745,2.8981209999999997,977344,36122304,11783608194,100.0
operations-fast,before,0,50105954,0.049173,59108,35976,107184765,100.0
operations-fast,after,0,50492177,0.049663,60028,35976,107184592,100.0
operations-fast,after,1,51048126,0.049996,59988,35976,107184987,100.0
operations-fast,before,1,56670302,0.054621,58912,35976,107185528,100.0
operations-fast,before,2,56497954,0.055291999999999994,58944,35976,107185127,100.0
operations-fast,after,2,56906488,0.055552,60308,35976,107185152,100.0
operations-fast,after,3,57046593,0.055529999999999996,60460,35976,107185055,100.0
operations-fast,before,3,61335676,0.06007799999999999,59216,35976,107184797,100.0
operations-fast,before,4,62760206,0.061635999999999996,59152,35976,107185113,100.0
operations-fast,after,4,63560214,0.061957,59980,35976,107185251,100.0
operations-fast,after,5,63382255,0.062079999999999996,60240,35976,107184975,100.0
operations-fast,before,5,69166170,0.067466,59232,35976,107184858,100.0
operations-fast,before,6,67112017,0.06572399999999999,58896,35976,107185250,100.0
operations-fast,after,6,65038534,0.06349199999999999,60500,35976,107184340,100.0
operations-fast,after,7,69133747,0.06186899999999999,60700,35976,107184967,100.0
operations-fast,before,7,76934624,0.075558,59060,35976,107186176,100.0
operations-fast,before,8,59911745,0.058789999999999995,59144,35976,107184419,100.0
operations-fast,after,8,56481900,0.0552,60672,35976,107184455,100.0
