0	tiny_startup/none
1	tiny_startup/mir-stack
2	tiny_startup/fast
3	tiny_startup/quality
4	large_function/none
5	large_function/mir-stack
6	large_function/fast
7	large_function/quality
8	many_functions/none
9	many_functions/mir-stack
10	many_functions/fast
11	many_functions/quality
12	symbol_table/none
13	symbol_table/mir-stack
14	symbol_table/fast
15	symbol_table/quality
16	control_flow/none
17	control_flow/mir-stack
18	control_flow/fast
19	control_flow/quality
20	backend_pressure/none
21	backend_pressure/mir-stack
22	backend_pressure/fast
23	backend_pressure/quality
