target,pair,variant,warmup,wall_ns,user_s,system_s,peak_rss_kib,object_size,object_sha256
x86_64-unknown-linux-gnu,-2,baseline,True,196569509,0.08178099999999999,0.091663,42628,805248,3ced7d599380e87603fd4d486a668d7b3694da608c49ef00ccc072783485a1d7
x86_64-unknown-linux-gnu,-2,candidate,True,112670977,0.06956,0.03734,42748,797824,65f5a8cd2916470b0a53a4c4753a2ac375d5d4f7fede871b441e303b3eabb575
x86_64-unknown-linux-gnu,-1,candidate,True,68212716,0.059517,0.008163,42820,797824,65f5a8cd2916470b0a53a4c4753a2ac375d5d4f7fede871b441e303b3eabb575
x86_64-unknown-linux-gnu,-1,baseline,True,69959939,0.054282,0.015255999999999999,42652,805248,3ced7d599380e87603fd4d486a668d7b3694da608c49ef00ccc072783485a1d7
x86_64-unknown-linux-gnu,0,baseline,False,65869635,0.056922999999999994,0.008517,42640,805248,3ced7d599380e87603fd4d486a668d7b3694da608c49ef00ccc072783485a1d7
x86_64-unknown-linux-gnu,0,candidate,False,153970974,0.063294,0.082701,42868,797824,65f5a8cd2916470b0a53a4c4753a2ac375d5d4f7fede871b441e303b3eabb575
x86_64-unknown-linux-gnu,1,candidate,False,95024957,0.06856,0.018883999999999998,42804,797824,65f5a8cd2916470b0a53a4c4753a2ac375d5d4f7fede871b441e303b3eabb575
x86_64-unknown-linux-gnu,1,baseline,False,88814439,0.06398899999999999,0.024217,42964,805248,3ced7d599380e87603fd4d486a668d7b3694da608c49ef00ccc072783485a1d7
x86_64-unknown-linux-gnu,2,baseline,False,79965306,0.054699,0.024576,42724,805248,3ced7d599380e87603fd4d486a668d7b3694da608c49ef00ccc072783485a1d7
x86_64-unknown-linux-gnu,2,candidate,False,77059022,0.07250999999999999,0.004039,42900,797824,65f5a8cd2916470b0a53a4c4753a2ac375d5d4f7fede871b441e303b3eabb575
x86_64-unknown-linux-gnu,3,candidate,False,72341709,0.047269,0.024582,42628,797824,65f5a8cd2916470b0a53a4c4753a2ac375d5d4f7fede871b441e303b3eabb575
x86_64-unknown-linux-gnu,3,baseline,False,77539229,0.059558,0.017564,42660,805248,3ced7d599380e87603fd4d486a668d7b3694da608c49ef00ccc072783485a1d7
x86_64-unknown-linux-gnu,4,baseline,False,71371056,0.063571,0.007228,42860,805248,3ced7d599380e87603fd4d486a668d7b3694da608c49ef00ccc072783485a1d7
x86_64-unknown-linux-gnu,4,candidate,False,69712945,0.060806,0.008343,42644,797824,65f5a8cd2916470b0a53a4c4753a2ac375d5d4f7fede871b441e303b3eabb575
x86_64-unknown-linux-gnu,5,candidate,False,68183676,0.044552999999999995,0.023254,42596,797824,65f5a8cd2916470b0a53a4c4753a2ac375d5d4f7fede871b441e303b3eabb575
x86_64-unknown-linux-gnu,5,baseline,False,64989607,0.052059,0.012483,42644,805248,3ced7d599380e87603fd4d486a668d7b3694da608c49ef00ccc072783485a1d7
x86_64-unknown-linux-gnu,6,baseline,False,65667004,0.0493,0.015996,42748,805248,3ced7d599380e87603fd4d486a668d7b3694da608c49ef00ccc072783485a1d7
x86_64-unknown-linux-gnu,6,candidate,False,65038936,0.04417,0.020124,42604,797824,65f5a8cd2916470b0a53a4c4753a2ac375d5d4f7fede871b441e303b3eabb575
x86_64-unknown-linux-gnu,7,candidate,False,67489949,0.055628,0.011257,42792,797824,65f5a8cd2916470b0a53a4c4753a2ac375d5d4f7fede871b441e303b3eabb575
x86_64-unknown-linux-gnu,7,baseline,False,67641588,0.056326999999999995,0.00793,42888,805248,3ced7d599380e87603fd4d486a668d7b3694da608c49ef00ccc072783485a1d7
x86_64-unknown-linux-gnu,8,baseline,False,74386613,0.052235,0.021533,42808,805248,3ced7d599380e87603fd4d486a668d7b3694da608c49ef00ccc072783485a1d7
x86_64-unknown-linux-gnu,8,candidate,False,91683267,0.070092,0.02129,42660,797824,65f5a8cd2916470b0a53a4c4753a2ac375d5d4f7fede871b441e303b3eabb575
x86_64-unknown-linux-gnu,9,candidate,False,106575997,0.093196,0.012898999999999999,42892,797824,65f5a8cd2916470b0a53a4c4753a2ac375d5d4f7fede871b441e303b3eabb575
x86_64-unknown-linux-gnu,9,baseline,False,101339150,0.083479,0.017204,42764,805248,3ced7d599380e87603fd4d486a668d7b3694da608c49ef00ccc072783485a1d7
x86_64-unknown-linux-gnu,10,baseline,False,112717210,0.088265,0.022435999999999998,42916,805248,3ced7d599380e87603fd4d486a668d7b3694da608c49ef00ccc072783485a1d7
x86_64-unknown-linux-gnu,10,candidate,False,103457333,0.082907,0.020146,42792,797824,65f5a8cd2916470b0a53a4c4753a2ac375d5d4f7fede871b441e303b3eabb575
x86_64-unknown-linux-gnu,11,candidate,False,103954074,0.076384,0.027118,42892,797824,65f5a8cd2916470b0a53a4c4753a2ac375d5d4f7fede871b441e303b3eabb575
x86_64-unknown-linux-gnu,11,baseline,False,92825921,0.081214,0.011144999999999999,42964,805248,3ced7d599380e87603fd4d486a668d7b3694da608c49ef00ccc072783485a1d7
aarch64-unknown-linux-gnu,-2,baseline,True,52742818,0.04489,0.007502999999999999,25920,637288,17f2803062630987291d18c30f00226f582f369905807e5df34cb51a99343dc7
aarch64-unknown-linux-gnu,-2,candidate,True,51849992,0.042779,0.008629999999999999,25940,639080,f495ddfcd903d444402214dc1fbcf6082b0bc594537b959f879184de087537d0
aarch64-unknown-linux-gnu,-1,candidate,True,51860111,0.043514,0.008057,25340,639080,f495ddfcd903d444402214dc1fbcf6082b0bc594537b959f879184de087537d0
aarch64-unknown-linux-gnu,-1,baseline,True,51434533,0.043308,0.0078049999999999994,25432,637288,17f2803062630987291d18c30f00226f582f369905807e5df34cb51a99343dc7
aarch64-unknown-linux-gnu,0,baseline,False,57300063,0.039151,0.017786,25516,637288,17f2803062630987291d18c30f00226f582f369905807e5df34cb51a99343dc7
aarch64-unknown-linux-gnu,0,candidate,False,64270262,0.055258999999999996,0.008615,25640,639080,f495ddfcd903d444402214dc1fbcf6082b0bc594537b959f879184de087537d0
aarch64-unknown-linux-gnu,1,candidate,False,52503225,0.04007,0.012114999999999999,26272,639080,f495ddfcd903d444402214dc1fbcf6082b0bc594537b959f879184de087537d0
aarch64-unknown-linux-gnu,1,baseline,False,53633189,0.048777999999999995,0.004468,25708,637288,17f2803062630987291d18c30f00226f582f369905807e5df34cb51a99343dc7
aarch64-unknown-linux-gnu,2,baseline,False,53051345,0.032658,0.020037,26028,637288,17f2803062630987291d18c30f00226f582f369905807e5df34cb51a99343dc7
aarch64-unknown-linux-gnu,2,candidate,False,50916767,0.038738,0.011765,25932,639080,f495ddfcd903d444402214dc1fbcf6082b0bc594537b959f879184de087537d0
aarch64-unknown-linux-gnu,3,candidate,False,58139900,0.051851999999999995,0.005859,25936,639080,f495ddfcd903d444402214dc1fbcf6082b0bc594537b959f879184de087537d0
aarch64-unknown-linux-gnu,3,baseline,False,50638434,0.037744,0.012562,25900,637288,17f2803062630987291d18c30f00226f582f369905807e5df34cb51a99343dc7
aarch64-unknown-linux-gnu,4,baseline,False,69562686,0.057841,0.011382999999999999,26056,637288,17f2803062630987291d18c30f00226f582f369905807e5df34cb51a99343dc7
aarch64-unknown-linux-gnu,4,candidate,False,53490071,0.044919999999999995,0.008105,26028,639080,f495ddfcd903d444402214dc1fbcf6082b0bc594537b959f879184de087537d0
aarch64-unknown-linux-gnu,5,candidate,False,63525494,0.055427,0.007658,26008,639080,f495ddfcd903d444402214dc1fbcf6082b0bc594537b959f879184de087537d0
aarch64-unknown-linux-gnu,5,baseline,False,51655531,0.03943,0.011887,25900,637288,17f2803062630987291d18c30f00226f582f369905807e5df34cb51a99343dc7
aarch64-unknown-linux-gnu,6,baseline,False,51966256,0.04538,0.006235,25832,637288,17f2803062630987291d18c30f00226f582f369905807e5df34cb51a99343dc7
aarch64-unknown-linux-gnu,6,candidate,False,52301476,0.048123,0.0037849999999999997,26272,639080,f495ddfcd903d444402214dc1fbcf6082b0bc594537b959f879184de087537d0
