checksum,cpu_seconds,mode,output_bytes,pair,peak_rss_kib,variant,wall_ns,workload
,0.06819199999999999,mir-stack,389240,0,43332,baseline,68464328,compile_1024_functions
9280,,mir-stack,,0,,baseline,76895722,kernel_10000000_calls
,0.07353299999999999,mir-stack,389240,0,44296,candidate,73770755,compile_1024_functions
9280,,mir-stack,,0,,candidate,88343292,kernel_10000000_calls
,0.06615099999999999,mir-stack,389240,1,43248,candidate,66382553,compile_1024_functions
9280,,mir-stack,,1,,candidate,80461303,kernel_10000000_calls
,0.067928,mir-stack,389240,1,43076,baseline,68511986,compile_1024_functions
9280,,mir-stack,,1,,baseline,90144076,kernel_10000000_calls
,0.065967,mir-stack,389240,2,43288,baseline,66161880,compile_1024_functions
9280,,mir-stack,,2,,baseline,78248986,kernel_10000000_calls
,0.068253,mir-stack,389240,2,43412,candidate,68479493,compile_1024_functions
9280,,mir-stack,,2,,candidate,80252590,kernel_10000000_calls
,0.07056699999999999,mir-stack,389240,3,44188,candidate,70805159,compile_1024_functions
9280,,mir-stack,,3,,candidate,90521930,kernel_10000000_calls
,0.065252,mir-stack,389240,3,43348,baseline,65506249,compile_1024_functions
9280,,mir-stack,,3,,baseline,89713303,kernel_10000000_calls
,0.066049,mir-stack,389240,4,43160,baseline,66311612,compile_1024_functions
9280,,mir-stack,,4,,baseline,86414610,kernel_10000000_calls
,0.07445099999999999,mir-stack,389240,4,43392,candidate,74628311,compile_1024_functions
9280,,mir-stack,,4,,candidate,80323716,kernel_10000000_calls
,0.08222,mir-stack,389240,5,43492,candidate,82468285,compile_1024_functions
9280,,mir-stack,,5,,candidate,75144590,kernel_10000000_calls
,0.06744,mir-stack,389240,5,43188,baseline,67736355,compile_1024_functions
9280,,mir-stack,,5,,baseline,87116516,kernel_10000000_calls
,0.06937,mir-stack,389240,6,43428,baseline,69611736,compile_1024_functions
9280,,mir-stack,,6,,baseline,83473512,kernel_10000000_calls
,0.068079,mir-stack,389240,6,43292,candidate,68659891,compile_1024_functions
9280,,mir-stack,,6,,candidate,78950579,kernel_10000000_calls
,0.067941,mir-stack,389240,7,43272,candidate,68220922,compile_1024_functions
9280,,mir-stack,,7,,candidate,279339172,kernel_10000000_calls
,0.112201,mir-stack,389240,7,43324,baseline,112479762,compile_1024_functions
9280,,mir-stack,,7,,baseline,86462140,kernel_10000000_calls
,0.058573,fast,217208,0,42744,baseline,59046728,compile_1024_functions
9280,,fast,,0,,baseline,28736183,kernel_10000000_calls
,0.065612,fast,200824,0,42500,candidate,65795581,compile_1024_functions
9280,,fast,,0,,candidate,24449124,kernel_10000000_calls
,0.06218799999999999,fast,200824,1,43568,candidate,62422135,compile_1024_functions
9280,,fast,,1,,candidate,23319080,kernel_10000000_calls
,0.06376899999999999,fast,217208,1,42604,baseline,63993756,compile_1024_functions
