checksum,cpu_seconds,mode,output_bytes,pair,peak_rss_kib,variant,wall_ns,workload
,0.08284699999999999,mir-stack,389240,0,43388,baseline,83108315,compile_1024_functions
9280,,mir-stack,,0,,baseline,99237992,kernel_10000000_calls
,0.077872,mir-stack,397432,0,43460,candidate,78081384,compile_1024_functions
9280,,mir-stack,,0,,candidate,73936561,kernel_10000000_calls
,0.09570300000000001,mir-stack,397432,1,43460,candidate,96017479,compile_1024_functions
9280,,mir-stack,,1,,candidate,81131932,kernel_10000000_calls
,0.088252,mir-stack,389240,1,43460,baseline,88484899,compile_1024_functions
9280,,mir-stack,,1,,baseline,92178513,kernel_10000000_calls
,0.079902,mir-stack,389240,2,43444,baseline,81235151,compile_1024_functions
9280,,mir-stack,,2,,baseline,322036374,kernel_10000000_calls
,0.32859499999999997,mir-stack,397432,2,43592,candidate,330448110,compile_1024_functions
9280,,mir-stack,,2,,candidate,80344667,kernel_10000000_calls
,0.5416949999999999,mir-stack,397432,3,44340,candidate,548069304,compile_1024_functions
9280,,mir-stack,,3,,candidate,158267312,kernel_10000000_calls
,0.179662,mir-stack,389240,3,43316,baseline,179891390,compile_1024_functions
9280,,mir-stack,,3,,baseline,154645154,kernel_10000000_calls
,0.070011,mir-stack,389240,4,43228,baseline,70270981,compile_1024_functions
9280,,mir-stack,,4,,baseline,90981149,kernel_10000000_calls
,0.194987,mir-stack,397432,4,44208,candidate,195290880,compile_1024_functions
9280,,mir-stack,,4,,candidate,79692829,kernel_10000000_calls
,0.101979,mir-stack,397432,5,43304,candidate,102202505,compile_1024_functions
9280,,mir-stack,,5,,candidate,197319126,kernel_10000000_calls
,0.07805499999999999,mir-stack,389240,5,43460,baseline,78287011,compile_1024_functions
9280,,mir-stack,,5,,baseline,78387855,kernel_10000000_calls
,0.073044,mir-stack,389240,6,43728,baseline,73259510,compile_1024_functions
9280,,mir-stack,,6,,baseline,102004053,kernel_10000000_calls
,0.27136899999999997,mir-stack,397432,6,44300,candidate,281928371,compile_1024_functions
9280,,mir-stack,,6,,candidate,122610875,kernel_10000000_calls
,0.312198,mir-stack,397432,7,43316,candidate,312549875,compile_1024_functions
9280,,mir-stack,,7,,candidate,79087282,kernel_10000000_calls
,0.278508,mir-stack,389240,7,43368,baseline,282555803,compile_1024_functions
9280,,mir-stack,,7,,baseline,77147741,kernel_10000000_calls
,0.11252699999999999,fast,217208,0,42808,baseline,112847801,compile_1024_functions
9280,,fast,,0,,baseline,30926562,kernel_10000000_calls
,0.071266,fast,200824,0,42820,candidate,71501771,compile_1024_functions
9280,,fast,,0,,candidate,23744948,kernel_10000000_calls
,0.215906,fast,200824,1,43000,candidate,220334050,compile_1024_functions
9280,,fast,,1,,candidate,23181241,kernel_10000000_calls
,0.09357199999999999,fast,217208,1,42824,baseline,93798184,compile_1024_functions
9280,,fast,,1,,baseline,36916644,kernel_10000000_calls
,0.06471299999999999,fast,217208,2,42856,baseline,64921120,compile_1024_functions
9280,,fast,,2,,baseline,31678891,kernel_10000000_calls
,0.077549,fast,200824,2,42960,candidate,78087073,compile_1024_functions
9280,,fast,,2,,candidate,27685657,kernel_10000000_calls
,0.073332,fast,200824,3,42820,candidate,73977857,compile_1024_functions
9280,,fast,,3,,candidate,24366857,kernel_10000000_calls
,0.150204,fast,217208,3,42804,baseline,150557780,compile_1024_functions
9280,,fast,,3,,baseline,31124864,kernel_10000000_calls
,0.07875,fast,217208,4,42780,baseline,78963776,compile_1024_functions
9280,,fast,,4,,baseline,31375731,kernel_10000000_calls
,0.060587999999999996,fast,200824,4,42808,candidate,60901774,compile_1024_functions
9280,,fast,,4,,candidate,23382963,kernel_10000000_calls
,0.188824,fast,200824,5,42960,candidate,231327754,compile_1024_functions
9280,,fast,,5,,candidate,23208765,kernel_10000000_calls
,0.162022,fast,217208,5,42716,baseline,162668909,compile_1024_functions
9280,,fast,,5,,baseline,35339721,kernel_10000000_calls
,0.07237299999999999,fast,217208,6,42776,baseline,72631738,compile_1024_functions
9280,,fast,,6,,baseline,35368737,kernel_10000000_calls
,0.11534799999999999,fast,200824,6,42724,candidate,116083872,compile_1024_functions
9280,,fast,,6,,candidate,23855744,kernel_10000000_calls
,0.08665999999999999,fast,200824,7,42860,candidate,86867849,compile_1024_functions
9280,,fast,,7,,candidate,24000919,kernel_10000000_calls
,0.063678,fast,217208,7,42916,baseline,63862087,compile_1024_functions
9280,,fast,,7,,baseline,28969591,kernel_10000000_calls
,0.062018,quality,217208,0,42696,baseline,62199701,compile_1024_functions
9280,,quality,,0,,baseline,31884905,kernel_10000000_calls
,0.06168,quality,200824,0,42704,candidate,61850023,compile_1024_functions
9280,,quality,,0,,candidate,23974472,kernel_10000000_calls
,0.062549,quality,200824,1,42712,candidate,62731100,compile_1024_functions
9280,,quality,,1,,candidate,23477444,kernel_10000000_calls
,0.061815999999999996,quality,217208,1,42824,baseline,62015067,compile_1024_functions
9280,,quality,,1,,baseline,35106571,kernel_10000000_calls
,0.058608999999999994,quality,217208,2,43216,baseline,58781668,compile_1024_functions
9280,,quality,,2,,baseline,31155272,kernel_10000000_calls
,0.061578,quality,200824,2,42644,candidate,61748699,compile_1024_functions
9280,,quality,,2,,candidate,24301405,kernel_10000000_calls
,0.068217,quality,200824,3,43128,candidate,68580965,compile_1024_functions
9280,,quality,,3,,candidate,23804968,kernel_10000000_calls
,0.063818,quality,217208,3,42736,baseline,64004457,compile_1024_functions
9280,,quality,,3,,baseline,43536910,kernel_10000000_calls
,0.268947,quality,217208,4,43036,baseline,272151779,compile_1024_functions
9280,,quality,,4,,baseline,32535228,kernel_10000000_calls
