round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
0,0,0,1,1,0.01959716999772354,0.014924999999999999,0.0041329999999999995,24580096,NA,NA,NA,NA,NA,NA,NA,NA,2056,136,5,1,6b21b079ef6f8f7f055926600e53b906dd7be041e021dd2791b7aa8c55e24585,3647,0,1,1
0,0,1,0,1,0.020345065997389611,0.011332,0.0088830000000000003,24109056,NA,NA,NA,NA,NA,NA,NA,NA,2056,136,5,1,6b21b079ef6f8f7f055926600e53b906dd7be041e021dd2791b7aa8c55e24585,3640,0,1,1
0,0,0,1,11,0.019960875000833767,0.011762,0.0081019999999999998,25116672,NA,NA,NA,NA,NA,NA,NA,NA,14928,5066,257,64,9655be68483f45304d566dfb3dc63ba1458a5653029061a6b60617464768d366,3839,0,1,0
0,0,1,0,11,0.019011176998901647,0.011290999999999999,0.0076279999999999994,25280512,NA,NA,NA,NA,NA,NA,NA,NA,14928,5066,257,64,9655be68483f45304d566dfb3dc63ba1458a5653029061a6b60617464768d366,3847,0,1,0
0,0,0,0,21,0.039280157998291543,0.035309,0.0034449999999999997,29548544,NA,NA,NA,NA,NA,NA,NA,NA,277920,89118,2402,8,089ec4ce05f5e4d43e3e352375117ee462b31249b272f87015d01ad0429bd7f9,4906,0,1,1
0,0,1,1,21,0.035370398996747099,0.015321,0.019941,29970432,NA,NA,NA,NA,NA,NA,NA,NA,277920,89118,2402,8,089ec4ce05f5e4d43e3e352375117ee462b31249b272f87015d01ad0429bd7f9,4914,0,1,0
0,0,0,0,6,0.02411934200063115,0.018953999999999999,0.0048199999999999996,25206784,NA,NA,NA,NA,NA,NA,NA,NA,17504,6529,133,1,5e7e7625c8b52e7a71d9370c6c8ab5025ac2b81f4970efe917952ec17c538f1c,3855,0,1,1
0,0,1,1,6,0.022154223999677924,0.017273,0.0047739999999999996,26361856,NA,NA,NA,NA,NA,NA,NA,NA,17504,6529,133,1,5e7e7625c8b52e7a71d9370c6c8ab5025ac2b81f4970efe917952ec17c538f1c,3862,0,1,1
0,0,0,1,0,0.025450630000705132,0.014159,0.011193999999999999,24604672,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3656,0,1,0
0,0,1,0,0,0.018888262999098515,0.014183999999999999,0.0046029999999999995,24473600,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3665,0,1,1
0,0,0,1,9,0.024366978002944961,0.013554,0.01072,25505792,NA,NA,NA,NA,NA,NA,NA,NA,20048,5066,257,64,d8d78f7bb977c6f730c6b5cdfaa88bed294d141a9777385856f783cc112e0874,3840,0,1,0
0,0,1,0,9,0.026128831999812974,0.020323000000000001,0.0057149999999999996,25018368,NA,NA,NA,NA,NA,NA,NA,NA,20048,5066,257,64,d8d78f7bb977c6f730c6b5cdfaa88bed294d141a9777385856f783cc112e0874,3848,0,1,0
0,0,0,0,10,0.024602132998552406,0.01325,0.010815,25116672,NA,NA,NA,NA,NA,NA,NA,NA,14928,5066,257,64,9655be68483f45304d566dfb3dc63ba1458a5653029061a6b60617464768d366,3847,0,1,0
0,0,1,1,10,0.022744390997104347,0.014782999999999999,0.0078799999999999999,25116672,NA,NA,NA,NA,NA,NA,NA,NA,14928,5066,257,64,9655be68483f45304d566dfb3dc63ba1458a5653029061a6b60617464768d366,3854,0,1,0
0,0,0,0,4,0.020624224001949187,0.012485999999999999,0.0080229999999999989,25018368,NA,NA,NA,NA,NA,NA,NA,NA,22160,6529,133,1,3ac5102c6f2bc513eb86f2343729d5f51295afd9e738a690903fa32334fb4c28,3858,0,1,0
0,0,1,1,4,0.020996775001549395,0.010503999999999999,0.010390999999999999,26120192,NA,NA,NA,NA,NA,NA,NA,NA,22160,6529,133,1,3ac5102c6f2bc513eb86f2343729d5f51295afd9e738a690903fa32334fb4c28,3858,0,1,0
0,0,0,0,5,0.021180018997256411,0.012725,0.0083660000000000002,25088000,NA,NA,NA,NA,NA,NA,NA,NA,25888,6529,133,1,6cbbbbf695d9298d218c01af658d12c9a04646e608628360a5a03df9e71e6d9c,3858,0,1,0
0,0,1,1,5,0.021671096998034045,0.012907999999999999,0.0086629999999999988,25325568,NA,NA,NA,NA,NA,NA,NA,NA,25888,6529,133,1,6cbbbbf695d9298d218c01af658d12c9a04646e608628360a5a03df9e71e6d9c,3865,0,1,0
0,0,0,0,16,0.028704743999696802,0.016410000000000001,0.012171999999999999,27381760,NA,NA,NA,NA,NA,NA,NA,NA,136888,29499,417,8,af3bdbbd0003d101664215b713d407f2160931601787a4fad2f046110caa3e72,4332,0,1,4
0,0,1,1,16,0.029030197001702618,0.020639999999999999,0.008291999999999999,27369472,NA,NA,NA,NA,NA,NA,NA,NA,136888,29499,417,8,af3bdbbd0003d101664215b713d407f2160931601787a4fad2f046110caa3e72,4324,0,1,0
0,0,0,0,2,0.020482116000493988,0.012182999999999999,0.0082170000000000003,24567808,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3641,0,1,0
