round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
0,0,0,1,1,0.019537028001650469,0.015446999999999999,0.0040089999999999995,24195072,NA,NA,NA,NA,NA,NA,NA,NA,2056,136,5,1,6b21b079ef6f8f7f055926600e53b906dd7be041e021dd2791b7aa8c55e24585,3647,0,1,0
0,0,1,0,1,0.019351626000570832,0.011235,0.0080190000000000001,24358912,NA,NA,NA,NA,NA,NA,NA,NA,2056,136,5,1,6b21b079ef6f8f7f055926600e53b906dd7be041e021dd2791b7aa8c55e24585,3620,0,1,1
0,0,0,1,11,0.020023664998007007,0.012045999999999999,0.0078980000000000005,25403392,NA,NA,NA,NA,NA,NA,NA,NA,14928,5066,257,64,9655be68483f45304d566dfb3dc63ba1458a5653029061a6b60617464768d366,3833,0,1,0
0,0,1,0,11,0.019220486999984132,0.011160999999999999,0.0079649999999999999,25116672,NA,NA,NA,NA,NA,NA,NA,NA,14928,5066,257,64,9655be68483f45304d566dfb3dc63ba1458a5653029061a6b60617464768d366,3824,0,1,1
0,0,0,0,21,0.033464760999777354,0.021145000000000001,0.012225999999999999,29736960,NA,NA,NA,NA,NA,NA,NA,NA,277920,89118,2402,8,089ec4ce05f5e4d43e3e352375117ee462b31249b272f87015d01ad0429bd7f9,4902,0,1,1
0,0,1,1,21,0.043041526001616148,0.027349999999999999,0.015597,29900800,NA,NA,NA,NA,NA,NA,NA,NA,277920,89118,2402,8,089ec4ce05f5e4d43e3e352375117ee462b31249b272f87015d01ad0429bd7f9,4916,0,1,0
0,0,0,0,6,0.022046905996830901,0.013210999999999999,0.0087399999999999995,25100288,NA,NA,NA,NA,NA,NA,NA,NA,17504,6529,133,1,5e7e7625c8b52e7a71d9370c6c8ab5025ac2b81f4970efe917952ec17c538f1c,3827,0,0,0
0,0,1,1,6,0.021387529999628896,0.0084270000000000005,0.012775999999999999,25206784,NA,NA,NA,NA,NA,NA,NA,NA,17504,6529,133,1,5e7e7625c8b52e7a71d9370c6c8ab5025ac2b81f4970efe917952ec17c538f1c,3862,0,1,1
0,0,0,1,0,0.020128643998759799,0.015754000000000001,0.004202,24440832,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3674,0,1,2
0,0,1,0,0,0.020434907000890234,0.01183,0.0084869999999999998,24797184,NA,NA,NA,NA,NA,NA,NA,NA,2008,136,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3661,0,1,2
