round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
0,0,0,0,4,0.087178009998751804,0.053398000000000001,0.033424999999999996,40955904,NA,NA,NA,NA,NA,NA,NA,NA,742032,235398,3329,64,ef3fe9f327a6ee2b8ff8e0c5cce4ce61f805f0660ce139a533f5137453c188bc,7525,0,2,0
0,0,1,1,4,0.19285297299938975,0.067542999999999992,0.125,40558592,NA,NA,NA,NA,NA,NA,NA,NA,742032,235398,3329,64,ef3fe9f327a6ee2b8ff8e0c5cce4ce61f805f0660ce139a533f5137453c188bc,7519,0,2,0
0,0,0,1,0,0.026063797002279898,0.0212,0.0047039999999999998,24711168,NA,NA,NA,NA,NA,NA,NA,NA,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3638,0,2,0
0,0,1,0,0,0.096166798000922427,0.037498999999999998,0.058299999999999998,24363008,NA,NA,NA,NA,NA,NA,NA,NA,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3639,0,2,1
0,0,0,1,3,0.033182779003254836,0.016476999999999999,0.016583000000000001,31797248,NA,NA,NA,NA,NA,NA,NA,NA,247896,280189,4101,1,cf0f1cc1e290dce65809b3140c6f2dc9062a9f452120988a3a869e7faab69134,5365,0,2,0
0,0,1,0,3,0.029783047997625545,0.016612999999999999,0.012470999999999999,31813632,NA,NA,NA,NA,NA,NA,NA,NA,247896,280189,4101,1,cf0f1cc1e290dce65809b3140c6f2dc9062a9f452120988a3a869e7faab69134,5348,0,2,0
0,0,0,0,5,0.45527833300002385,0.237235,0.217865,57741312,NA,NA,NA,NA,NA,NA,NA,NA,1433848,711531,19202,64,7fe8e0e1367c4dc75afe736c0ee35e3a3755c0152301f3880ce2412132a22623,11590,0,2,0
0,0,1,1,5,0.15609214699725271,0.13116999999999998,0.024749,57802752,NA,NA,NA,NA,NA,NA,NA,NA,1433848,711531,19202,64,7fe8e0e1367c4dc75afe736c0ee35e3a3755c0152301f3880ce2412132a22623,11609,0,2,1
0,0,0,1,1,0.028247119000297971,0.020070999999999999,0.0079869999999999993,30773248,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c,5172,0,2,0
0,0,1,0,1,0.02886527800001204,0.024427999999999998,0.004202,30814208,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c,5178,0,2,0
