round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
0,0,0,0,4,0.068140030001814011,0.058185999999999995,0.0096659999999999992,40849408,NA,NA,NA,NA,NA,NA,NA,NA,742032,235398,3329,64,ef3fe9f327a6ee2b8ff8e0c5cce4ce61f805f0660ce139a533f5137453c188bc,7517,0,2,1
0,0,1,1,4,0.058836316999077098,0.050243999999999997,0.0084209999999999997,40804352,NA,NA,NA,NA,NA,NA,NA,NA,742032,235398,3329,64,ef3fe9f327a6ee2b8ff8e0c5cce4ce61f805f0660ce139a533f5137453c188bc,7516,0,2,1
0,0,0,1,0,0.017860707997897407,0.013835,0.0034579999999999997,24281088,NA,NA,NA,NA,NA,NA,NA,NA,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3633,0,2,0
0,0,1,0,0,0.01681629199811141,0.0082679999999999993,0.0084079999999999988,24276992,NA,NA,NA,NA,NA,NA,NA,NA,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3633,0,2,1
0,0,0,1,3,0.032909164001466706,0.02529,0.0074869999999999997,31911936,NA,NA,NA,NA,NA,NA,NA,NA,247896,280189,4101,1,cf0f1cc1e290dce65809b3140c6f2dc9062a9f452120988a3a869e7faab69134,5359,0,2,2
0,0,1,0,3,0.029400852999970084,0.020920999999999999,0.008345,31617024,NA,NA,NA,NA,NA,NA,NA,NA,247896,280189,4101,1,cf0f1cc1e290dce65809b3140c6f2dc9062a9f452120988a3a869e7faab69134,5367,0,2,1
0,0,0,0,5,0.14804381799694966,0.120014,0.027888,57888768,NA,NA,NA,NA,NA,NA,NA,NA,1433848,711531,19202,64,7fe8e0e1367c4dc75afe736c0ee35e3a3755c0152301f3880ce2412132a22623,11590,0,2,2
0,0,1,1,5,0.14703546699820436,0.12267499999999999,0.024187999999999998,58048512,NA,NA,NA,NA,NA,NA,NA,NA,1433848,711531,19202,64,7fe8e0e1367c4dc75afe736c0ee35e3a3755c0152301f3880ce2412132a22623,11604,0,2,1
0,0,0,1,1,0.02896198699818342,0.01609,0.012222999999999999,31191040,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c,5177,0,2,0
0,0,1,0,1,0.028635542999836616,0.020848999999999999,0.0076539999999999993,30773248,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c,5180,0,2,0
0,0,0,0,2,0.030158797999320086,0.017765,0.012251,30130176,NA,NA,NA,NA,NA,NA,NA,NA,106320,39898,2049,512,7b8f1ead52d1f75ea51a9518f4611f96b3105a83b8e9ff16958705114f2a13b3,5037,0,2,1
0,0,1,1,2,0.024300155997480033,0.024159,0,30400512,NA,NA,NA,NA,NA,NA,NA,NA,106320,39898,2049,512,7b8f1ead52d1f75ea51a9518f4611f96b3105a83b8e9ff16958705114f2a13b3,5037,0,2,1
0,1,0,0,3,0.026869535999139771,0.026744999999999998,0,31944704,NA,NA,NA,NA,NA,NA,NA,NA,247896,280189,4101,1,cf0f1cc1e290dce65809b3140c6f2dc9062a9f452120988a3a869e7faab69134,5350,0,2,0
0,1,1,1,3,0.031743358998937765,0.019791,0.0118,31944704,NA,NA,NA,NA,NA,NA,NA,NA,247896,280189,4101,1,cf0f1cc1e290dce65809b3140c6f2dc9062a9f452120988a3a869e7faab69134,5364,0,2,2
0,1,0,1,4,0.062137689998053247,0.038054999999999999,0.023838999999999999,40673280,NA,NA,NA,NA,NA,NA,NA,NA,742032,235398,3329,64,ef3fe9f327a6ee2b8ff8e0c5cce4ce61f805f0660ce139a533f5137453c188bc,7519,0,2,2
0,1,1,0,4,0.066136692999862134,0.047631,0.018210999999999998,40787968,NA,NA,NA,NA,NA,NA,NA,NA,742032,235398,3329,64,ef3fe9f327a6ee2b8ff8e0c5cce4ce61f805f0660ce139a533f5137453c188bc,7518,0,2,4
0,1,0,1,2,0.024588535998191219,0.016031999999999998,0.0081659999999999996,30445568,NA,NA,NA,NA,NA,NA,NA,NA,106320,39898,2049,512,7b8f1ead52d1f75ea51a9518f4611f96b3105a83b8e9ff16958705114f2a13b3,5035,0,2,6
0,1,1,0,2,0.024637558999529574,0.020017999999999998,0.0041419999999999998,30330880,NA,NA,NA,NA,NA,NA,NA,NA,106320,39898,2049,512,7b8f1ead52d1f75ea51a9518f4611f96b3105a83b8e9ff16958705114f2a13b3,5033,0,2,3
0,1,0,0,1,0.031368353997095255,0.020590999999999998,0.010607,30724096,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c,5179,0,2,2
0,1,1,1,1,0.031085772996448213,0.030955999999999997,0,30904320,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c,5173,0,2,1
0,1,0,0,0,0.01720199899864383,0.017059999999999999,0,24588288,NA,NA,NA,NA,NA,NA,NA,NA,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3621,0,2,0
0,1,1,1,0,0.016559064999455586,0.012261999999999999,0.004163,24358912,NA,NA,NA,NA,NA,NA,NA,NA,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3638,0,2,1
0,1,0,1,5,0.14565518000017619,0.12928100000000001,0.016139999999999998,57962496,NA,NA,NA,NA,NA,NA,NA,NA,1433848,711531,19202,64,7fe8e0e1367c4dc75afe736c0ee35e3a3755c0152301f3880ce2412132a22623,11606,0,2,2
