workload,mode,observations,publication_ns_median,cfg_builds,cfg_published_rows,cfg_unique_edges,cfg_parameter_visits,cfg_incoming_visits,cfg_published_bytes,cfg_discarded_builder_bytes,cfg_reused_pool_bytes,arena_calls,arena_bytes
tiny_startup,none,6,16922.0,1,4,0,0,0,168,0,28,1568.0,1476108.0
tiny_startup,mir-stack,6,15938.0,1,4,0,0,0,168,0,28,1595.0,1403501.0
tiny_startup,fast,6,15806.0,1,4,0,0,0,168,0,28,1613.0,1403496.0
tiny_startup,quality,6,16125.5,1,4,0,0,0,168,0,28,1626.0,1485664.0
large_function,none,6,234161.5,1,9219,0,0,0,24760,0,45060,22063.0,40428889.0
large_function,mir-stack,6,239823.5,1,9219,0,0,0,24760,0,45060,22140.0,42800381.0
large_function,fast,6,171488.0,1,9219,0,0,0,24760,0,45060,22152.0,42708468.0
large_function,quality,6,216694.0,1,9219,0,0,0,24760,0,45060,22171.0,43390904.0
many_functions,none,6,1162223.0,512,4096,0,0,0,98304,0,16384,49112.0,22880585.0
many_functions,mir-stack,6,1175277.0,512,4096,0,0,0,98304,0,16384,60892.0,64509047.0
many_functions,fast,6,1212116.0,512,4096,0,0,0,98304,0,16384,70108.0,64538111.0
many_functions,quality,6,1145315.0,512,4096,0,0,0,98304,0,16384,76764.0,106620511.0
symbol_table,none,6,103458.0,1,6146,0,0,0,168,0,24588,34355.0,43327039.0
symbol_table,mir-stack,6,140518.5,1,6146,0,0,0,168,0,24588,34417.0,44784644.0
symbol_table,fast,6,108710.5,1,6146,0,0,0,168,0,24588,34427.0,44495347.0
symbol_table,quality,6,102216.0,1,6146,0,0,0,168,0,24588,34446.0,44958523.0
control_flow,none,6,2429757.5,64,41216,15360,6144,14336,1065472,720896,160512,225490.0,156838625.0
control_flow,mir-stack,6,2283234.5,64,41216,15360,6144,14336,1065472,720896,160512,227094.0,173611929.0
control_flow,fast,6,2459300.5,64,41216,15360,6144,14336,1065472,720896,160512,235926.0,177418383.0
control_flow,quality,6,2452338.0,64,41216,15360,6144,14336,1065472,720896,160512,235926.0,177418479.0
backend_pressure,none,6,2812144.0,64,95424,0,0,0,175616,0,542976,340309.0,440041424.0
backend_pressure,mir-stack,6,3059413.5,64,95424,0,0,0,175616,0,542976,341977.0,472982890.0
backend_pressure,fast,6,2748496.5,64,95424,0,0,0,175616,0,542976,343001.0,470650392.0
backend_pressure,quality,6,2637849.0,64,95424,0,0,0,175616,0,542976,345945.0,519168632.0
