round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
0,0,0,1,1,0.019185036999260774,0.014100999999999999,0.0049069999999999999,24584192,NA,NA,NA,NA,NA,NA,NA,NA,2056,133,5,1,6b21b079ef6f8f7f055926600e53b906dd7be041e021dd2791b7aa8c55e24585,3636,0,2,0
0,0,1,0,1,0.025677189001726219,0.010754,0.014745999999999999,24383488,NA,NA,NA,NA,NA,NA,NA,NA,2056,133,5,1,6b21b079ef6f8f7f055926600e53b906dd7be041e021dd2791b7aa8c55e24585,3637,0,2,2
0,0,0,1,11,0.031480935998843051,0.015635,0.013753999999999999,30269440,NA,NA,NA,NA,NA,NA,NA,NA,106320,39898,2049,512,7b8f1ead52d1f75ea51a9518f4611f96b3105a83b8e9ff16958705114f2a13b3,5063,0,2,1
0,0,1,0,11,0.028331572000752203,0.024406999999999998,0.0037759999999999998,30244864,NA,NA,NA,NA,NA,NA,NA,NA,106320,39898,2049,512,7b8f1ead52d1f75ea51a9518f4611f96b3105a83b8e9ff16958705114f2a13b3,5066,0,2,1
0,0,0,0,21,0.16156931900331983,0.14277599999999999,0.018608,60194816,NA,NA,NA,NA,NA,NA,NA,NA,2209528,711531,19202,64,955dcf7525f03629d689feea1585905e0b8700805efb32f241197b1ebcb41ffa,12217,0,2,1
0,0,1,1,21,0.16555097400123486,0.13641699999999998,0.028884999999999997,60473344,NA,NA,NA,NA,NA,NA,NA,NA,2209528,711531,19202,64,955dcf7525f03629d689feea1585905e0b8700805efb32f241197b1ebcb41ffa,12220,0,2,2
0,0,0,0,6,0.041595512000640156,0.025346999999999998,0.015855999999999999,30863360,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c,5181,0,2,2
0,0,1,1,6,0.030814248999377014,0.023226,0.0074179999999999992,30814208,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c,5186,0,2,1
0,0,0,1,0,0.02709039399996982,0.026853999999999999,0,24465408,NA,NA,NA,NA,NA,NA,NA,NA,2008,133,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3661,0,2,1
0,0,1,0,0,0.021152044999325881,0.011460999999999999,0.0095519999999999997,24334336,NA,NA,NA,NA,NA,NA,NA,NA,2008,133,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3661,0,2,0
0,0,0,1,9,0.025544348001858452,0.02538,0,30294016,NA,NA,NA,NA,NA,NA,NA,NA,147280,39898,2049,512,02ee45f00f5fa967779eb017bd9c1965526161af8ee6a0f23a31a68b3dbbac77,5092,0,2,2
