round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
1,0,0,0,0,0.031218399999488611,0.015269,0.015767,25255936,NA,NA,NA,NA,NA,NA,1568,1476108,2008,133,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3953,0,2,1
1,0,1,1,0,0.019805692998488666,0.015814999999999999,0.003839,25190400,NA,NA,NA,NA,NA,NA,1568,1476108,2008,133,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3937,0,2,0
1,1,0,1,0,0.019250805002229754,0.011783,0.0073209999999999994,25059328,NA,NA,NA,NA,NA,NA,1568,1476108,2008,133,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3941,0,2,0
1,1,1,0,0,0.018218572000478161,0.013540999999999999,0.0045259999999999996,25493504,NA,NA,NA,NA,NA,NA,1568,1476108,2008,133,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3956,0,2,1
1,2,0,0,0,0.032012019997637253,0.031801999999999997,0,25378816,NA,NA,NA,NA,NA,NA,1568,1476108,2008,133,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3937,0,2,0
1,2,1,1,0,0.017631307000556262,0.017512,0,25313280,NA,NA,NA,NA,NA,NA,1568,1476108,2008,133,5,1,a8c1633e798ef980493443e67e6fdb6eada42f775edf7051d304d09c3ddadf5a,3938,0,2,0
1,0,0,0,1,0.017910143997141859,0.0087659999999999995,0.0090139999999999994,25124864,NA,NA,NA,NA,NA,NA,1595,1403501,2056,133,5,1,6b21b079ef6f8f7f055926600e53b906dd7be041e021dd2791b7aa8c55e24585,3952,0,2,0
1,0,1,1,1,0.017842084998846985,0.0090189999999999992,0.0085970000000000005,25071616,NA,NA,NA,NA,NA,NA,1595,1403501,2056,133,5,1,6b21b079ef6f8f7f055926600e53b906dd7be041e021dd2791b7aa8c55e24585,3952,0,2,1
1,1,0,1,1,0.017814913000620436,0.0086629999999999988,0.0088450000000000004,25440256,NA,NA,NA,NA,NA,NA,1595,1403501,2056,133,5,1,6b21b079ef6f8f7f055926600e53b906dd7be041e021dd2791b7aa8c55e24585,3955,0,2,1
1,1,1,0,1,0.079077947997575393,0.048800999999999997,0.029375999999999999,25190400,NA,NA,NA,NA,NA,NA,1595,1403501,2056,133,5,1,6b21b079ef6f8f7f055926600e53b906dd7be041e021dd2791b7aa8c55e24585,3955,0,2,4
1,2,0,0,1,0.075297537001461023,0.01256,0.062473999999999995,25362432,NA,NA,NA,NA,NA,NA,1595,1403501,2056,133,5,1,6b21b079ef6f8f7f055926600e53b906dd7be041e021dd2791b7aa8c55e24585,3942,0,2,1
1,2,1,1,1,0.01858848499978194,0.014771999999999999,0.0036709999999999998,25296896,NA,NA,NA,NA,NA,NA,1595,1403501,2056,133,5,1,6b21b079ef6f8f7f055926600e53b906dd7be041e021dd2791b7aa8c55e24585,3955,0,2,0
1,0,0,0,2,0.018405188999167876,0.010459,0.0070399999999999994,24993792,NA,NA,NA,NA,NA,NA,1613,1403496,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3948,0,1,1
1,0,1,1,2,0.017484563999460079,0.0088059999999999996,0.0085570000000000004,25247744,NA,NA,NA,NA,NA,NA,1613,1403496,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3941,0,2,0
1,1,0,1,2,0.017282610999245662,0.012818999999999999,0.0043099999999999996,25190400,NA,NA,NA,NA,NA,NA,1613,1403496,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3943,0,2,1
1,1,1,0,2,0.017438526996556902,0.017298999999999998,0,25026560,NA,NA,NA,NA,NA,NA,1613,1403496,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3958,0,2,1
1,2,0,0,2,0.018150142001104541,0.013049,0.004614,25133056,NA,NA,NA,NA,NA,NA,1613,1403496,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3953,0,2,0
1,2,1,1,2,0.017059313002391718,0.016934999999999999,0,25190400,NA,NA,NA,NA,NA,NA,1613,1403496,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3959,0,2,0
1,0,0,0,3,0.018901073999586515,0.0115,0.0072569999999999996,25063424,NA,NA,NA,NA,NA,NA,1626,1485664,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3957,0,2,1
1,0,1,1,3,0.018579048999527004,0.0095839999999999988,0.0088380000000000004,24993792,NA,NA,NA,NA,NA,NA,1626,1485664,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3952,0,2,0
1,1,0,1,3,0.018024612996669021,0.010902,0.0069749999999999994,25071616,NA,NA,NA,NA,NA,NA,1626,1485664,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3950,0,2,1
1,1,1,0,3,0.016653331000270555,0.016496999999999998,0,25124864,NA,NA,NA,NA,NA,NA,1626,1485664,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3943,0,2,1
1,2,0,0,3,0.021894833000260405,0.020289999999999999,0.0014599999999999999,25165824,NA,NA,NA,NA,NA,NA,1626,1485664,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3961,0,2,1
1,2,1,1,3,0.018787561002682196,0.0092420000000000002,0.0090619999999999989,25071616,NA,NA,NA,NA,NA,NA,1626,1485664,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3947,0,2,1
1,0,0,0,4,0.061461097000574227,0.045287000000000001,0.015983000000000001,29335552,NA,NA,NA,NA,NA,NA,22063,40428889,163920,51085,1029,1,3469c6c02ad818b9b840f744b74781f39d0d6d69319fb824d729f7875274b381,4991,0,2,3
1,0,1,1,4,0.043306447998475051,0.035276000000000002,0.0078560000000000001,29401088,NA,NA,NA,NA,NA,NA,22063,40428889,163920,51085,1029,1,3469c6c02ad818b9b840f744b74781f39d0d6d69319fb824d729f7875274b381,4982,0,2,1
1,1,0,1,4,0.056027334998361766,0.047358999999999998,0.0083920000000000002,29499392,NA,NA,NA,NA,NA,NA,22063,40428889,163920,51085,1029,1,3469c6c02ad818b9b840f744b74781f39d0d6d69319fb824d729f7875274b381,4973,0,2,1
1,1,1,0,4,0.050782795999111841,0.041897999999999998,0.0087169999999999991,29499392,NA,NA,NA,NA,NA,NA,22063,40428889,163920,51085,1029,1,3469c6c02ad818b9b840f744b74781f39d0d6d69319fb824d729f7875274b381,4978,0,2,1
1,2,0,0,4,0.044758066000213148,0.040959999999999996,0.0036109999999999996,29499392,NA,NA,NA,NA,NA,NA,22063,40428889,163920,51085,1029,1,3469c6c02ad818b9b840f744b74781f39d0d6d69319fb824d729f7875274b381,4996,0,2,1
1,2,1,1,4,0.098264666998147732,0.038603999999999999,0.018803999999999998,29380608,NA,NA,NA,NA,NA,NA,22063,40428889,163920,51085,1029,1,3469c6c02ad818b9b840f744b74781f39d0d6d69319fb824d729f7875274b381,4980,0,3,1
1,0,0,0,5,0.042521913001110079,0.033648999999999998,0.0085909999999999997,31760384,NA,NA,NA,NA,NA,NA,22140,42800381,192736,51085,1029,1,98c15b8b4636441c6e839c68a3bed9dee3bd8ae062882739073db7b7ed7d66f3,5539,0,2,1
1,0,1,1,5,0.03525323099893285,0.030348,0.0047029999999999997,31932416,NA,NA,NA,NA,NA,NA,22140,42800381,192736,51085,1029,1,98c15b8b4636441c6e839c68a3bed9dee3bd8ae062882739073db7b7ed7d66f3,5538,0,2,1
1,1,0,1,5,0.034963411999342497,0.017982999999999999,0.015842999999999999,31645696,NA,NA,NA,NA,NA,NA,22140,42800381,192736,51085,1029,1,98c15b8b4636441c6e839c68a3bed9dee3bd8ae062882739073db7b7ed7d66f3,5527,0,2,1
1,1,1,0,5,0.032406055001047207,0.020091999999999999,0.012161999999999999,31887360,NA,NA,NA,NA,NA,NA,22140,42800381,192736,51085,1029,1,98c15b8b4636441c6e839c68a3bed9dee3bd8ae062882739073db7b7ed7d66f3,5536,0,2,1
1,2,0,0,5,0.037712981000368018,0.025599999999999998,0.011935999999999999,31825920,NA,NA,NA,NA,NA,NA,22140,42800381,192736,51085,1029,1,98c15b8b4636441c6e839c68a3bed9dee3bd8ae062882739073db7b7ed7d66f3,5538,0,2,1
1,2,1,1,5,0.032153298001503572,0.024242,0.0077599999999999995,31571968,NA,NA,NA,NA,NA,NA,22140,42800381,192736,51085,1029,1,98c15b8b4636441c6e839c68a3bed9dee3bd8ae062882739073db7b7ed7d66f3,5540,0,2,1
1,0,0,0,6,0.033758716999727767,0.020995,0.012466,31531008,NA,NA,NA,NA,NA,NA,22152,42708468,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c,5506,0,2,2
1,0,1,1,6,0.032294001000991557,0.023656999999999997,0.0084790000000000004,31760384,NA,NA,NA,NA,NA,NA,22152,42708468,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c,5486,0,2,1
1,1,0,1,6,0.032746662000135984,0.020753999999999998,0.011837,31801344,NA,NA,NA,NA,NA,NA,22152,42708468,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c,5486,0,2,1
1,1,1,0,6,0.030967435999627924,0.019396999999999998,0.01142,31465472,NA,NA,NA,NA,NA,NA,22152,42708468,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c,5492,0,2,1
