round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
0,0,0,0,5,0.12511518599785632,0.098194999999999991,0.024695999999999999,61030400,NA,NA,NA,NA,NA,NA,NA,NA,1433848,711531,19202,64,7fe8e0e1367c4dc75afe736c0ee35e3a3755c0152301f3880ce2412132a22623,11696,0,2,21
0,0,1,1,5,0.13196000400057528,0.089921000000000001,0.040114999999999998,61194240,NA,NA,NA,NA,NA,NA,NA,NA,1433848,711531,19202,64,7fe8e0e1367c4dc75afe736c0ee35e3a3755c0152301f3880ce2412132a22623,11693,0,2,10
0,0,0,1,1,0.026707229000749066,0.014855,0.011602999999999999,33615872,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c,5068,0,2,0
0,0,1,0,1,0.02545473599457182,0.017530999999999998,0.0070199999999999993,33214464,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c,5056,0,2,4
0,0,0,0,7,9.9213014820052194,9.2123410000000003,0.69145499999999993,1049014272,NA,NA,NA,NA,NA,NA,NA,NA,38131352,30352609,375984,0,f74b0d2d6238eae9df401858012151ece2e7d9923a096e3aae1136059c9e5ba4,251124,0,2,174
0,0,1,1,7,12.23887249299878,11.096287999999999,1.103837,1049063424,NA,NA,NA,NA,NA,NA,NA,NA,38131352,30352609,375984,0,f74b0d2d6238eae9df401858012151ece2e7d9923a096e3aae1136059c9e5ba4,251126,0,2,222
0,0,0,0,2,0.028929325999342836,0.020320999999999999,0.0081560000000000001,32845824,NA,NA,NA,NA,NA,NA,NA,NA,106320,39898,2049,512,7b8f1ead52d1f75ea51a9518f4611f96b3105a83b8e9ff16958705114f2a13b3,4926,0,2,1
0,0,1,1,2,0.025411773000087123,0.016836999999999998,0.0083920000000000002,32411648,NA,NA,NA,NA,NA,NA,NA,NA,106320,39898,2049,512,7b8f1ead52d1f75ea51a9518f4611f96b3105a83b8e9ff16958705114f2a13b3,4943,0,2,0
0,0,0,1,3,0.028656921000219882,0.02409,0.0042290000000000001,34463744,NA,NA,NA,NA,NA,NA,NA,NA,247896,280189,4101,1,cf0f1cc1e290dce65809b3140c6f2dc9062a9f452120988a3a869e7faab69134,5269,0,2,0
0,0,1,0,3,0.027547572004550602,0.016232,0.011101999999999999,33603584,NA,NA,NA,NA,NA,NA,NA,NA,247896,280189,4101,1,cf0f1cc1e290dce65809b3140c6f2dc9062a9f452120988a3a869e7faab69134,5282,0,1,0
0,0,0,1,0,0.019429042004048824,0.014990999999999999,0.0042789999999999998,26976256,NA,NA,NA,NA,NA,NA,NA,NA,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3501,0,1,0
0,0,1,0,0,0.016914580002776347,0.016739,0,26640384,NA,NA,NA,NA,NA,NA,NA,NA,2008,133,5,1,8210b4f6eac12a20575e673437437e82cfff653da437ea17992a3aed56a99207,3495,0,2,0
0,0,0,0,4,0.054132299999764655,0.042113999999999999,0.011788999999999999,43913216,NA,NA,NA,NA,NA,NA,NA,NA,730768,235398,3329,64,7d84d7d4d682229a42468b264cd2b780451a72c1eb743e49ebe49c981197a8ed,7665,0,2,2
0,0,1,1,4,0.061967098998138681,0.048645999999999995,0.013134999999999999,44179456,NA,NA,NA,NA,NA,NA,NA,NA,730768,235398,3329,64,7d84d7d4d682229a42468b264cd2b780451a72c1eb743e49ebe49c981197a8ed,7665,0,2,0
0,0,0,0,6,2.747259382995253,2.1172460000000002,0.624668,1036513280,NA,NA,NA,NA,NA,NA,NA,NA,38131352,30383553,376933,0,f74b0d2d6238eae9df401858012151ece2e7d9923a096e3aae1136059c9e5ba4,251435,0,2,20
0,0,1,1,6,2.7350860140068107,2.0605060000000002,0.652285,1036443648,NA,NA,NA,NA,NA,NA,NA,NA,38131352,30383553,376933,0,f74b0d2d6238eae9df401858012151ece2e7d9923a096e3aae1136059c9e5ba4,251448,0,2,285
0,1,0,0,1,0.027775247996032704,0.01976,0.0078980000000000005,33370112,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c,5055,0,1,0
0,1,1,1,1,0.027854715997818857,0.011419,0.016265999999999999,33103872,NA,NA,NA,NA,NA,NA,NA,NA,126024,51085,1029,1,d6479df97612ac41a8966333a6ef58076a32dad29a20f6bc64e0a5b65673088c,5080,0,2,1
0,1,0,0,3,0.025947024005290587,0.016997999999999999,0.0084429999999999991,34357248,NA,NA,NA,NA,NA,NA,NA,NA,247896,280189,4101,1,cf0f1cc1e290dce65809b3140c6f2dc9062a9f452120988a3a869e7faab69134,5255,0,2,0
0,1,1,1,3,0.026214537996565923,0.018505000000000001,0.0075649999999999997,34557952,NA,NA,NA,NA,NA,NA,NA,NA,247896,280189,4101,1,cf0f1cc1e290dce65809b3140c6f2dc9062a9f452120988a3a869e7faab69134,5264,0,2,2
0,1,0,1,6,2.6563806409976678,2.0591360000000001,0.59331999999999996,1036369920,NA,NA,NA,NA,NA,NA,NA,NA,38131352,30383553,376933,0,f74b0d2d6238eae9df401858012151ece2e7d9923a096e3aae1136059c9e5ba4,251462,0,1,26
