round,variant,count,shape,repeat,link_ns,cpu_ns,output_arena_bytes,sort_scratch_bytes,checksum,failed
0,base,8,0,0,3654,9000,2176,160,476,0
0,base,8,0,1,743,1000,2176,160,476,0
0,base,8,0,2,364,0,2176,160,476,0
0,base,8,0,3,327,0,2176,160,476,0
0,base,8,0,4,329,0,2176,160,476,0
0,base,8,0,5,325,0,2176,160,476,0
0,base,8,0,6,332,0,2176,160,476,0
0,base,8,0,7,334,1000,2176,160,476,0
0,patch,8,0,0,3948,8000,2176,160,476,0
0,patch,8,0,1,1459,2000,2176,160,476,0
0,patch,8,0,2,997,1000,2176,160,476,0
0,patch,8,0,3,869,1000,2176,160,476,0
0,patch,8,0,4,847,1000,2176,160,476,0
0,patch,8,0,5,854,1000,2176,160,476,0
0,patch,8,0,6,831,2000,2176,160,476,0
0,patch,8,0,7,862,1000,2176,160,476,0
0,base,1024,0,0,378919,388000,112920,20480,8904192,0
0,base,1024,0,1,306949,308000,112920,20480,8904192,0
0,base,1024,0,2,304465,305000,112920,20480,8904192,0
0,base,1024,0,3,315602,316000,112920,20480,8904192,0
0,base,1024,0,4,299547,300000,112920,20480,8904192,0
0,base,1024,0,5,300185,300000,112920,20480,8904192,0
0,base,1024,0,6,318266,319000,112920,20480,8904192,0
0,base,1024,0,7,447326,448000,112920,20480,8904192,0
0,patch,1024,0,0,78780,83000,112920,20480,8904192,0
0,patch,1024,0,1,30771,31000,112920,20480,8904192,0
0,patch,1024,0,2,31251,31000,112920,20480,8904192,0
0,patch,1024,0,3,32352,33000,112920,20480,8904192,0
0,patch,1024,0,4,30814,31000,112920,20480,8904192,0
0,patch,1024,0,5,30331,30000,112920,20480,8904192,0
0,patch,1024,0,6,30021,31000,112920,20480,8904192,0
0,patch,1024,0,7,112599,113000,112920,20480,8904192,0
0,base,4096,0,0,7351363,6368000,447768,81920,142571520,0
0,base,4096,0,1,15028123,5955000,447768,81920,142571520,0
0,base,4096,0,2,4872195,4873000,447768,81920,142571520,0
0,base,4096,0,3,4915431,4799000,447768,81920,142571520,0
0,base,4096,0,4,8756557,4744000,447768,81920,142571520,0
0,base,4096,0,5,11340897,5201000,447768,81920,142571520,0
0,base,4096,0,6,8679736,4669000,447768,81920,142571520,0
0,base,4096,0,7,7886976,4664000,447768,81920,142571520,0
0,patch,4096,0,0,304743,309000,447768,81920,142571520,0
0,patch,4096,0,1,119485,120000,447768,81920,142571520,0
0,patch,4096,0,2,112706,113000,447768,81920,142571520,0
0,patch,4096,0,3,118972,119000,447768,81920,142571520,0
0,patch,4096,0,4,210148,211000,447768,81920,142571520,0
0,patch,4096,0,5,117662,118000,447768,81920,142571520,0
0,patch,4096,0,6,148620,149000,447768,81920,142571520,0
0,patch,4096,0,7,130812,132000,447768,81920,142571520,0
0,base,8192,0,0,56408110,21360000,894232,163840,570355712,0
0,base,8192,0,1,39573031,20080000,894232,163840,570355712,0
0,base,8192,0,2,52199784,21860000,894232,163840,570355712,0
0,base,8192,0,3,41197765,21153000,894232,163840,570355712,0
0,base,8192,0,4,56970649,20513000,894232,163840,570355712,0
0,base,8192,0,5,82852489,39099000,894232,163840,570355712,0
0,base,8192,0,6,42049617,22745000,894232,163840,570355712,0
0,base,8192,0,7,69498678,21700000,894232,163840,570355712,0
0,patch,8192,0,0,673826,679000,894232,163840,570355712,0
0,patch,8192,0,1,323886,325000,894232,163840,570355712,0
0,patch,8192,0,2,246907,247000,894232,163840,570355712,0
0,patch,8192,0,3,318159,319000,894232,163840,570355712,0
0,patch,8192,0,4,247930,248000,894232,163840,570355712,0
0,patch,8192,0,5,278804,279000,894232,163840,570355712,0
0,patch,8192,0,6,244015,245000,894232,163840,570355712,0
0,patch,8192,0,7,331892,334000,894232,163840,570355712,0
0,base,16384,0,0,182686929,86998000,1787160,327680,2281562112,0
0,base,16384,0,1,180843858,79230000,1787160,327680,2281562112,0
0,base,16384,0,2,185440508,81978000,1787160,327680,2281562112,0
0,base,16384,0,3,496435745,219049000,1787160,327680,2281562112,0
0,base,16384,0,4,212100601,85439000,1787160,327680,2281562112,0
0,base,16384,0,5,224505485,100600000,1787160,327680,2281562112,0
0,base,16384,0,6,214410122,94397000,1787160,327680,2281562112,0
0,base,16384,0,7,179376333,79518000,1787160,327680,2281562112,0
0,patch,16384,0,0,1672915,1681000,1787160,327680,2281562112,0
0,patch,16384,0,1,716025,717000,1787160,327680,2281562112,0
0,patch,16384,0,2,637372,638000,1787160,327680,2281562112,0
0,patch,16384,0,3,4719874,724000,1787160,327680,2281562112,0
0,patch,16384,0,4,657179,658000,1787160,327680,2281562112,0
0,patch,16384,0,5,886003,889000,1787160,327680,2281562112,0
0,patch,16384,0,6,640016,641000,1787160,327680,2281562112,0
0,patch,16384,0,7,749429,751000,1787160,327680,2281562112,0
0,base,32768,0,0,975771557,335308000,3573016,655360,9126526976,0
0,base,32768,0,1,815952895,328557000,3573016,655360,9126526976,0
0,base,32768,0,2,783810556,320357000,3573016,655360,9126526976,0
0,base,32768,0,3,930689114,354139000,3573016,655360,9126526976,0
0,base,32768,0,4,745329422,331584000,3573016,655360,9126526976,0
0,base,32768,0,5,1064308740,331839000,3573016,655360,9126526976,0
0,base,32768,0,6,1119397729,329686000,3573016,655360,9126526976,0
0,base,32768,0,7,1293252234,358319000,3573016,655360,9126526976,0
0,patch,32768,0,0,8908912,4907000,3573016,655360,9126526976,0
0,patch,32768,0,1,2048327,2053000,3573016,655360,9126526976,0
0,patch,32768,0,2,1882365,1884000,3573016,655360,9126526976,0
0,patch,32768,0,3,1821566,1825000,3573016,655360,9126526976,0
0,patch,32768,0,4,1859610,1863000,3573016,655360,9126526976,0
0,patch,32768,0,5,1703767,1708000,3573016,655360,9126526976,0
0,patch,32768,0,6,1886230,1890000,3573016,655360,9126526976,0
0,patch,32768,0,7,1761927,1774000,3573016,655360,9126526976,0
0,base,65536,0,0,4817150036,2059916000,7144728,1310720,36506664960,0
0,base,65536,0,1,4805173729,2085260000,7144728,1310720,36506664960,0
0,base,65536,0,2,4886854470,1923881000,7144728,1310720,36506664960,0
0,base,65536,0,3,4885942012,2109937000,7144728,1310720,36506664960,0
0,base,65536,0,4,4295748263,2167389000,7144728,1310720,36506664960,0
0,base,65536,0,5,4939589355,2092359000,7144728,1310720,36506664960,0
0,base,65536,0,6,6767982238,2019763000,7144728,1310720,36506664960,0
0,base,65536,0,7,6395607071,2098151000,7144728,1310720,36506664960,0
0,patch,65536,0,0,24056036,11785000,7144728,1310720,36506664960,0
0,patch,65536,0,1,4255880,4369000,7144728,1310720,36506664960,0
0,patch,65536,0,2,11251352,5987000,7144728,1310720,36506664960,0
0,patch,65536,0,3,4541150,4548000,7144728,1310720,36506664960,0
0,patch,65536,0,4,9385495,5563000,7144728,1310720,36506664960,0
0,patch,65536,0,5,6057374,6062000,7144728,1310720,36506664960,0
0,patch,65536,0,6,5250684,5255000,7144728,1310720,36506664960,0
0,patch,65536,0,7,5744983,5750000,7144728,1310720,36506664960,0
0,base,8,1,0,4401,12000,2176,0,476,0
0,base,8,1,1,1079,2000,2176,0,476,0
0,base,8,1,2,717,1000,2176,0,476,0
0,base,8,1,3,649,1000,2176,0,476,0
0,base,8,1,4,568,1000,2176,0,476,0
0,base,8,1,5,597,2000,2176,0,476,0
0,base,8,1,6,549,1000,2176,0,476,0
0,base,8,1,7,653,23000,2176,0,476,0
0,patch,8,1,0,3748,19000,2176,0,476,0
0,patch,8,1,1,802,1000,2176,0,476,0
0,patch,8,1,2,440,1000,2176,0,476,0
0,patch,8,1,3,286,1000,2176,0,476,0
0,patch,8,1,4,271,1000,2176,0,476,0
0,patch,8,1,5,281,1000,2176,0,476,0
0,patch,8,1,6,291,1000,2176,0,476,0
0,patch,8,1,7,288,1000,2176,0,476,0
0,base,1024,1,0,57577,61000,112920,0,8904192,0
0,base,1024,1,1,22348,23000,112920,0,8904192,0
0,base,1024,1,2,13817,73000,112920,0,8904192,0
0,base,1024,1,3,13155,13000,112920,0,8904192,0
0,base,1024,1,4,13141,14000,112920,0,8904192,0
0,base,1024,1,5,12989,13000,112920,0,8904192,0
0,base,1024,1,6,12993,14000,112920,0,8904192,0
0,base,1024,1,7,12902,13000,112920,0,8904192,0
0,patch,1024,1,0,108663,117000,112920,0,8904192,0
0,patch,1024,1,1,24247,25000,112920,0,8904192,0
0,patch,1024,1,2,2079998,441000,112920,0,8904192,0
0,patch,1024,1,3,29171,29000,112920,0,8904192,0
0,patch,1024,1,4,25217,26000,112920,0,8904192,0
0,patch,1024,1,5,51837,52000,112920,0,8904192,0
0,patch,1024,1,6,23870,24000,112920,0,8904192,0
0,patch,1024,1,7,25173,26000,112920,0,8904192,0
0,base,65536,1,0,11614017,6526000,7144728,0,36506664960,0
0,base,65536,1,1,8046183,1961000,7144728,0,36506664960,0
0,base,65536,1,2,2126162,2129000,7144728,0,36506664960,0
0,base,65536,1,3,4488781,2012000,7144728,0,36506664960,0
0,base,65536,1,4,1892718,1896000,7144728,0,36506664960,0
0,base,65536,1,5,2041046,2046000,7144728,0,36506664960,0
0,base,65536,1,6,9937807,1874000,7144728,0,36506664960,0
0,base,65536,1,7,1659747,1663000,7144728,0,36506664960,0
0,patch,65536,1,0,10542612,6547000,7144728,0,36506664960,0
0,patch,65536,1,1,2361602,2366000,7144728,0,36506664960,0
0,patch,65536,1,2,5956132,1964000,7144728,0,36506664960,0
0,patch,65536,1,3,2164876,2169000,7144728,0,36506664960,0
0,patch,65536,1,4,6376452,2372000,7144728,0,36506664960,0
0,patch,65536,1,5,6045463,2057000,7144728,0,36506664960,0
0,patch,65536,1,6,2651654,2657000,7144728,0,36506664960,0
0,patch,65536,1,7,20189642,2422000,7144728,0,36506664960,0
0,base,65536,2,0,15785330,7771000,7144728,0,36506664960,0
0,base,65536,2,1,7306161,2766000,7144728,0,36506664960,0
0,base,65536,2,2,7216216,3271000,7144728,0,36506664960,0
0,base,65536,2,3,9791185,2892000,7144728,0,36506664960,0
0,base,65536,2,4,8462716,4671000,7144728,0,36506664960,0
0,base,65536,2,5,2789118,2793000,7144728,0,36506664960,0
0,base,65536,2,6,2508798,2514000,7144728,0,36506664960,0
0,base,65536,2,7,16072974,2330000,7144728,0,36506664960,0
0,patch,65536,2,0,14359707,6598000,7144728,0,36506664960,0
0,patch,65536,2,1,1827046,1830000,7144728,0,36506664960,0
0,patch,65536,2,2,1797966,1802000,7144728,0,36506664960,0
0,patch,65536,2,3,5436840,1923000,7144728,0,36506664960,0
0,patch,65536,2,4,2963715,2968000,7144728,0,36506664960,0
0,patch,65536,2,5,2925120,3520000,7144728,0,36506664960,0
0,patch,65536,2,6,3712141,3716000,7144728,0,36506664960,0
0,patch,65536,2,7,1990279,1995000,7144728,0,36506664960,0
1,patch,8,0,0,4574,12000,2176,160,476,0
1,patch,8,0,1,1802,2000,2176,160,476,0
1,patch,8,0,2,1407,2000,2176,160,476,0
1,patch,8,0,3,1282,2000,2176,160,476,0
1,patch,8,0,4,1316,2000,2176,160,476,0
1,patch,8,0,5,1267,1000,2176,160,476,0
1,patch,8,0,6,1307,1000,2176,160,476,0
1,patch,8,0,7,1263,2000,2176,160,476,0
1,base,8,0,0,6578,27000,2176,160,476,0
1,base,8,0,1,1157,2000,2176,160,476,0
1,base,8,0,2,776,1000,2176,160,476,0
1,base,8,0,3,760,1000,2176,160,476,0
1,base,8,0,4,778,1000,2176,160,476,0
1,base,8,0,5,775,1000,2176,160,476,0
1,base,8,0,6,702,1000,2176,160,476,0
1,base,8,0,7,704,1000,2176,160,476,0
1,patch,1024,0,0,108655,116000,112920,20480,8904192,0
1,patch,1024,0,1,46704,47000,112920,20480,8904192,0
1,patch,1024,0,2,44810,46000,112920,20480,8904192,0
1,patch,1024,0,3,45275,46000,112920,20480,8904192,0
1,patch,1024,0,4,46988,48000,112920,20480,8904192,0
1,patch,1024,0,5,47072,47000,112920,20480,8904192,0
1,patch,1024,0,6,44906,46000,112920,20480,8904192,0
1,patch,1024,0,7,44582,45000,112920,20480,8904192,0
1,base,1024,0,0,692282,700000,112920,20480,8904192,0
1,base,1024,0,1,508148,510000,112920,20480,8904192,0
1,base,1024,0,2,485522,486000,112920,20480,8904192,0
1,base,1024,0,3,839808,853000,112920,20480,8904192,0
1,base,1024,0,4,549677,551000,112920,20480,8904192,0
1,base,1024,0,5,498512,499000,112920,20480,8904192,0
1,base,1024,0,6,483734,484000,112920,20480,8904192,0
1,base,1024,0,7,496112,496000,112920,20480,8904192,0
1,patch,4096,0,0,657491,676000,447768,81920,142571520,0
1,patch,4096,0,1,181155,182000,447768,81920,142571520,0
1,patch,4096,0,2,261151,263000,447768,81920,142571520,0
1,patch,4096,0,3,177329,178000,447768,81920,142571520,0
1,patch,4096,0,4,174260,174000,447768,81920,142571520,0
1,patch,4096,0,5,201708,202000,447768,81920,142571520,0
1,patch,4096,0,6,174925,175000,447768,81920,142571520,0
1,patch,4096,0,7,239324,240000,447768,81920,142571520,0
1,base,4096,0,0,17469130,9380000,447768,81920,142571520,0
1,base,4096,0,1,17317843,8923000,447768,81920,142571520,0
1,base,4096,0,2,33040517,8574000,447768,81920,142571520,0
1,base,4096,0,3,16389758,8368000,447768,81920,142571520,0
1,base,4096,0,4,16162404,8293000,447768,81920,142571520,0
1,base,4096,0,5,17732127,9450000,447768,81920,142571520,0
1,base,4096,0,6,22574828,10642000,447768,81920,142571520,0
1,base,4096,0,7,22022682,8220000,447768,81920,142571520,0
1,patch,8192,0,0,896934,908000,894232,163840,570355712,0
1,patch,8192,0,1,4488144,479000,894232,163840,570355712,0
1,patch,8192,0,2,380654,382000,894232,163840,570355712,0
1,patch,8192,0,3,395475,397000,894232,163840,570355712,0
1,patch,8192,0,4,374436,376000,894232,163840,570355712,0
1,patch,8192,0,5,395260,396000,894232,163840,570355712,0
1,patch,8192,0,6,365131,367000,894232,163840,570355712,0
