round,variant,count,shape,repeat,link_ns,output_arena_bytes,sort_scratch_bytes,checksum,failed
0,base,8,0,0,4903,2176,160,476,0
0,base,8,0,1,1885,2176,160,476,0
0,base,8,0,2,695,2176,160,476,0
0,base,8,0,3,541,2176,160,476,0
0,base,8,0,4,546,2176,160,476,0
0,base,8,0,5,564,2176,160,476,0
0,base,8,0,6,528,2176,160,476,0
0,base,8,0,7,585,2176,160,476,0
0,patch,8,0,0,6075,2176,160,476,0
0,patch,8,0,1,2317,2176,160,476,0
0,patch,8,0,2,1305,2176,160,476,0
0,patch,8,0,3,1272,2176,160,476,0
0,patch,8,0,4,1291,2176,160,476,0
0,patch,8,0,5,1166,2176,160,476,0
0,patch,8,0,6,1257,2176,160,476,0
0,patch,8,0,7,1251,2176,160,476,0
0,base,1024,0,0,475973,112920,20480,8904192,0
0,base,1024,0,1,5089389,112920,20480,8904192,0
0,base,1024,0,2,461827,112920,20480,8904192,0
0,base,1024,0,3,481856,112920,20480,8904192,0
0,base,1024,0,4,481662,112920,20480,8904192,0
0,base,1024,0,5,93028896,112920,20480,8904192,0
0,base,1024,0,6,439417,112920,20480,8904192,0
0,base,1024,0,7,495934,112920,20480,8904192,0
0,patch,1024,0,0,109626,112920,20480,8904192,0
0,patch,1024,0,1,41517,112920,20480,8904192,0
0,patch,1024,0,2,15082834,112920,20480,8904192,0
0,patch,1024,0,3,45364,112920,20480,8904192,0
0,patch,1024,0,4,43032,112920,20480,8904192,0
0,patch,1024,0,5,42054,112920,20480,8904192,0
0,patch,1024,0,6,43484,112920,20480,8904192,0
0,patch,1024,0,7,61540,112920,20480,8904192,0
0,base,4096,0,0,162274466,447768,81920,142571520,0
0,base,4096,0,1,35069639,447768,81920,142571520,0
0,base,4096,0,2,38479705,447768,81920,142571520,0
0,base,4096,0,3,115190770,447768,81920,142571520,0
0,base,4096,0,4,77652179,447768,81920,142571520,0
0,base,4096,0,5,33466797,447768,81920,142571520,0
0,base,4096,0,6,45317294,447768,81920,142571520,0
0,base,4096,0,7,35166479,447768,81920,142571520,0
0,patch,4096,0,0,5691719,447768,81920,142571520,0
0,patch,4096,0,1,177158,447768,81920,142571520,0
0,patch,4096,0,2,233050,447768,81920,142571520,0
0,patch,4096,0,3,170853,447768,81920,142571520,0
0,patch,4096,0,4,203573,447768,81920,142571520,0
0,patch,4096,0,5,175704,447768,81920,142571520,0
0,patch,4096,0,6,171781,447768,81920,142571520,0
0,patch,4096,0,7,1917267,447768,81920,142571520,0
0,base,8192,0,0,198653165,894232,163840,570355712,0
0,base,8192,0,1,246310724,894232,163840,570355712,0
0,base,8192,0,2,92832576,894232,163840,570355712,0
0,base,8192,0,3,117130833,894232,163840,570355712,0
0,base,8192,0,4,99963122,894232,163840,570355712,0
0,base,8192,0,5,65246907,894232,163840,570355712,0
0,base,8192,0,6,90113421,894232,163840,570355712,0
0,base,8192,0,7,76192703,894232,163840,570355712,0
0,patch,8192,0,0,1518111,894232,163840,570355712,0
0,patch,8192,0,1,2798348,894232,163840,570355712,0
0,patch,8192,0,2,367688,894232,163840,570355712,0
0,patch,8192,0,3,1154025,894232,163840,570355712,0
0,patch,8192,0,4,1007614,894232,163840,570355712,0
0,patch,8192,0,5,347460,894232,163840,570355712,0
0,patch,8192,0,6,397523,894232,163840,570355712,0
0,patch,8192,0,7,353342,894232,163840,570355712,0
0,base,16384,0,0,399559508,1787160,327680,2281562112,0
0,base,16384,0,1,520824752,1787160,327680,2281562112,0
0,base,16384,0,2,529779243,1787160,327680,2281562112,0
0,base,16384,0,3,317042813,1787160,327680,2281562112,0
0,base,16384,0,4,299176360,1787160,327680,2281562112,0
0,base,16384,0,5,958960805,1787160,327680,2281562112,0
0,base,16384,0,6,496719042,1787160,327680,2281562112,0
0,base,16384,0,7,523722145,1787160,327680,2281562112,0
0,patch,16384,0,0,3179652,1787160,327680,2281562112,0
0,patch,16384,0,1,1283368,1787160,327680,2281562112,0
0,patch,16384,0,2,10357029,1787160,327680,2281562112,0
0,patch,16384,0,3,7270457,1787160,327680,2281562112,0
0,patch,16384,0,4,965498,1787160,327680,2281562112,0
0,patch,16384,0,5,5866941,1787160,327680,2281562112,0
0,patch,16384,0,6,2665521,1787160,327680,2281562112,0
0,patch,16384,0,7,15253931,1787160,327680,2281562112,0
0,base,32768,0,0,1891436512,3573016,655360,9126526976,0
0,base,32768,0,1,1206336117,3573016,655360,9126526976,0
0,base,32768,0,2,1309631583,3573016,655360,9126526976,0
0,base,32768,0,3,2725562961,3573016,655360,9126526976,0
0,base,32768,0,4,3183097681,3573016,655360,9126526976,0
0,base,32768,0,5,1408972705,3573016,655360,9126526976,0
0,base,32768,0,6,1462003114,3573016,655360,9126526976,0
0,base,32768,0,7,1213959959,3573016,655360,9126526976,0
0,patch,32768,0,0,58755933,3573016,655360,9126526976,0
0,patch,32768,0,1,17893781,3573016,655360,9126526976,0
0,patch,32768,0,2,1803666,3573016,655360,9126526976,0
0,patch,32768,0,3,5908928,3573016,655360,9126526976,0
0,patch,32768,0,4,1647274,3573016,655360,9126526976,0
0,patch,32768,0,5,4278525,3573016,655360,9126526976,0
0,patch,32768,0,6,1814852,3573016,655360,9126526976,0
0,patch,32768,0,7,1669525,3573016,655360,9126526976,0
0,base,65536,0,0,4747943661,7144728,1310720,36506664960,0
0,base,65536,0,1,5444072061,7144728,1310720,36506664960,0
0,base,65536,0,2,3883137898,7144728,1310720,36506664960,0
0,base,65536,0,3,3123655541,7144728,1310720,36506664960,0
0,base,65536,0,4,3434011037,7144728,1310720,36506664960,0
0,base,65536,0,5,4608668244,7144728,1310720,36506664960,0
0,base,65536,0,6,3886730444,7144728,1310720,36506664960,0
0,base,65536,0,7,4598188763,7144728,1310720,36506664960,0
0,patch,65536,0,0,17652618,7144728,1310720,36506664960,0
0,patch,65536,0,1,8404638,7144728,1310720,36506664960,0
0,patch,65536,0,2,12692687,7144728,1310720,36506664960,0
0,patch,65536,0,3,7764817,7144728,1310720,36506664960,0
0,patch,65536,0,4,3688405,7144728,1310720,36506664960,0
0,patch,65536,0,5,5532068,7144728,1310720,36506664960,0
0,patch,65536,0,6,16523947,7144728,1310720,36506664960,0
0,patch,65536,0,7,7697144,7144728,1310720,36506664960,0
0,base,8,1,0,4465,2176,0,476,0
0,base,8,1,1,864,2176,0,476,0
0,base,8,1,2,564,2176,0,476,0
0,base,8,1,3,508,2176,0,476,0
0,base,8,1,4,488,2176,0,476,0
0,base,8,1,5,574,2176,0,476,0
0,base,8,1,6,557,2176,0,476,0
0,base,8,1,7,539,2176,0,476,0
0,patch,8,1,0,2832,2176,0,476,0
0,patch,8,1,1,1020,2176,0,476,0
0,patch,8,1,2,544,2176,0,476,0
0,patch,8,1,3,463,2176,0,476,0
0,patch,8,1,4,492,2176,0,476,0
0,patch,8,1,5,484,2176,0,476,0
0,patch,8,1,6,521,2176,0,476,0
0,patch,8,1,7,443,2176,0,476,0
0,base,1024,1,0,65332,112920,0,8904192,0
0,base,1024,1,1,23840,112920,0,8904192,0
0,base,1024,1,2,21839,112920,0,8904192,0
0,base,1024,1,3,20801,112920,0,8904192,0
0,base,1024,1,4,21087,112920,0,8904192,0
0,base,1024,1,5,22571,112920,0,8904192,0
0,base,1024,1,6,23845,112920,0,8904192,0
0,base,1024,1,7,21431,112920,0,8904192,0
0,patch,1024,1,0,65596,112920,0,8904192,0
0,patch,1024,1,1,22814,112920,0,8904192,0
0,patch,1024,1,2,20127,112920,0,8904192,0
0,patch,1024,1,3,20871,112920,0,8904192,0
0,patch,1024,1,4,19353,112920,0,8904192,0
0,patch,1024,1,5,21362,112920,0,8904192,0
0,patch,1024,1,6,19064,112920,0,8904192,0
0,patch,1024,1,7,24191,112920,0,8904192,0
0,base,65536,1,0,9106425,7144728,0,36506664960,0
0,base,65536,1,1,22428857,7144728,0,36506664960,0
0,base,65536,1,2,2112969,7144728,0,36506664960,0
0,base,65536,1,3,6305134,7144728,0,36506664960,0
0,base,65536,1,4,1651142,7144728,0,36506664960,0
0,base,65536,1,5,5877230,7144728,0,36506664960,0
0,base,65536,1,6,1725258,7144728,0,36506664960,0
