round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
0,0,0,0,0,0.11756715500087012,0.032162999999999997,0.015893999999999998,25604096,NA,NA,NA,NA,NA,NA,NA,NA,2320,143,3,1,7bcf72d0b53a1628f528eb1e8226d67e973b8b0c700ac5d13719c4250a1cd3cb,3519,0,1,13
0,0,1,1,0,0.1052107959985733,0.029384,0.011502999999999999,25862144,NA,NA,NA,NA,NA,NA,NA,NA,2320,143,3,1,7bcf72d0b53a1628f528eb1e8226d67e973b8b0c700ac5d13719c4250a1cd3cb,3503,0,1,12
0,0,0,0,1,0.10665258600784,0.026948999999999997,0.016291,25518080,NA,NA,NA,NA,NA,NA,NA,NA,935,143,3,1,a4cd029a81955640011a51c7433acca5a4cc20894e8d0af2a08a63292cf16d28,3516,0,1,10
0,0,1,1,1,0.034217419000924565,0.019675999999999999,0.011210999999999999,25993216,NA,NA,NA,NA,NA,NA,NA,NA,935,143,3,1,a4cd029a81955640011a51c7433acca5a4cc20894e8d0af2a08a63292cf16d28,3486,0,1,3
0,0,0,0,2,0.083786770002916455,0.027748999999999999,0.014898,25772032,NA,NA,NA,NA,NA,NA,NA,NA,4304,892,17,8,159bae6c0a8d5839498a4128c019e4fb2fbd04ac993984b1f473914fd30654ed,3569,0,1,10
0,0,1,1,2,0.080667524001910351,0.022917,0.007522,26320896,NA,NA,NA,NA,NA,NA,NA,NA,4304,892,17,8,159bae6c0a8d5839498a4128c019e4fb2fbd04ac993984b1f473914fd30654ed,3552,0,1,10
0,0,0,0,3,0.057613722994574346,0.021000999999999999,0.0083359999999999997,25927680,NA,NA,NA,NA,NA,NA,NA,NA,6531,892,17,8,5abebb757e4da9c32f754b9368cefaaf3afe462010c26fed621a3fd90d509d7b,3565,0,1,9
0,0,1,1,3,0.095599281004979275,0.032098999999999996,0.007796,26312704,NA,NA,NA,NA,NA,NA,NA,NA,6531,892,17,8,5abebb757e4da9c32f754b9368cefaaf3afe462010c26fed621a3fd90d509d7b,3549,0,1,14
0,0,0,0,4,0.17343480899580754,0.046515999999999995,0.026837999999999997,29020160,NA,NA,NA,NA,NA,NA,NA,NA,75784,29036,513,256,202ae05c594e95aca93262c91daa37d76398cb2cedbdd0e850759b7857e31b81,4298,0,1,17
0,0,1,1,4,0.11265840000123717,0.038258,0.014882999999999999,29442048,NA,NA,NA,NA,NA,NA,NA,NA,75784,29036,513,256,202ae05c594e95aca93262c91daa37d76398cb2cedbdd0e850759b7857e31b81,4265,0,1,12
0,0,0,0,5,0.20867131699924357,0.066372,0.017471,28913664,NA,NA,NA,NA,NA,NA,NA,NA,211175,29036,513,256,092666d3ce7cc9f632f0743e523394193478df8da9a7c1b1cae5fd82b44885b7,4336,0,1,23
0,0,1,1,5,0.10540744400350377,0.025592999999999998,0.019362999999999998,29351936,NA,NA,NA,NA,NA,NA,NA,NA,211175,29036,513,256,092666d3ce7cc9f632f0743e523394193478df8da9a7c1b1cae5fd82b44885b7,4305,0,1,10
0,0,0,0,6,0.12703381599567365,0.037839999999999999,0.01115,31924224,NA,NA,NA,NA,NA,NA,NA,NA,149768,58476,1025,512,81f3ab7b6aa4db6c6b95dab0a1c8934921caf5c9750bd76bf6ac29dfa0b7cbfb,5071,0,1,13
0,0,1,1,6,0.1081989080121275,0.038516000000000002,0.0086990000000000001,32473088,NA,NA,NA,NA,NA,NA,NA,NA,149768,58476,1025,512,81f3ab7b6aa4db6c6b95dab0a1c8934921caf5c9750bd76bf6ac29dfa0b7cbfb,5039,0,1,13
0,0,0,0,7,0.44208184500166681,0.186782,0.033225999999999999,32096256,NA,NA,NA,NA,NA,NA,NA,NA,423655,58476,1025,512,d105c3c7852b55ecb0350ed4ff13709d9a71db0f898c69e1e411d385c7e63f24,5142,0,1,61
0,0,1,1,7,0.14664680800342467,0.043826999999999998,0.010713,32772096,NA,NA,NA,NA,NA,NA,NA,NA,423655,58476,1025,512,d105c3c7852b55ecb0350ed4ff13709d9a71db0f898c69e1e411d385c7e63f24,5117,0,1,19
0,0,0,0,8,0.19100989899015985,0.049822999999999999,0.019008999999999998,38227968,NA,NA,NA,NA,NA,NA,NA,NA,297784,117452,2049,1024,cf5af656224186a75ae5b60445a8c7c7c5e6150bf3d3e6cfb3c60e83942578f3,6604,0,1,23
0,0,1,1,8,0.25677821999124717,0.080154000000000003,0.035803999999999996,38641664,NA,NA,NA,NA,NA,NA,NA,NA,297784,117452,2049,1024,cf5af656224186a75ae5b60445a8c7c7c5e6150bf3d3e6cfb3c60e83942578f3,6574,0,1,33
0,0,0,0,9,0.88198750499577727,0.37433,0.018090999999999999,38617088,NA,NA,NA,NA,NA,NA,NA,NA,848855,117452,2049,1024,1eaba78e4ab286d1d3b2f4ed12f22453f493853d33cd8f8e24b56e7382104eaf,6751,0,1,114
0,0,1,1,9,0.17445524698996451,0.05049,0.025203,38936576,NA,NA,NA,NA,NA,NA,NA,NA,848855,117452,2049,1024,1eaba78e4ab286d1d3b2f4ed12f22453f493853d33cd8f8e24b56e7382104eaf,6739,0,1,19
0,0,0,0,10,0.24216085700027179,0.088465999999999989,0.037469999999999996,50655232,NA,NA,NA,NA,NA,NA,NA,NA,595768,239308,4097,2048,dd38ac185c278b36db216c5cf6abe292e612baac8e4efa2df264337f8f60927f,9686,0,1,36
0,0,1,1,10,0.32086610299302265,0.11659499999999999,0.058540999999999996,51200000,NA,NA,NA,NA,NA,NA,NA,NA,595768,239308,4097,2048,dd38ac185c278b36db216c5cf6abe292e612baac8e4efa2df264337f8f60927f,9670,0,1,48
0,0,0,0,11,4.1904982409905642,2.366784,0.059829999999999994,51761152,NA,NA,NA,NA,NA,NA,NA,NA,1709015,239308,4097,2048,7cb9fc2a231b1f5539db3a650615a4d40936e1fcb60102456c4d89a8c0353ead,9984,0,1,628
0,0,1,1,11,0.31010741500358563,0.101382,0.032654999999999997,52154368,NA,NA,NA,NA,NA,NA,NA,NA,1709015,239308,4097,2048,7cb9fc2a231b1f5539db3a650615a4d40936e1fcb60102456c4d89a8c0353ead,9974,0,1,44
0,1,0,1,0,0.056549840999650769,0.024435999999999999,0.0096879999999999987,25731072,NA,NA,NA,NA,NA,NA,NA,NA,2320,143,3,1,7bcf72d0b53a1628f528eb1e8226d67e973b8b0c700ac5d13719c4250a1cd3cb,3499,0,1,6
0,1,1,0,0,0.069606361998012289,0.025579999999999999,0.0094520000000000003,25534464,NA,NA,NA,NA,NA,NA,NA,NA,2320,143,3,1,7bcf72d0b53a1628f528eb1e8226d67e973b8b0c700ac5d13719c4250a1cd3cb,3518,0,1,9
0,1,0,1,1,0.073546625004382804,0.030008999999999997,0.0085599999999999999,25690112,NA,NA,NA,NA,NA,NA,NA,NA,935,143,3,1,a4cd029a81955640011a51c7433acca5a4cc20894e8d0af2a08a63292cf16d28,3501,0,1,7
0,1,1,0,1,0.09408741700462997,0.030471999999999999,0.0092829999999999996,25563136,NA,NA,NA,NA,NA,NA,NA,NA,935,143,3,1,a4cd029a81955640011a51c7433acca5a4cc20894e8d0af2a08a63292cf16d28,3515,0,1,11
0,1,0,1,2,0.091996243005269207,0.027562999999999997,0.0042599999999999999,26025984,NA,NA,NA,NA,NA,NA,NA,NA,4304,892,17,8,159bae6c0a8d5839498a4128c019e4fb2fbd04ac993984b1f473914fd30654ed,3550,0,1,9
0,1,1,0,2,0.066631203997530974,0.020590000000000001,0.013571999999999999,26017792,NA,NA,NA,NA,NA,NA,NA,NA,4304,892,17,8,159bae6c0a8d5839498a4128c019e4fb2fbd04ac993984b1f473914fd30654ed,3571,0,1,11
0,1,0,1,3,0.078953479998745024,0.017357000000000001,0.013680999999999999,26238976,NA,NA,NA,NA,NA,NA,NA,NA,6531,892,17,8,5abebb757e4da9c32f754b9368cefaaf3afe462010c26fed621a3fd90d509d7b,3555,0,0,11
0,1,1,0,3,0.083570422997581773,0.025468999999999999,0.0081799999999999998,25853952,NA,NA,NA,NA,NA,NA,NA,NA,6531,892,17,8,5abebb757e4da9c32f754b9368cefaaf3afe462010c26fed621a3fd90d509d7b,3563,0,1,12
0,1,0,1,4,0.087378306008758955,0.037316999999999996,0.0091830000000000002,29196288,NA,NA,NA,NA,NA,NA,NA,NA,75784,29036,513,256,202ae05c594e95aca93262c91daa37d76398cb2cedbdd0e850759b7857e31b81,4268,0,1,9
0,1,1,0,4,0.043724914998165332,0.016368999999999998,0.026994999999999998,28835840,NA,NA,NA,NA,NA,NA,NA,NA,75784,29036,513,256,202ae05c594e95aca93262c91daa37d76398cb2cedbdd0e850759b7857e31b81,4295,0,1,7
0,1,0,1,5,0.074284279005951248,0.038876999999999995,0.0038169999999999996,29106176,NA,NA,NA,NA,NA,NA,NA,NA,211175,29036,513,256,092666d3ce7cc9f632f0743e523394193478df8da9a7c1b1cae5fd82b44885b7,4316,0,1,15
0,1,1,0,5,0.19339520401263144,0.066668999999999992,0.017883,28946432,NA,NA,NA,NA,NA,NA,NA,NA,211175,29036,513,256,092666d3ce7cc9f632f0743e523394193478df8da9a7c1b1cae5fd82b44885b7,4329,0,1,21
0,1,0,1,6,0.18972909099829849,0.032863999999999997,0.020872999999999999,32411648,NA,NA,NA,NA,NA,NA,NA,NA,149768,58476,1025,512,81f3ab7b6aa4db6c6b95dab0a1c8934921caf5c9750bd76bf6ac29dfa0b7cbfb,5039,0,1,20
0,1,1,0,6,0.11796772200614214,0.019975,0.034402999999999996,31956992,NA,NA,NA,NA,NA,NA,NA,NA,149768,58476,1025,512,81f3ab7b6aa4db6c6b95dab0a1c8934921caf5c9750bd76bf6ac29dfa0b7cbfb,5068,0,1,27
0,1,0,1,7,0.10243337799329311,0.037961999999999996,0.022706,32800768,NA,NA,NA,NA,NA,NA,NA,NA,423655,58476,1025,512,d105c3c7852b55ecb0350ed4ff13709d9a71db0f898c69e1e411d385c7e63f24,5118,0,1,14
0,1,1,0,7,0.49157779999950435,0.18279899999999999,0.023363999999999999,32067584,NA,NA,NA,NA,NA,NA,NA,NA,423655,58476,1025,512,d105c3c7852b55ecb0350ed4ff13709d9a71db0f898c69e1e411d385c7e63f24,5143,0,1,49
0,1,0,1,8,0.15522433300793637,0.042398999999999999,0.025353999999999998,38580224,NA,NA,NA,NA,NA,NA,NA,NA,297784,117452,2049,1024,cf5af656224186a75ae5b60445a8c7c7c5e6150bf3d3e6cfb3c60e83942578f3,6590,0,1,16
0,1,1,0,8,0.17474776199378539,0.055090999999999994,0.020303999999999999,38060032,NA,NA,NA,NA,NA,NA,NA,NA,297784,117452,2049,1024,cf5af656224186a75ae5b60445a8c7c7c5e6150bf3d3e6cfb3c60e83942578f3,6603,0,1,23
0,1,0,1,9,0.25941533700097352,0.064708000000000002,0.020227999999999999,39174144,NA,NA,NA,NA,NA,NA,NA,NA,848855,117452,2049,1024,1eaba78e4ab286d1d3b2f4ed12f22453f493853d33cd8f8e24b56e7382104eaf,6745,0,1,31
0,1,1,0,9,1.4666563899954781,0.63156999999999996,0.026238999999999998,38658048,NA,NA,NA,NA,NA,NA,NA,NA,848855,117452,2049,1024,1eaba78e4ab286d1d3b2f4ed12f22453f493853d33cd8f8e24b56e7382104eaf,6751,0,1,169
0,1,0,1,10,0.28777112299576402,0.10725999999999999,0.022599999999999999,51097600,NA,NA,NA,NA,NA,NA,NA,NA,595768,239308,4097,2048,dd38ac185c278b36db216c5cf6abe292e612baac8e4efa2df264337f8f60927f,9672,0,1,42
0,1,1,0,10,0.2749922180082649,0.088064999999999991,0.028776999999999997,50561024,NA,NA,NA,NA,NA,NA,NA,NA,595768,239308,4097,2048,dd38ac185c278b36db216c5cf6abe292e612baac8e4efa2df264337f8f60927f,9686,0,1,30
0,1,0,1,11,0.31774200199288316,0.106068,0.032310999999999999,52195328,NA,NA,NA,NA,NA,NA,NA,NA,1709015,239308,4097,2048,7cb9fc2a231b1f5539db3a650615a4d40936e1fcb60102456c4d89a8c0353ead,9975,0,1,45
0,1,1,0,11,5.1209173750103218,2.3888229999999999,0.024704,51736576,NA,NA,NA,NA,NA,NA,NA,NA,1709015,239308,4097,2048,7cb9fc2a231b1f5539db3a650615a4d40936e1fcb60102456c4d89a8c0353ead,9984,0,1,590
0,2,0,0,0,0.043729944998631254,0.015214,0.0051269999999999996,25583616,NA,NA,NA,NA,NA,NA,NA,NA,2320,143,3,1,7bcf72d0b53a1628f528eb1e8226d67e973b8b0c700ac5d13719c4250a1cd3cb,3517,0,1,8
0,2,1,1,0,0.08088000000861939,0.024212999999999998,0.0083339999999999994,25833472,NA,NA,NA,NA,NA,NA,NA,NA,2320,143,3,1,7bcf72d0b53a1628f528eb1e8226d67e973b8b0c700ac5d13719c4250a1cd3cb,3504,0,1,7
0,2,0,0,1,0.081063115998404101,0.021689999999999997,0.013500999999999999,25419776,NA,NA,NA,NA,NA,NA,NA,NA,935,143,3,1,a4cd029a81955640011a51c7433acca5a4cc20894e8d0af2a08a63292cf16d28,3517,0,1,9
0,2,1,1,1,0.083652615998289548,0.025384,0.0037949999999999998,25763840,NA,NA,NA,NA,NA,NA,NA,NA,935,143,3,1,a4cd029a81955640011a51c7433acca5a4cc20894e8d0af2a08a63292cf16d28,3501,0,1,8
