shape,count,pair,variant,wall_ns,user_us,system_us,maxrss_kb,status
0,4,-1,0,13118114,3294,9712,21776,0
0,4,-1,1,14231263,4599,9437,21908,0
0,4,0,0,14917524,4034,10743,21820,0
0,4,0,1,10807369,0,10674,21884,0
0,4,1,1,11673626,3334,8183,21940,0
0,4,1,0,9677280,4777,4785,21716,0
0,4,2,0,10736268,7403,3230,21772,0
0,4,2,1,9361970,9255,0,21856,0
0,4,3,1,10015882,6585,3267,21928,0
0,4,3,0,9575833,9465,0,21788,0
0,4,4,0,9344114,9208,0,21488,0
0,4,4,1,10859067,7142,3607,21876,0
0,4,5,1,13167742,0,9864,21916,0
0,4,5,0,12016404,6801,4949,21696,0
0,4,6,0,16474207,9288,7073,21652,0
0,4,6,1,10225750,6569,3537,21836,0
0,4,7,1,13232590,4249,8864,21876,0
0,4,7,0,9355105,3095,5992,21800,0
0,128,-1,0,20737324,13830,6827,22168,0
0,128,-1,1,18401975,9206,9024,22428,0
0,128,0,0,23380969,14234,8988,22092,0
0,128,0,1,19755312,14498,5135,22204,0
0,128,1,1,24008036,14855,9029,22280,0
0,128,1,0,24896877,15671,9099,22088,0
0,128,2,0,28091386,19567,8388,22044,0
0,128,2,1,18953639,14983,3831,22244,0
0,128,3,1,14371464,7139,7120,22224,0
0,128,3,0,18435583,13730,4585,22064,0
0,128,4,0,18363543,14632,3619,22160,0
0,128,4,1,14939630,3664,11158,22356,0
0,128,5,1,16204569,8206,7866,22168,0
0,128,5,0,20845900,16903,3816,22092,0
0,128,6,0,18307287,7313,10816,21892,0
0,128,6,1,15727482,9905,5512,22428,0
0,128,7,1,17504394,10544,5885,22372,0
0,128,7,0,20378152,11891,8358,22048,0
0,256,-1,0,31529027,27205,4207,22260,0
0,256,-1,1,19116955,18989,0,22784,0
0,256,0,0,29192674,24765,4209,22452,0
0,256,0,1,19594340,11303,8166,22660,0
0,256,1,1,19971771,19853,0,22740,0
0,256,1,0,27943047,23749,3998,22776,0
0,256,2,0,28118337,23749,4162,22328,0
0,256,2,1,17418607,10306,6971,22912,0
0,256,3,1,19279211,7731,11408,22840,0
0,256,3,0,33040234,32890,0,22316,0
0,256,4,0,29953049,25399,4410,22544,0
0,256,4,1,20243318,11843,8230,22644,0
0,256,5,1,18785633,14200,4465,22676,0
0,256,5,0,31075891,30955,0,22596,0
0,256,6,0,31792366,23666,7989,22612,0
0,256,6,1,21797683,17319,4345,22644,0
0,256,7,1,17559179,13000,4410,22864,0
0,256,7,0,28696124,24469,4104,22448,0
0,512,-1,0,68351357,53495,13438,22968,0
0,512,-1,1,30082829,25841,4076,23464,0
0,512,0,0,76961552,71983,4845,23156,0
0,512,0,1,36289682,28458,7692,23520,0
0,512,1,1,42380382,29236,12988,23300,0
0,512,1,0,72201285,62115,9927,23088,0
0,512,2,0,72571509,67305,5114,22968,0
0,512,2,1,27788167,23729,3919,23380,0
0,512,3,1,27920041,23865,3895,23468,0
0,512,3,0,57306592,46359,10806,22952,0
0,512,4,0,64215523,57131,6172,23284,0
0,512,4,1,25464170,16935,8392,23396,0
0,512,5,1,26186249,15117,10950,23396,0
0,512,5,0,56013367,47919,7928,22932,0
0,512,6,0,55109106,47275,7707,23024,0
0,512,6,1,27864838,27696,0,23396,0
0,512,7,1,24930545,20647,4172,23356,0
0,512,7,0,60994321,52476,8375,23004,0
0,1024,-1,0,134003787,125472,8312,24104,0
0,1024,-1,1,47671268,43309,4219,24764,0
0,1024,0,0,143096137,138633,4300,24304,0
0,1024,0,1,43992233,35651,8194,24884,0
0,1024,1,1,46212105,39065,7004,24712,0
0,1024,1,0,169266773,154956,14119,24256,0
0,1024,2,0,139900702,131773,7899,23996,0
0,1024,2,1,43442837,35207,8081,24896,0
0,1024,3,1,42695699,42591,0,24908,0
0,1024,3,0,158552236,150151,8293,24240,0
0,1024,4,0,135122431,123275,11724,24304,0
0,1024,4,1,45246188,37499,7611,24864,0
0,1024,5,1,46243306,37923,8194,24824,0
0,1024,5,0,140768433,128537,12086,24504,0
0,1024,6,0,159130072,150391,8521,24292,0
0,1024,6,1,58510000,43572,14661,24784,0
0,1024,7,1,48682291,36375,12174,24856,0
0,1024,7,0,140709962,136444,4108,24108,0
0,2048,-1,0,432765137,420188,12398,27008,0
0,2048,-1,1,79013155,63832,15015,28084,0
0,2048,0,0,464376268,444542,19629,26828,0
0,2048,0,1,83320990,71437,11471,28212,0
0,2048,1,1,76270803,68598,7511,28108,0
0,2048,1,0,416494108,412204,4117,27080,0
0,2048,2,0,456094181,443954,11832,26672,0
0,2048,2,1,77226904,64110,12954,28084,0
0,2048,3,1,77815272,63981,13666,28080,0
0,2048,3,0,586088139,573201,12713,26708,0
0,2048,4,0,456944483,448979,7562,26708,0
0,2048,4,1,79776025,67515,8772,27816,0
0,2048,5,1,84850225,71654,13072,28032,0
0,2048,5,0,447968128,431234,15428,26852,0
0,2048,6,0,521506422,505002,16277,26824,0
0,2048,6,1,79881786,76030,3648,28012,0
0,2048,7,1,74381220,66410,7836,27952,0
0,2048,7,0,505285450,491347,13753,26836,0
0,4096,-1,0,1598375336,1597756,0,31928,0
0,4096,-1,1,154600535,138677,15661,33816,0
0,4096,0,0,1556285298,1548000,8063,31804,0
0,4096,0,1,156581356,129636,18880,33824,0
0,4096,1,1,163803012,147077,16511,33868,0
0,4096,1,0,1548334240,1533976,14162,31928,0
0,4096,2,0,1670117218,1645582,24358,31816,0
0,4096,2,1,133173058,121028,12016,33964,0
0,4096,3,1,145610277,129054,16262,33948,0
0,4096,3,0,1666616396,1658782,7661,31980,0
0,4096,4,0,1637410603,1620546,15543,31856,0
0,4096,4,1,148393759,126428,21398,33760,0
0,4096,5,1,143252085,139013,4056,33860,0
0,4096,5,0,1579043435,1574594,4222,31800,0
0,4096,6,0,1708874395,1696532,11996,31984,0
0,4096,6,1,137103713,120323,16629,33812,0
0,4096,7,1,131515411,119408,11977,33892,0
0,4096,7,0,1595404299,1587418,7779,32044,0
1,4,-1,0,11832239,7803,0,21948,0
1,4,-1,1,12221417,3957,8156,21980,0
1,4,0,0,10242946,10153,0,21696,0
1,4,0,1,11048228,3632,7292,21832,0
1,4,1,1,12424342,3906,8430,21828,0
1,4,1,0,9498930,0,9400,21604,0
1,4,2,0,12089445,3970,7826,21608,0
1,4,2,1,11394561,3601,7710,21968,0
1,4,3,1,11528648,11434,0,21992,0
1,4,3,0,9944935,0,9872,21648,0
1,4,4,0,9619058,9560,0,21608,0
1,4,4,1,10108309,3417,6622,21868,0
1,4,5,1,8913602,4458,4383,21980,0
1,4,5,0,11914766,4167,7658,21876,0
1,4,6,0,10530625,0,10391,21680,0
1,4,6,1,12034541,0,11894,21980,0
1,4,7,1,9872040,4807,4969,22036,0
1,4,7,0,8765303,4362,4308,21712,0
1,128,-1,0,12708610,4307,8337,21908,0
1,128,-1,1,11818583,7838,3919,21992,0
1,128,0,0,13266923,4454,8739,21812,0
1,128,0,1,13324271,6603,6617,21952,0
1,128,1,1,10815969,5200,5303,22052,0
1,128,1,0,12069130,3887,8095,22036,0
1,128,2,0,13306464,8734,4484,21948,0
1,128,2,1,14274022,5514,8651,21996,0
1,128,3,1,10917959,7310,3502,22004,0
1,128,3,0,12858388,4431,8339,21856,0
1,128,4,0,12919859,6629,6199,21836,0
1,128,4,1,12495580,0,12329,22008,0
1,128,5,1,11604020,3659,7852,22108,0
1,128,5,0,11765102,7746,3903,21780,0
1,128,6,0,13964245,4860,9004,22000,0
1,128,6,1,12015689,3964,7976,22000,0
1,128,7,1,11198438,3745,7378,21988,0
1,128,7,0,13376674,4329,8949,21812,0
1,256,-1,0,15157997,11177,3856,21952,0
1,256,-1,1,12223909,12135,0,22256,0
1,256,0,0,16425629,11978,4349,22004,0
1,256,0,1,12528623,3906,8530,22280,0
1,256,1,1,13095278,4175,8801,22420,0
1,256,1,0,16777184,6292,10382,22048,0
1,256,2,0,15851336,8318,7406,22064,0
1,256,2,1,13659255,9085,4479,22388,0
1,256,3,1,13571319,4592,8864,22244,0
1,256,3,0,15733905,9937,5492,22088,0
1,256,4,0,16561982,3309,13162,22132,0
1,256,4,1,16761545,4388,12269,22148,0
1,256,5,1,12533318,4239,8156,22332,0
1,256,5,0,14880012,3391,11396,22044,0
1,256,6,0,17032540,12704,4236,21888,0
1,256,6,1,12931193,4367,8414,22256,0
1,256,7,1,11909352,7806,3976,22352,0
1,256,7,0,14959131,11075,3787,22068,0
1,512,-1,0,20276373,20203,0,22536,0
1,512,-1,1,15597885,7323,8197,22740,0
1,512,0,0,23261352,13504,9664,22476,0
1,512,0,1,22080265,13085,8894,22668,0
1,512,1,1,16090573,8148,7839,22596,0
1,512,1,0,22608147,7562,14954,22520,0
1,512,2,0,21750355,12817,8621,22432,0
1,512,2,1,20677469,16142,3526,22684,0
1,512,3,1,19613612,6586,12870,22528,0
1,512,3,0,27917351,27775,0,22520,0
1,512,4,0,29172006,14251,14601,22544,0
1,512,4,1,20390472,15521,4742,22504,0
1,512,5,1,17399393,12934,4344,22536,0
1,512,5,0,21120765,16813,4159,22356,0
1,512,6,0,26349250,13578,12635,22316,0
1,512,6,1,15863166,7581,8158,22448,0
1,512,7,1,16445917,12460,3850,22604,0
1,512,7,0,23545239,15318,8081,22296,0
1,1024,-1,0,39236831,27575,11486,23084,0
1,1024,-1,1,22748620,14020,8602,23472,0
1,1024,0,0,33039041,25512,7311,22940,0
1,1024,0,1,20543817,16309,4115,23408,0
1,1024,1,1,21605357,17058,4418,23328,0
1,1024,1,0,36549818,32221,4183,23236,0
1,1024,2,0,37809425,34520,3093,23340,0
1,1024,2,1,20214615,16023,4031,23416,0
1,1024,3,1,20690515,16328,4213,23324,0
1,1024,3,0,34330516,34197,0,23092,0
1,1024,4,0,33830041,29373,4238,23272,0
1,1024,4,1,21280510,14160,6991,23336,0
1,1024,5,1,22448185,13192,8764,23272,0
1,1024,5,0,36508331,36315,0,23044,0
1,1024,6,0,36475003,27597,8716,22908,0
1,1024,6,1,22815399,13722,8939,23424,0
1,1024,7,1,21148603,13938,7034,23260,0
1,1024,7,0,33710278,25274,8282,22972,0
1,2048,-1,0,73674802,66406,7066,24268,0
1,2048,-1,1,31459995,23453,7862,24588,0
1,2048,0,0,74420628,69536,4727,24308,0
1,2048,0,1,35471925,19438,15858,24580,0
1,2048,1,1,33534913,25600,7752,24632,0
1,2048,1,0,219057985,95879,121580,24304,0
1,2048,2,0,100939335,72816,25004,24224,0
1,2048,2,1,38068463,33594,4309,24532,0
1,2048,3,1,33439789,25593,7545,24616,0
1,2048,3,0,70860243,59791,10872,24012,0
1,2048,4,0,76136518,71548,4370,24188,0
1,2048,4,1,37137845,18277,18684,24712,0
1,2048,5,1,120616384,61201,52140,24808,0
1,2048,5,0,296777842,128039,163298,24128,0
1,2048,6,0,150930708,95182,55121,24276,0
1,2048,6,1,95601494,52683,42616,24764,0
1,2048,7,1,34004249,20516,13317,24584,0
1,2048,7,0,87394252,67801,19467,24192,0
1,4096,-1,0,194480366,185089,8977,27156,0
1,4096,-1,1,80392925,50675,28730,27564,0
1,4096,0,0,246739489,197610,46954,27032,0
1,4096,0,1,258282297,139385,110143,27588,0
1,4096,1,1,96425010,48515,40854,27496,0
1,4096,1,0,223704664,209459,8623,26784,0
1,4096,2,0,233881846,204595,24318,26992,0
1,4096,2,1,78587999,69073,9306,27588,0
1,4096,3,1,72208548,40830,28299,27788,0
1,4096,3,0,279741386,244314,34155,26972,0
1,4096,4,0,264827912,226233,38275,26908,0
1,4096,4,1,87284977,55656,31451,27660,0
1,4096,5,1,56920107,44260,12499,27536,0
1,4096,5,0,260588044,225553,31318,26884,0
1,4096,6,0,273776574,213046,60347,27048,0
1,4096,6,1,105161218,80358,24335,27496,0
1,4096,7,1,78415807,51539,26685,27676,0
1,4096,7,0,216603002,201662,14572,26972,0
2,0,-1,0,11222949,0,11059,21752,0
2,0,-1,1,19219549,11614,7478,21820,0
2,0,0,0,32960189,6921,25708,21816,0
2,0,0,1,25486386,6948,17374,21772,0
2,0,1,1,35894831,3495,31801,21700,0
2,0,1,0,89131572,8793,79877,21648,0
2,0,2,0,15824624,15665,0,21788,0
2,0,2,1,14983894,2748,10927,21916,0
2,0,3,1,15177104,4721,9560,21844,0
2,0,3,0,50500554,18468,31645,21468,0
2,0,4,0,40279858,10980,27478,21660,0
2,0,4,1,72208608,30965,27767,21816,0
2,0,5,1,306206209,14812,280746,21760,0
2,0,5,0,212484518,20464,187785,21520,0
2,0,6,0,18612158,7712,10350,21720,0
2,0,6,1,16185972,3845,12089,21740,0
2,0,7,1,22003283,5159,11992,21968,0
2,0,7,0,13117832,4069,7965,21448,0
