kind,module,fixture,index,arena_slot,start,end,retained_bytes,high_water,peak_bytes,after,live_bytes,rewind
module,arena_tests,body,0,0,3848,4072,224,4072,224,3848,0,1
module,arena_tests,body,0,1,128,128,0,432,304,128,0,0
module,arena_tests,body,0,2,64,64,0,64,0,64,0,0
module,hash_tests,body,0,0,3848,3848,0,3848,0,3848,0,1
module,hash_tests,body,0,1,128,128,0,128,0,128,0,0
module,hash_tests,body,0,2,64,64,0,64,0,64,0,0
module,simd_tests,body,0,0,3848,3848,0,3848,0,3848,0,1
module,simd_tests,body,0,1,128,128,0,128,0,128,0,0
module,simd_tests,body,0,2,64,64,0,64,0,64,0,0
module,string_tests,body,0,0,3848,594652,590804,594652,590804,3848,0,1
module,string_tests,body,0,1,128,128,0,466,338,128,0,0
module,string_tests,body,0,2,64,64,0,64,0,64,0,0
module,os_tests,body,0,0,3848,5209,1361,528656,524808,3848,0,1
module,os_tests,body,0,1,128,128,0,525619,525491,128,0,0
module,os_tests,body,0,2,64,64,0,4161,4097,64,0,0
module,file_tests,body,0,0,3848,4057,209,266320,262472,3848,0,1
module,file_tests,body,0,1,128,128,0,709,581,128,0,0
module,file_tests,body,0,2,64,64,0,64,0,64,0,0
module,target_tests,body,0,0,3848,32308,28460,32308,28460,3848,0,1
module,target_tests,body,0,1,128,128,0,128,0,128,0,0
module,target_tests,body,0,2,64,64,0,64,0,64,0,0
fixture,c_frontend_tests,c_test_parser_body_frame_storage,0,0,3848,3848,0,3848,0,3848,0,1
fixture,c_frontend_tests,c_test_parser_body_frame_storage,0,1,128,128,0,2562536,2562408,128,0,0
fixture,c_frontend_tests,c_test_parser_body_frame_storage,0,2,64,64,0,26987,26923,64,0,0
fixture,c_frontend_tests,c_test_parser_diagnostic_storage,1,0,3848,3848,0,3848,0,3848,0,1
fixture,c_frontend_tests,c_test_parser_diagnostic_storage,1,1,128,128,0,1163112,1162984,128,0,0
fixture,c_frontend_tests,c_test_parser_diagnostic_storage,1,2,64,64,0,9760,9696,64,0,0
fixture,c_frontend_tests,c_test_constexpr_leaf_storage,2,0,3848,3848,0,3848,0,3848,0,1
fixture,c_frontend_tests,c_test_constexpr_leaf_storage,2,1,128,128,0,6925408,6925280,128,0,0
fixture,c_frontend_tests,c_test_constexpr_leaf_storage,2,2,64,64,0,26987,26923,64,0,0
fixture,c_frontend_tests,c_test_vla_row_places,3,0,3907,3907,0,3907,0,3907,0,1
fixture,c_frontend_tests,c_test_vla_row_places,3,1,128,128,0,1194287,1194159,128,0,0
fixture,c_frontend_tests,c_test_vla_row_places,3,2,64,64,0,21288,21224,64,0,0
fixture,c_frontend_tests,c_test_lexer_rewind_zeroed,4,0,3907,3907,0,3907,0,3907,0,1
fixture,c_frontend_tests,c_test_lexer_rewind_zeroed,4,1,128,128,0,1328,1200,128,0,0
fixture,c_frontend_tests,c_test_lexer_rewind_zeroed,4,2,64,64,0,64,0,64,0,0
fixture,c_frontend_tests,c_test_scope_interval_index,5,0,3907,3907,0,3907,0,3907,0,1
fixture,c_frontend_tests,c_test_scope_interval_index,5,1,128,128,0,166736,166608,128,0,0
fixture,c_frontend_tests,c_test_scope_interval_index,5,2,64,64,0,64,0,64,0,0
fixture,c_frontend_tests,c_test_initializer_relocation_orders,6,0,3907,3907,0,3907,0,3907,0,1
fixture,c_frontend_tests,c_test_initializer_relocation_orders,6,1,128,128,0,1347788,1347660,128,0,0
fixture,c_frontend_tests,c_test_initializer_relocation_orders,6,2,64,64,0,45368,45304,64,0,0
fixture,c_frontend_tests,c_test_frontend_lex_preprocess,7,0,3907,33878748,33874841,33878748,33874841,3907,0,1
fixture,c_frontend_tests,c_test_frontend_lex_preprocess,7,1,128,128,0,1243936,1243808,128,0,0
fixture,c_frontend_tests,c_test_frontend_lex_preprocess,7,2,64,64,0,13012,12948,64,0,0
fixture,c_frontend_tests,c_test_preprocessor_short_circuit,8,0,3907,3907,0,3907,0,3907,0,1
fixture,c_frontend_tests,c_test_preprocessor_short_circuit,8,1,128,128,0,609364,609236,128,0,0
fixture,c_frontend_tests,c_test_preprocessor_short_circuit,8,2,64,64,0,3136,3072,64,0,0
fixture,c_frontend_tests,c_test_null_preprocessing_directives,9,0,3907,3907,0,3907,0,3907,0,1
fixture,c_frontend_tests,c_test_null_preprocessing_directives,9,1,128,128,0,600904,600776,128,0,0
fixture,c_frontend_tests,c_test_null_preprocessing_directives,9,2,64,64,0,2128,2064,64,0,0
fixture,c_frontend_tests,c_test_malformed_initializer_progress_and_identifier_uses,10,0,3907,3907,0,3907,0,3907,0,1
fixture,c_frontend_tests,c_test_malformed_initializer_progress_and_identifier_uses,10,1,128,128,0,1182557,1182429,128,0,0
fixture,c_frontend_tests,c_test_malformed_initializer_progress_and_identifier_uses,10,2,64,64,0,17160,17096,64,0,0
fixture,c_frontend_tests,c_test_frontend_lex_differential,11,0,3907,3907,0,3660824,3656917,3907,0,1
fixture,c_frontend_tests,c_test_frontend_lex_differential,11,1,128,128,0,26785,26657,128,0,0
fixture,c_frontend_tests,c_test_frontend_lex_differential,11,2,64,64,0,64,0,64,0,0
fixture,c_frontend_tests,c_test_intern_scan_by_shape,12,0,3907,2180680,2176773,2180680,2176773,3907,0,1
fixture,c_frontend_tests,c_test_intern_scan_by_shape,12,1,128,128,0,3200,3072,128,0,0
fixture,c_frontend_tests,c_test_intern_scan_by_shape,12,2,64,64,0,64,0,64,0,0
fixture,c_frontend_tests,c_test_pp_class_masks,13,0,3907,842968,839061,842968,839061,3907,0,1
fixture,c_frontend_tests,c_test_pp_class_masks,13,1,128,128,0,3200,3072,128,0,0
fixture,c_frontend_tests,c_test_pp_class_masks,13,2,64,64,0,64,0,64,0,0
fixture,c_frontend_tests,c_test_string_literal_decode_differential,14,0,3907,3907,0,353905,349998,3907,0,1
fixture,c_frontend_tests,c_test_string_literal_decode_differential,14,1,128,128,0,613077,612949,128,0,0
fixture,c_frontend_tests,c_test_string_literal_decode_differential,14,2,64,64,0,3136,3072,64,0,0
fixture,c_frontend_tests,c_test_position_index_tiles,15,0,3907,6665276,6661369,6665276,6661369,3907,0,1
fixture,c_frontend_tests,c_test_position_index_tiles,15,1,128,128,0,53304,53176,128,0,0
fixture,c_frontend_tests,c_test_position_index_tiles,15,2,64,64,0,64,0,64,0,0
fixture,c_frontend_tests,c_test_oversized_token_spellings,16,0,3907,3907,0,8008584,8004677,3907,0,1
fixture,c_frontend_tests,c_test_oversized_token_spellings,16,1,128,128,0,2402944,2402816,128,0,0
fixture,c_frontend_tests,c_test_oversized_token_spellings,16,2,64,64,0,3136,3072,64,0,0
fixture,c_frontend_tests,c_test_frontend_source_metrics,17,0,3907,1215336,1211429,1215336,1211429,3907,0,1
fixture,c_frontend_tests,c_test_frontend_source_metrics,17,1,128,128,0,3200,3072,128,0,0
fixture,c_frontend_tests,c_test_frontend_source_metrics,17,2,64,64,0,64,0,64,0,0
fixture,c_frontend_tests,c_test_source_metrics_path_identity,18,0,3907,233288,229381,233288,229381,3907,0,1
fixture,c_frontend_tests,c_test_source_metrics_path_identity,18,1,128,128,0,128,0,128,0,0
fixture,c_frontend_tests,c_test_source_metrics_path_identity,18,2,64,64,0,64,0,64,0,0
fixture,c_frontend_tests,c_test_frontend_semantic_basics,19,0,3907,29331312,29327405,29331312,29327405,3907,0,1
fixture,c_frontend_tests,c_test_frontend_semantic_basics,19,1,128,128,0,1169024,1168896,128,0,0
fixture,c_frontend_tests,c_test_frontend_semantic_basics,19,2,64,64,0,9708,9644,64,0,0
fixture,c_frontend_tests,c_test_typedef_fallback_lookup,20,0,3907,3907,0,3907,0,3907,0,1
fixture,c_frontend_tests,c_test_typedef_fallback_lookup,20,1,128,128,0,1162060,1161932,128,0,0
fixture,c_frontend_tests,c_test_typedef_fallback_lookup,20,2,64,64,0,3136,3072,64,0,0
fixture,c_frontend_tests,c_test_frontend_global_types,21,0,3907,4870384,4866477,4870384,4866477,3907,0,1
fixture,c_frontend_tests,c_test_frontend_global_types,21,1,128,128,0,13318390,13318262,128,0,0
fixture,c_frontend_tests,c_test_frontend_global_types,21,2,64,64,0,34080,34016,64,0,0
fixture,c_frontend_tests,c_test_global_array_sizeof_bound,22,0,3907,3907,0,3907,0,3907,0,1
fixture,c_frontend_tests,c_test_global_array_sizeof_bound,22,1,128,128,0,1265128,1265000,128,0,0
fixture,c_frontend_tests,c_test_global_array_sizeof_bound,22,2,64,64,0,41528,41464,64,0,0
fixture,c_frontend_tests,c_test_sizeof_constant_expression,23,0,3907,3907,0,3907,0,3907,0,1
fixture,c_frontend_tests,c_test_sizeof_constant_expression,23,1,128,128,0,1325996,1325868,128,0,0
fixture,c_frontend_tests,c_test_sizeof_constant_expression,23,2,64,64,0,37024,36960,64,0,0
fixture,c_frontend_tests,c_test_sizeof_function_type_name,24,0,3907,3907,0,3907,0,3907,0,1
fixture,c_frontend_tests,c_test_sizeof_function_type_name,24,1,128,128,0,1284444,1284316,128,0,0
fixture,c_frontend_tests,c_test_sizeof_function_type_name,24,2,64,64,0,19056,18992,64,0,0
fixture,c_frontend_tests,c_test_void_object_refusals,25,0,3907,3907,0,3907,0,3907,0,1
fixture,c_frontend_tests,c_test_void_object_refusals,25,1,128,128,0,1278436,1278308,128,0,0
fixture,c_frontend_tests,c_test_void_object_refusals,25,2,64,64,0,24840,24776,64,0,0
fixture,c_frontend_tests,c_test_declarator_ellipsis_depth,26,0,3907,3907,0,3907,0,3907,0,1
fixture,c_frontend_tests,c_test_declarator_ellipsis_depth,26,1,128,128,0,1189456,1189328,128,0,0
fixture,c_frontend_tests,c_test_declarator_ellipsis_depth,26,2,64,64,0,3136,3072,64,0,0
fixture,c_frontend_tests,c_test_unprototyped_call_arguments,27,0,3907,3907,0,3907,0,3907,0,1
fixture,c_frontend_tests,c_test_unprototyped_call_arguments,27,1,128,128,0,1279784,1279656,128,0,0
fixture,c_frontend_tests,c_test_unprototyped_call_arguments,27,2,64,64,0,17504,17440,64,0,0
fixture,c_frontend_tests,c_test_call_arity_diagnostics,28,0,3907,3907,0,3907,0,3907,0,1
