index,module,passed,failed,assertions,status
0,arena_tests,56,0,56,pass
1,hash_tests,705,0,705,pass
2,simd_tests,141,0,141,pass
3,string_tests,158069,0,158069,pass
4,os_tests,177,0,177,pass
5,file_tests,45,0,45,pass
6,target_tests,6469,0,6469,pass
7,c_frontend_tests,261345,0,261345,pass
8,metamorphic_tests,115,0,115,pass
9,aarch64_encoding_tests,236716,0,236716,pass
10,aarch64_exact_bridge_tests,102,0,102,pass
11,aarch64_control_semantics_tests,3377,0,3377,pass
12,aarch64_system_registers_tests,108,0,108,pass
13,aarch64_semantics_tests,215,0,215,pass
14,aarch64_system_semantics_tests,694,0,694,pass
15,aarch64_syntax_tests,112,0,112,pass
16,aarch64_semantic_vm_tests,90,0,90,pass
17,aarch64_direct_simd_tests,152,0,152,pass
18,aarch64_complex_simd_tests,32,0,32,pass
19,aarch64_memory_semantics_tests,18,0,18,pass
20,aarch64_alias_projection_tests,28,0,28,pass
21,assembly_tests,6148,0,6148,pass
22,x86_64_forwarding_tests,13113,0,13113,pass
23,x86_64_metadata_tests,1617,0,1617,pass
24,x86_64_tls_tests,294552,0,294552,pass
25,executable_padding_tests,32908,0,32908,pass
26,x86_64_got_tests,133541,0,133541,pass
27,x86_64_completion_census_tests,34046,0,34046,pass
28,ir_tests,348274,0,348274,pass
29,vector_contract_tests,3056,0,3056,pass
30,llvm_bitcode_tests,331,0,331,pass
31,machine_selection_tests,581,0,581,pass
32,machine_tests,491645,0,491645,pass
33,codegen_tests,4936,0,4936,pass
34,aarch64_stride_tests,98,0,98,pass
35,debug_model_tests,668,0,668,pass
36,dwarf_tests,104,0,104,pass
37,codeview_tests,46596,0,46596,pass
38,pdb_tests,24848,0,24848,pass
39,object_tests,92175,0,92175,pass
40,jit_tests,149,0,149,pass
41,link_tests,67751,0,67751,pass
42,gpu_pipeline_tests,135,0,135,pass
43,compiler_diagnostic_tests,64,0,64,pass
44,compiler_driver_tests,24998,0,24998,pass
45,compiler_driver_object_path_tests,22,0,22,pass
46,x86_64_tests,18,0,18,pass
