iteration,binary,wall_s,user_s,sys_s,maxrss_kb,cycles_u,instructions_u
0,base,5.8969,5.7047,0.1613,2021652,23831757685,75374214747
0,cand,54.8544,52.2693,0.6296,1921824,28488944839,74991370122
0,base_aa,24.9852,23.4365,0.8607,2021316,25428234199,75374236121
1,cand,8.8161,8.543,0.2072,2021892,23155950081,74991295214
1,base_aa,24.0125,23.0254,0.3806,2021288,24760142887,75374254367
1,base,41.8065,40.1854,0.7163,2021992,26810494347,75374264635
2,base_aa,9.1761,8.8868,0.2266,2021156,23694076790,75374209155
2,base,9.1324,8.8561,0.2124,2022428,23618884465,75374207687
2,cand,9.2374,8.8897,0.2517,2021360,23546004420,74991283173
3,base,19.6586,18.8706,0.4604,2022032,24749142245,75374244416
3,cand,32.2466,30.5608,0.9162,2021484,25069904574,74991332983
3,base_aa,10.2334,9.9281,0.2297,2021388,23467294568,75374232614
4,cand,10.1171,9.8162,0.2301,2021496,23159510110,74991310292
4,base_aa,10.5397,10.1673,0.26,2021152,23603434396,75374232279
4,base,25.1099,24.3124,0.3903,2022276,24697051382,75374247874
5,base_aa,31.7791,30.3529,0.7433,2021292,25054149103,75374253660
5,base,9.9775,9.6604,0.2394,2022288,23413479715,75374232025
5,cand,10.0234,9.7342,0.2274,2021616,23265204737,74991310139
6,base,40.8344,39.6049,0.4695,2022112,26228376432,75374249365
6,cand,13.6182,12.9575,0.5279,2021584,23301081992,74991312543
6,base_aa,8.3187,8.0214,0.2199,2021060,23417245538,75374230540
7,cand,8.4196,8.123,0.2021,2021244,23337832063,74991309251
7,base_aa,34.5524,32.9835,0.6798,1985860,26621549644,75374296684
7,base,40.9818,39.3882,0.8114,1984704,27005367959,75374342826
