iteration,binary,wall_s,user_s,sys_s,maxrss_kb,cycles_u,instructions_u
0,base,1.6869,1.502,0.1765,1798128,6079493331,11994186348
0,cand,1.5471,1.3583,0.1786,1799376,5793310024,11611262947
0,base_aa,1.6666,1.4806,0.1774,1798016,5989047143,11994187786
1,cand,1.6144,1.4381,0.1653,1799688,5774411304,11611247989
1,base_aa,2.7306,2.5126,0.1988,1798276,5944345583,11994186800
1,base,2.4072,2.201,0.1901,1798116,5677326039,11994184155
2,base_aa,2.4781,2.2642,0.1996,1798284,5722896717,11994162285
2,base,2.4024,2.1975,0.1881,1798044,5746953923,11994185847
2,cand,2.3303,2.1204,0.1886,1799812,5497069036,11611263198
3,base,2.44,2.2396,0.1804,1798128,5761694108,11994155371
3,cand,2.3565,2.1492,0.1948,1799648,5513634432,11611239296
3,base_aa,2.5102,2.2903,0.1981,1797972,5783354503,11994183486
4,cand,2.4916,2.2554,0.2164,1799420,5742203865,11611240116
4,base_aa,3.1131,2.8401,0.2158,1797908,6567133542,11994186979
4,base,3.7956,3.4796,0.2424,1798112,7228462606,11994173812
5,base_aa,2.915,2.6534,0.2371,1797764,6260702404,11994186592
5,base,2.7869,2.5394,0.2287,1798092,6060200021,11994185933
5,cand,2.6044,2.362,0.2142,1799492,5777175614,11611249343
6,base,2.6954,2.4617,0.2091,1798316,6010860074,11994185692
6,cand,2.4042,2.1927,0.1885,1799660,5627666777,11611262999
6,base_aa,2.4657,2.2499,0.1937,1797756,5880243145,11994183333
7,cand,2.457,2.2463,0.1955,1799972,5709917812,11611260959
7,base_aa,2.535,2.3123,0.2042,1797924,5916020353,11994186502
7,base,3.7571,3.4766,0.2361,1798132,7311507629,11994172254
8,base_aa,2.6829,2.4435,0.207,1798064,6102532387,11994185169
8,base,2.6943,2.4733,0.1927,1798424,6104627833,11994183069
8,cand,2.5298,2.3027,0.2119,1799596,5550007065,11611263793
9,base,2.5542,2.3192,0.2149,1798308,5793225709,11994185821
9,cand,2.5728,2.3556,0.1911,1799212,5734697465,11611263379
9,base_aa,2.4044,2.1681,0.2107,1798276,5715382338,11994184943
10,cand,2.5639,2.322,0.2098,1799376,5795911275,11611264392
10,base_aa,2.5437,2.3121,0.2048,1798248,5853406143,11994184989
10,base,2.4459,2.2265,0.1995,1797960,5752716761,11994184357
11,base_aa,2.6281,2.3783,0.1992,1798148,5818345836,11994186443
11,base,2.333,2.1325,0.185,1798532,5815441943,11994185329
11,cand,2.184,1.9866,0.1859,1799772,5462870542,11611260683
