iteration,binary,wall_s,user_s,sys_s,maxrss_kb,cycles_u,instructions_u
0,base,3.4501,2.8402,0.5432,1016228,6099476651,11994388737
0,cand,3.2168,2.6616,0.4671,1226216,6294273319,11611450589
0,base_aa,2.7522,2.467,0.2607,1758564,6352370567,11994202214
1,cand,2.1867,1.9633,0.2039,1798052,5657124973,11611267277
1,base_aa,2.2245,1.9942,0.1882,1798408,5995258198,11994186137
1,base,2.1944,1.9823,0.1906,1798916,5838145558,11994170425
2,base_aa,2.3258,2.0894,0.1987,1798484,6181975719,11994185957
2,base,2.4199,2.2129,0.187,1798644,6086932024,11994186070
2,cand,2.0538,1.8429,0.1965,1798372,5695612989,11611262694
3,base,2.4091,2.21,0.1734,1798752,6210551611,11994186994
3,cand,2.1073,1.889,0.1976,1798420,5755087104,11611263075
3,base_aa,2.8223,2.5841,0.2153,1798188,6393303271,11994185717
4,cand,5.0342,4.5519,0.3656,1798008,5675319552,11611266077
4,base_aa,9.4668,8.6589,0.6509,1798196,5976802270,11994072470
4,base,17.337,15.3873,0.8138,1799124,7502562149,11994202828
5,base_aa,17.4973,15.3665,0.8718,1797924,7955730806,11994204682
5,base,2.1673,1.9262,0.195,1798916,5726989802,11994173879
5,cand,1.9103,1.7189,0.1717,1797980,5604756553,11611262553
6,base,2.1984,2.0214,0.1627,1798660,5927492200,11994185813
6,cand,2.0276,1.8572,0.1538,1798264,5617696547,11611262371
6,base_aa,2.1589,1.9616,0.1747,1797972,5922668317,11994185804
7,cand,1.9299,1.7664,0.1497,1798196,5578955955,11611262529
7,base_aa,2.1864,2.0035,0.1648,1798060,5827463230,11994186230
7,base,2.1735,1.9971,0.1615,1798808,5876691620,11994185311
