# Exact instruction-count populations

unity-counts.txt: bytes=16875 sha256=4503aa9004b147016bdcfb5d80cff3b2ab6c357e3927f742b358bdc6544667fc
small-counts.txt: bytes=2 sha256=7de1555df0c2700329e815b93b32c571c3ea54dc967b89e81ab73b9972b72d1d

The ordered raw streams are retained in GitHub Actions artifact 10498099770.
The committed histograms below are lossless for the requested distribution and
preserve every distinct `function->instruction_count` and its multiplicity.

===== BEGIN unity-histogram.tsv =====
instruction_count	calls	instructions	clear_bytes
2	63	126	504
3	25	75	300
4	30	120	480
5	21	105	420
6	53	318	1272
7	31	217	868
8	25	200	800
9	30	270	1080
10	18	180	720
11	35	385	1540
12	43	516	2064
13	30	390	1560
14	47	658	2632
15	35	525	2100
16	25	400	1600
17	27	459	1836
18	41	738	2952
19	33	627	2508
20	38	760	3040
21	27	567	2268
22	54	1188	4752
23	34	782	3128
24	34	816	3264
25	21	525	2100
26	21	546	2184
27	26	702	2808
28	74	2072	8288
29	53	1537	6148
30	26	780	3120
31	32	992	3968
32	33	1056	4224
33	36	1188	4752
34	36	1224	4896
35	48	1680	6720
36	31	1116	4464
37	31	1147	4588
38	28	1064	4256
39	43	1677	6708
40	37	1480	5920
41	34	1394	5576
42	32	1344	5376
43	28	1204	4816
44	27	1188	4752
45	29	1305	5220
46	29	1334	5336
47	27	1269	5076
48	24	1152	4608
49	22	1078	4312
50	24	1200	4800
51	31	1581	6324
52	24	1248	4992
53	29	1537	6148
54	16	864	3456
55	33	1815	7260
56	17	952	3808
57	22	1254	5016
58	26	1508	6032
59	29	1711	6844
60	13	780	3120
61	20	1220	4880
62	22	1364	5456
63	17	1071	4284
64	24	1536	6144
65	20	1300	5200
66	28	1848	7392
67	18	1206	4824
68	20	1360	5440
69	16	1104	4416
70	20	1400	5600
71	32	2272	9088
72	26	1872	7488
73	21	1533	6132
74	19	1406	5624
75	22	1650	6600
76	19	1444	5776
77	23	1771	7084
78	25	1950	7800
79	26	2054	8216
80	16	1280	5120
81	17	1377	5508
82	26	2132	8528
83	13	1079	4316
84	22	1848	7392
85	17	1445	5780
86	23	1978	7912
87	13	1131	4524
88	17	1496	5984
89	15	1335	5340
90	14	1260	5040
91	11	1001	4004
92	16	1472	5888
93	14	1302	5208
94	26	2444	9776
95	16	1520	6080
96	17	1632	6528
97	13	1261	5044
98	15	1470	5880
99	21	2079	8316
100	13	1300	5200
101	10	1010	4040
102	11	1122	4488
103	8	824	3296
104	15	1560	6240
105	15	1575	6300
106	11	1166	4664
107	14	1498	5992
108	13	1404	5616
109	16	1744	6976
110	9	990	3960
111	17	1887	7548
112	13	1456	5824
113	10	1130	4520
114	8	912	3648
115	11	1265	5060
116	13	1508	6032
117	10	1170	4680
118	8	944	3776
119	5	595	2380
120	14	1680	6720
121	10	1210	4840
122	10	1220	4880
123	8	984	3936
124	17	2108	8432
125	10	1250	5000
126	9	1134	4536
127	7	889	3556
128	18	2304	9216
129	10	1290	5160
130	11	1430	5720
131	14	1834	7336
132	13	1716	6864
133	14	1862	7448
134	11	1474	5896
135	5	675	2700
136	13	1768	7072
137	6	822	3288
138	8	1104	4416
139	7	973	3892
140	13	1820	7280
141	8	1128	4512
142	5	710	2840
143	7	1001	4004
144	13	1872	7488
145	6	870	3480
146	6	876	3504
147	9	1323	5292
148	13	1924	7696
149	8	1192	4768
150	6	900	3600
151	14	2114	8456
152	11	1672	6688
153	12	1836	7344
154	6	924	3696
155	7	1085	4340
156	7	1092	4368
157	12	1884	7536
158	6	948	3792
159	6	954	3816
160	7	1120	4480
161	11	1771	7084
162	7	1134	4536
163	9	1467	5868
164	8	1312	5248
165	4	660	2640
166	6	996	3984
167	9	1503	6012
168	9	1512	6048
169	9	1521	6084
170	6	1020	4080
171	10	1710	6840
172	6	1032	4128
173	9	1557	6228
174	15	2610	10440
175	10	1750	7000
176	4	704	2816
177	6	1062	4248
178	7	1246	4984
179	7	1253	5012
180	5	900	3600
181	7	1267	5068
182	4	728	2912
183	12	2196	8784
184	7	1288	5152
185	6	1110	4440
186	8	1488	5952
187	10	1870	7480
188	8	1504	6016
189	8	1512	6048
190	8	1520	6080
191	6	1146	4584
192	7	1344	5376
193	5	965	3860
194	3	582	2328
195	27	5265	21060
196	10	1960	7840
197	4	788	3152
198	6	1188	4752
199	3	597	2388
200	6	1200	4800
201	3	603	2412
202	7	1414	5656
203	3	609	2436
204	3	612	2448
205	5	1025	4100
206	5	1030	4120
207	6	1242	4968
208	4	832	3328
209	9	1881	7524
210	3	630	2520
211	3	633	2532
212	2	424	1696
213	3	639	2556
214	2	428	1712
215	2	430	1720
216	3	648	2592
217	6	1302	5208
218	8	1744	6976
219	3	657	2628
220	7	1540	6160
221	8	1768	7072
222	2	444	1776
223	4	892	3568
224	3	672	2688
225	4	900	3600
226	2	452	1808
227	7	1589	6356
228	7	1596	6384
229	2	458	1832
230	5	1150	4600
231	6	1386	5544
232	4	928	3712
233	3	699	2796
234	5	1170	4680
235	6	1410	5640
236	6	1416	5664
237	2	474	1896
238	6	1428	5712
239	1	239	956
240	3	720	2880
241	7	1687	6748
242	1	242	968
243	4	972	3888
244	5	1220	4880
245	8	1960	7840
246	9	2214	8856
247	1	247	988
248	3	744	2976
249	4	996	3984
250	6	1500	6000
251	1	251	1004
252	5	1260	5040
253	3	759	3036
254	8	2032	8128
255	2	510	2040
256	1	256	1024
257	3	771	3084
258	5	1290	5160
259	1	259	1036
260	6	1560	6240
261	4	1044	4176
262	4	1048	4192
263	4	1052	4208
264	10	2640	10560
265	3	795	3180
266	4	1064	4256
267	3	801	3204
268	6	1608	6432
269	1	269	1076
270	5	1350	5400
271	3	813	3252
272	8	2176	8704
273	3	819	3276
274	2	548	2192
275	5	1375	5500
276	3	828	3312
277	1	277	1108
278	6	1668	6672
279	3	837	3348
280	3	840	3360
281	1	281	1124
282	4	1128	4512
283	2	566	2264
284	3	852	3408
285	7	1995	7980
286	3	858	3432
287	3	861	3444
288	4	1152	4608
289	5	1445	5780
290	3	870	3480
292	2	584	2336
293	3	879	3516
294	3	882	3528
295	3	885	3540
296	5	1480	5920
297	3	891	3564
298	2	596	2384
299	9	2691	10764
300	4	1200	4800
301	3	903	3612
302	3	906	3624
303	4	1212	4848
304	4	1216	4864
305	7	2135	8540
306	1	306	1224
307	1	307	1228
308	2	616	2464
309	3	927	3708
310	3	930	3720
311	1	311	1244
313	3	939	3756
314	2	628	2512
315	1	315	1260
316	1	316	1264
317	4	1268	5072
318	4	1272	5088
319	2	638	2552
320	2	640	2560
321	1	321	1284
322	1	322	1288
323	3	969	3876
324	4	1296	5184
325	4	1300	5200
326	3	978	3912
327	4	1308	5232
328	2	656	2624
329	2	658	2632
330	4	1320	5280
331	6	1986	7944
332	2	664	2656
333	5	1665	6660
334	5	1670	6680
335	1	335	1340
336	1	336	1344
337	2	674	2696
338	2	676	2704
339	1	339	1356
340	3	1020	4080
341	1	341	1364
342	3	1026	4104
343	1	343	1372
344	4	1376	5504
345	5	1725	6900
346	1	346	1384
347	3	1041	4164
348	6	2088	8352
349	1	349	1396
350	2	700	2800
351	1	351	1404
352	1	352	1408
353	2	706	2824
355	2	710	2840
