round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
0,0,0,1,1,0.021656186000000001,0.015165,0.0060599999999999994,48447488,NA,NA,NA,NA,NA,NA,NA,NA,2456,133,5,1,983897be66f7ff7f04661a88c73880d91bf91743af23fdd00007175933a634fb,719,0,1,4
0,0,1,0,1,0.021299678000000002,0.01389,0.0068979999999999996,48324608,NA,NA,NA,NA,NA,NA,NA,NA,2456,133,5,1,983897be66f7ff7f04661a88c73880d91bf91743af23fdd00007175933a634fb,719,0,1,5
0,0,0,1,11,0.027882134000000003,0.02231,0.005071,61980672,NA,NA,NA,NA,NA,NA,NA,NA,106720,39898,2049,512,d0ccf422a7f30edfa55f983c996755983f2d2ad6e9bbc6c0f935ced39b1a5577,363,0,1,6
0,0,1,0,11,0.029846166,0.019082999999999999,0.010036999999999999,61534208,NA,NA,NA,NA,NA,NA,NA,NA,106720,39898,2049,512,d0ccf422a7f30edfa55f983c996755983f2d2ad6e9bbc6c0f935ced39b1a5577,823,0,1,6
0,0,0,0,21,0.17295965300000002,0.14868599999999998,0.021780999999999998,196300800,NA,NA,NA,NA,NA,NA,NA,NA,1931400,711531,19202,64,d890ffe2013d55bacfc58042425333447f691cd20b39beeedc00ff84fec3675e,432,0,1,35
0,0,1,1,21,0.16785351300000001,0.14793899999999999,0.017676000000000001,196812800,NA,NA,NA,NA,NA,NA,NA,NA,1931400,711531,19202,64,d890ffe2013d55bacfc58042425333447f691cd20b39beeedc00ff84fec3675e,483,0,1,36
0,0,0,0,6,0.033400766000000005,0.025734999999999997,0.0068979999999999996,76521472,NA,NA,NA,NA,NA,NA,NA,NA,126304,51085,1029,1,9fc3eaf67292ba55e3a5bd21905fbe751d29f7231508cbc1b1a49a403bf350cf,441,0,1,7
0,0,1,1,6,0.033934741000000004,0.024419999999999997,0.0087569999999999992,75444224,NA,NA,NA,NA,NA,NA,NA,NA,126304,51085,1029,1,9fc3eaf67292ba55e3a5bd21905fbe751d29f7231508cbc1b1a49a403bf350cf,679,0,1,9
0,0,0,1,0,0.020580894000000002,0.014763999999999999,0.0049119999999999997,48627712,NA,NA,NA,NA,NA,NA,NA,NA,2408,133,5,1,8b4f634099df7da6e6f10deb78f98afccc87600e8d2bdcb37fa2299938a70890,805,0,1,6
0,0,1,0,0,0.020448258,0.016892999999999998,0.0029889999999999999,49082368,NA,NA,NA,NA,NA,NA,NA,NA,2408,133,5,1,8b4f634099df7da6e6f10deb78f98afccc87600e8d2bdcb37fa2299938a70890,415,0,1,5
0,0,0,1,9,0.028587105000000002,0.020923000000000001,0.0069589999999999999,61808640,NA,NA,NA,NA,NA,NA,NA,NA,139488,39898,2049,512,fc4a4c61e3a523e9e427cf761c41391ff8305793d1ec721151944137e6ac3dba,410,0,1,7
0,0,1,0,9,0.029591885000000002,0.022279,0.0067559999999999999,61292544,NA,NA,NA,NA,NA,NA,NA,NA,139488,39898,2049,512,fc4a4c61e3a523e9e427cf761c41391ff8305793d1ec721151944137e6ac3dba,807,0,1,6
0,0,0,0,10,0.028073654000000003,0.020676999999999997,0.006855,60874752,NA,NA,NA,NA,NA,NA,NA,NA,106720,39898,2049,512,d0ccf422a7f30edfa55f983c996755983f2d2ad6e9bbc6c0f935ced39b1a5577,690,0,1,5
0,0,1,1,10,0.029622302000000003,0.020895,0.0079659999999999991,61227008,NA,NA,NA,NA,NA,NA,NA,NA,106720,39898,2049,512,d0ccf422a7f30edfa55f983c996755983f2d2ad6e9bbc6c0f935ced39b1a5577,728,0,1,9
0,0,0,0,4,0.045253985000000004,0.03458,0.009868,72896512,NA,NA,NA,NA,NA,NA,NA,NA,155088,51085,1029,1,0c5cc385414c751f3ac875a2ebd178850e136fe2765bc5ecd851946f08b36589,635,0,1,11
0,0,1,1,4,0.045746643000000003,0.034986999999999997,0.009885999999999999,73404416,NA,NA,NA,NA,NA,NA,NA,NA,155088,51085,1029,1,0c5cc385414c751f3ac875a2ebd178850e136fe2765bc5ecd851946f08b36589,674,0,1,9
0,0,0,0,5,0.03250654,0.025786,0.005914,75853824,NA,NA,NA,NA,NA,NA,NA,NA,175696,51085,1029,1,4e1d4e26aa8208b771f6073f5ac66f4fa8a27b040b181bfc3650d076aa55e15e,813,0,1,7
0,0,1,1,5,0.031648111999999999,0.020941999999999999,0.0099600000000000001,75698176,NA,NA,NA,NA,NA,NA,NA,NA,175696,51085,1029,1,4e1d4e26aa8208b771f6073f5ac66f4fa8a27b040b181bfc3650d076aa55e15e,733,0,1,7
0,0,0,0,16,0.098323717000000005,0.082012000000000002,0.014803999999999999,115843072,NA,NA,NA,NA,NA,NA,NA,NA,1054752,235398,3329,64,2c30eaee97085ea3fc09cfd81f09ee629ff1b20eafb6ad01afa787c00d72aa37,798,0,1,21
0,0,1,1,16,0.10736008700000001,0.094574999999999992,0.010916,118022144,NA,NA,NA,NA,NA,NA,NA,NA,1054752,235398,3329,64,2c30eaee97085ea3fc09cfd81f09ee629ff1b20eafb6ad01afa787c00d72aa37,804,0,3,27
0,0,0,0,2,0.020610194000000002,0.014093,0.0060369999999999998,47910912,NA,NA,NA,NA,NA,NA,NA,NA,2408,133,5,1,3d4d37e7dcef36139698862d60d536450dfb480779ac0676046a82e065e8af0f,697,0,1,6
0,0,1,1,2,0.020537221000000001,0.01406,0.0060179999999999999,49356800,NA,NA,NA,NA,NA,NA,NA,NA,2408,133,5,1,3d4d37e7dcef36139698862d60d536450dfb480779ac0676046a82e065e8af0f,426,0,1,6
0,0,0,0,12,0.048900596000000005,0.038974999999999996,0.0090049999999999991,80101376,NA,NA,NA,NA,NA,NA,NA,NA,313824,280189,4101,1,dcf4bf2738e91ec7860b6bedcb9964607e9370f493a7a4e502f794bf6aadbd8e,781,0,1,12
0,0,1,1,12,0.049117282000000005,0.036429999999999997,0.011779,80101376,NA,NA,NA,NA,NA,NA,NA,NA,313824,280189,4101,1,dcf4bf2738e91ec7860b6bedcb9964607e9370f493a7a4e502f794bf6aadbd8e,740,0,1,12
0,0,0,1,3,0.020134963000000002,0.014773999999999999,0.0049239999999999996,48144384,NA,NA,NA,NA,NA,NA,NA,NA,2408,133,5,1,3d4d37e7dcef36139698862d60d536450dfb480779ac0676046a82e065e8af0f,635,0,1,7
0,0,1,0,3,0.020906683000000002,0.014641999999999999,0.0058509999999999994,48902144,NA,NA,NA,NA,NA,NA,NA,NA,2408,133,5,1,3d4d37e7dcef36139698862d60d536450dfb480779ac0676046a82e065e8af0f,350,0,1,3
0,0,0,1,20,0.21816004000000003,0.187582,0.027583999999999997,200163328,NA,NA,NA,NA,NA,NA,NA,NA,1599624,711531,19202,64,dde3a37f70347c5ca34c7e935a6444a0c25fe7e7d771c28a02b06d3897e8da4e,813,0,1,52
0,0,1,0,20,0.21240832600000001,0.19053899999999999,0.018727999999999998,200421376,NA,NA,NA,NA,NA,NA,NA,NA,1599624,711531,19202,64,dde3a37f70347c5ca34c7e935a6444a0c25fe7e7d771c28a02b06d3897e8da4e,917,0,1,55
0,0,0,0,15,0.036108089000000003,0.024504999999999999,0.0097729999999999987,79663104,NA,NA,NA,NA,NA,NA,NA,NA,248248,280189,4101,1,619e72d52a17f98addf1cdfc6cdcffc9e96fd56010941e3494c7cb06ceea3b6f,628,0,1,7
0,0,1,1,15,0.036143715,0.028267999999999998,0.0070489999999999997,80293888,NA,NA,NA,NA,NA,NA,NA,NA,248248,280189,4101,1,619e72d52a17f98addf1cdfc6cdcffc9e96fd56010941e3494c7cb06ceea3b6f,713,0,1,12
0,0,0,0,17,0.08007019600000001,0.068838999999999997,0.0097900000000000001,111017984,NA,NA,NA,NA,NA,NA,NA,NA,946208,235398,3329,64,041d3a9562d723fd3825e4756b360eec40f004a7eb609881d0b0bbb4d1ad650d,654,0,1,20
0,0,1,1,17,0.088464244000000011,0.074121999999999993,0.012796,116215808,NA,NA,NA,NA,NA,NA,NA,NA,946208,235398,3329,64,041d3a9562d723fd3825e4756b360eec40f004a7eb609881d0b0bbb4d1ad650d,835,0,1,22
0,0,0,0,8,0.030341666000000003,0.021714000000000001,0.007892999999999999,62005248,NA,NA,NA,NA,NA,NA,NA,NA,98528,39898,2049,512,4119e98243b098996c072e584c0a67945df18bf0186558dcbd40d3d123b03a4b,417,0,1,8
0,0,1,1,8,0.031257031000000005,0.022665999999999999,0.0078529999999999989,61186048,NA,NA,NA,NA,NA,NA,NA,NA,98528,39898,2049,512,4119e98243b098996c072e584c0a67945df18bf0186558dcbd40d3d123b03a4b,718,0,1,6
0,0,0,0,7,0.033331917000000003,0.021706,0.010825,76517376,NA,NA,NA,NA,NA,NA,NA,NA,126304,51085,1029,1,9fc3eaf67292ba55e3a5bd21905fbe751d29f7231508cbc1b1a49a403bf350cf,365,0,1,7
0,0,1,1,7,0.03319511,0.023562,0.0088329999999999988,76468224,NA,NA,NA,NA,NA,NA,NA,NA,126304,51085,1029,1,9fc3eaf67292ba55e3a5bd21905fbe751d29f7231508cbc1b1a49a403bf350cf,833,0,1,7
0,0,0,1,18,0.080443473000000001,0.064896999999999996,0.014189999999999999,113258496,NA,NA,NA,NA,NA,NA,NA,NA,731168,235398,3329,64,5d50d4b46cd87c5b8b0828c4bdc01a1197a027ca6adfe1ea0b900faf953605fb,646,0,1,18
0,0,1,0,18,0.077160727999999998,0.064812999999999996,0.010973,111091712,NA,NA,NA,NA,NA,NA,NA,NA,731168,235398,3329,64,5d50d4b46cd87c5b8b0828c4bdc01a1197a027ca6adfe1ea0b900faf953605fb,675,0,1,17
0,0,0,0,22,0.17692071700000001,0.15657699999999999,0.017814,196632576,NA,NA,NA,NA,NA,NA,NA,NA,1434248,711531,19202,64,87e095c1e3a0147c00442efdc3fe021787d605e9266d3ad861284a9ce9d07fbd,433,0,1,37
0,0,1,1,22,0.170913178,0.151618,0.016954999999999998,196562944,NA,NA,NA,NA,NA,NA,NA,NA,1434248,711531,19202,64,87e095c1e3a0147c00442efdc3fe021787d605e9266d3ad861284a9ce9d07fbd,434,0,1,38
0,0,0,1,23,0.188826673,0.16325999999999999,0.022865,196947968,NA,NA,NA,NA,NA,NA,NA,NA,1434248,711531,19202,64,87e095c1e3a0147c00442efdc3fe021787d605e9266d3ad861284a9ce9d07fbd,437,0,1,42
0,0,1,0,23,0.19330986,0.16475099999999998,0.025967999999999998,197107712,NA,NA,NA,NA,NA,NA,NA,NA,1434248,711531,19202,64,87e095c1e3a0147c00442efdc3fe021787d605e9266d3ad861284a9ce9d07fbd,553,0,1,35
0,0,0,0,19,0.077485774000000007,0.062133999999999995,0.013991,112070656,NA,NA,NA,NA,NA,NA,NA,NA,731168,235398,3329,64,5d50d4b46cd87c5b8b0828c4bdc01a1197a027ca6adfe1ea0b900faf953605fb,835,0,1,20
0,0,1,1,19,0.082599894000000007,0.070475999999999997,0.010749,114970624,NA,NA,NA,NA,NA,NA,NA,NA,731168,235398,3329,64,5d50d4b46cd87c5b8b0828c4bdc01a1197a027ca6adfe1ea0b900faf953605fb,480,0,1,18
0,0,0,1,13,0.038631037,0.027861999999999998,0.0099319999999999999,79843328,NA,NA,NA,NA,NA,NA,NA,NA,313936,280189,4101,1,ed8cfa60a9ecd3f83f0bae1dfd165a848e27823c788144531bbadec8dd57f9ab,671,0,1,9
0,0,1,0,13,0.035120930000000002,0.024631999999999998,0.0098549999999999992,80957440,NA,NA,NA,NA,NA,NA,NA,NA,313936,280189,4101,1,ed8cfa60a9ecd3f83f0bae1dfd165a848e27823c788144531bbadec8dd57f9ab,433,0,1,7
