round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
0,0,0,0,4,0.19897242900000001,0.16839899999999999,0.0066039999999999996,411549696,NA,NA,NA,NA,NA,NA,NA,NA,3318496,1882629,26625,512,ff2a25ad60d39948f157d4ecadc3b1f099b61e0fa95b5446763968dcc9e0e2de,1229,0,99,22
0,0,1,1,4,0.19567420200000002,0.15576999999999999,0.020760000000000001,411971584,NA,NA,NA,NA,NA,NA,NA,NA,3318496,1882629,26625,512,ff2a25ad60d39948f157d4ecadc3b1f099b61e0fa95b5446763968dcc9e0e2de,788,0,58,22
0,0,0,1,0,0.019707467000000003,0.0044510000000000001,0.0044539999999999996,55521280,NA,NA,NA,NA,NA,NA,NA,NA,2408,135,5,1,3d4d37e7dcef36139698862d60d536450dfb480779ac0676046a82e065e8af0f,1032,0,11,2
0,0,1,0,0,0.019633276000000002,0.0084479999999999989,0,55287808,NA,NA,NA,NA,NA,NA,NA,NA,2408,135,5,1,3d4d37e7dcef36139698862d60d536450dfb480779ac0676046a82e065e8af0f,1026,0,11,3
0,0,0,1,3,0.061062707000000001,0.042419999999999999,0.0070739999999999996,175271936,NA,NA,NA,NA,NA,NA,NA,NA,2034104,2240463,32773,1,ac2c95b5e7d6e8c1837c1873a4de39a4ebe4476436e3f88bac5be95b6d1b5c2c,1122,0,18,10
0,0,1,0,3,0.062766473000000003,0.044655,0.0063829999999999998,174968832,NA,NA,NA,NA,NA,NA,NA,NA,2034104,2240463,32773,1,ac2c95b5e7d6e8c1837c1873a4de39a4ebe4476436e3f88bac5be95b6d1b5c2c,1117,0,39,10
0,0,0,0,5,0.45269523300000003,0.38522000000000001,0.046898999999999996,1028005888,NA,NA,NA,NA,NA,NA,NA,NA,11457352,5690734,153602,512,403312a97a3e99fe27317c1f28b1ff252fafdd2816dd615c6a7e00126747644b,1140,0,192,24
0,0,1,1,5,0.46613452200000005,0.37859699999999996,0.053134000000000001,1028370432,NA,NA,NA,NA,NA,NA,NA,NA,11457352,5690734,153602,512,403312a97a3e99fe27317c1f28b1ff252fafdd2816dd615c6a7e00126747644b,1149,0,65,27
0,0,0,1,1,0.058394573000000005,0.042907000000000001,0.003578,152281088,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1081,0,20,7
0,0,1,0,1,0.061356798000000004,0.043226999999999995,0.0066479999999999994,154439680,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,636,0,23,11
0,0,0,0,2,0.040527397999999999,0.026341999999999997,0.0032959999999999999,131702784,NA,NA,NA,NA,NA,NA,NA,NA,837856,318511,16385,4096,53bcb4b7244f10985ba78b02026020f091907c6c2bc8edcdcc9bf568fb6ba9bf,632,0,26,7
0,0,1,1,2,0.041720967000000005,0.021211999999999998,0.0090879999999999989,133472256,NA,NA,NA,NA,NA,NA,NA,NA,837856,318511,16385,4096,53bcb4b7244f10985ba78b02026020f091907c6c2bc8edcdcc9bf568fb6ba9bf,1074,0,22,6
0,1,0,0,3,0.062160928000000004,0.040541999999999995,0.010121999999999999,174862336,NA,NA,NA,NA,NA,NA,NA,NA,2034104,2240463,32773,1,ac2c95b5e7d6e8c1837c1873a4de39a4ebe4476436e3f88bac5be95b6d1b5c2c,1118,0,40,8
0,1,1,1,3,0.061085609000000006,0.045921999999999998,0.0035349999999999999,175099904,NA,NA,NA,NA,NA,NA,NA,NA,2034104,2240463,32773,1,ac2c95b5e7d6e8c1837c1873a4de39a4ebe4476436e3f88bac5be95b6d1b5c2c,1120,0,50,10
0,1,0,1,4,0.19331608900000002,0.15739400000000001,0.016743999999999998,411934720,NA,NA,NA,NA,NA,NA,NA,NA,3318496,1882629,26625,512,ff2a25ad60d39948f157d4ecadc3b1f099b61e0fa95b5446763968dcc9e0e2de,785,0,114,17
0,1,1,0,4,0.19379753200000002,0.15470100000000001,0.019747000000000001,411529216,NA,NA,NA,NA,NA,NA,NA,NA,3318496,1882629,26625,512,ff2a25ad60d39948f157d4ecadc3b1f099b61e0fa95b5446763968dcc9e0e2de,1224,0,74,15
0,1,0,1,2,0.041332358,0.023479,0.0067199999999999994,133533696,NA,NA,NA,NA,NA,NA,NA,NA,837856,318511,16385,4096,53bcb4b7244f10985ba78b02026020f091907c6c2bc8edcdcc9bf568fb6ba9bf,1075,0,23,6
0,1,1,0,2,0.041159694000000004,0.030010999999999999,0,131313664,NA,NA,NA,NA,NA,NA,NA,NA,837856,318511,16385,4096,53bcb4b7244f10985ba78b02026020f091907c6c2bc8edcdcc9bf568fb6ba9bf,626,0,25,6
0,1,0,0,1,0.060245192000000003,0.027224999999999999,0.021144,154370048,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1082,0,40,9
0,1,1,1,1,0.057864799000000001,0.039733999999999998,0.0066259999999999999,152420352,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1082,0,24,8
0,1,0,0,0,0.018770728,0.0054310000000000001,0.0027129999999999997,55324672,NA,NA,NA,NA,NA,NA,NA,NA,2408,135,5,1,3d4d37e7dcef36139698862d60d536450dfb480779ac0676046a82e065e8af0f,1028,0,12,3
0,1,1,1,0,0.018861119000000003,0.004104,0.004104,55427072,NA,NA,NA,NA,NA,NA,NA,NA,2408,135,5,1,3d4d37e7dcef36139698862d60d536450dfb480779ac0676046a82e065e8af0f,1053,0,12,3
0,1,0,1,5,0.45238740200000005,0.37840499999999999,0.053101999999999996,1028341760,NA,NA,NA,NA,NA,NA,NA,NA,11457352,5690734,153602,512,403312a97a3e99fe27317c1f28b1ff252fafdd2816dd615c6a7e00126747644b,1145,0,108,27
0,1,1,0,5,0.45097342200000001,0.38983299999999999,0.040316999999999999,1028009984,NA,NA,NA,NA,NA,NA,NA,NA,11457352,5690734,153602,512,403312a97a3e99fe27317c1f28b1ff252fafdd2816dd615c6a7e00126747644b,1130,0,95,31
0,2,0,0,5,0.45990849900000003,0.390096,0.039685999999999999,1027964928,NA,NA,NA,NA,NA,NA,NA,NA,11457352,5690734,153602,512,403312a97a3e99fe27317c1f28b1ff252fafdd2816dd615c6a7e00126747644b,1583,0,197,17
