round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
0,0,0,0,4,0.19836653900000001,0.14915299999999998,0.029826999999999999,428527616,NA,NA,NA,NA,NA,NA,NA,NA,5833440,1882629,26625,512,0f41e20848de6408cce7b1c5f57f0212c9401233ca75c7b6652c8ea62bfcd43f,1240,0,177,13
0,0,1,1,4,0.197759031,0.16189000000000001,0.016188999999999999,428507136,NA,NA,NA,NA,NA,NA,NA,NA,5833440,1882629,26625,512,0f41e20848de6408cce7b1c5f57f0212c9401233ca75c7b6652c8ea62bfcd43f,794,0,123,17
0,0,0,1,0,0.019231324000000001,0.0056949999999999995,0.0028499999999999997,55242752,NA,NA,NA,NA,NA,NA,NA,NA,2408,135,5,1,3d4d37e7dcef36139698862d60d536450dfb480779ac0676046a82e065e8af0f,1028,0,13,4
0,0,1,0,0,0.019210535000000001,0.0041209999999999997,0.0041120000000000002,55369728,NA,NA,NA,NA,NA,NA,NA,NA,2408,135,5,1,3d4d37e7dcef36139698862d60d536450dfb480779ac0676046a82e065e8af0f,585,0,12,4
0,0,0,1,3,0.059791842000000005,0.035186999999999996,0.012796,179306496,NA,NA,NA,NA,NA,NA,NA,NA,1968568,2240463,32773,1,c491f4791a93a71124b9219b05e718490cf6bd1c68b1ec8fc6a6550e31f844b1,1125,0,36,9
0,0,1,0,3,0.061505733000000007,0.039194,0.0097879999999999998,179662848,NA,NA,NA,NA,NA,NA,NA,NA,1968568,2240463,32773,1,c491f4791a93a71124b9219b05e718490cf6bd1c68b1ec8fc6a6550e31f844b1,684,0,47,10
0,0,0,0,5,0.43509764200000001,0.38078899999999999,0.033401,1025957888,NA,NA,NA,NA,NA,NA,NA,NA,11457352,5690734,153602,512,388033e7552b3b3255277a47381a62d5067155e67b74e663ad0ac019ed72fc50,1132,0,143,23
0,0,1,1,5,0.44609201000000004,0.37406600000000001,0.043048999999999997,1025802240,NA,NA,NA,NA,NA,NA,NA,NA,11457352,5690734,153602,512,388033e7552b3b3255277a47381a62d5067155e67b74e663ad0ac019ed72fc50,1624,0,252,17
0,0,0,1,1,0.061973930000000003,0.040696999999999997,0.0033899999999999998,156315648,NA,NA,NA,NA,NA,NA,NA,NA,994016,407679,8197,1,76f10b65f44b546f736cef2848789238eb7a5f77ce08b564ccca55b5bdc08f36,1082,0,16,7
0,0,1,0,1,0.055492407000000001,0.037149000000000001,0.0067380000000000001,156528640,NA,NA,NA,NA,NA,NA,NA,NA,994016,407679,8197,1,76f10b65f44b546f736cef2848789238eb7a5f77ce08b564ccca55b5bdc08f36,640,0,22,9
0,0,0,0,2,0.04075397,0.029597999999999999,0,131162112,NA,NA,NA,NA,NA,NA,NA,NA,837856,318511,16385,4096,b4f737276339a7626b246c204b626e79f9d9ec0f1f160233a5aa1c27728af83f,1068,0,24,6
0,0,1,1,2,0.040868685000000002,0.025811999999999998,0.0036839999999999998,131108864,NA,NA,NA,NA,NA,NA,NA,NA,837856,318511,16385,4096,b4f737276339a7626b246c204b626e79f9d9ec0f1f160233a5aa1c27728af83f,1070,0,21,7
0,1,0,0,3,0.060141817000000007,0.038103999999999999,0.010390999999999999,179105792,NA,NA,NA,NA,NA,NA,NA,NA,1968568,2240463,32773,1,c491f4791a93a71124b9219b05e718490cf6bd1c68b1ec8fc6a6550e31f844b1,1120,0,40,9
