round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
0,0,0,1,0,0.058377670000000007,0.036656000000000001,0.0099810000000000003,152023040,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1075,0,18,2
0,0,1,0,0,0.059387412000000001,0.044548999999999998,0.0031719999999999999,154333184,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,626,0,17,3
0,1,0,0,0,0.061007538000000007,0.039424000000000001,0.0098549999999999992,154214400,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1078,0,26,4
0,1,1,1,0,0.061942940000000002,0.046861,0.0033479999999999998,152227840,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1081,0,20,4
0,2,0,1,0,0.057693117000000002,0.039542000000000001,0.0065959999999999994,152326144,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1108,0,20,3
0,2,1,0,0,0.059458136000000002,0.034188999999999997,0.013682,154411008,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,635,0,23,4
0,3,0,0,0,0.059829940000000005,0.038751000000000001,0.0096930000000000002,154087424,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1078,0,22,4
0,3,1,1,0,0.058623370000000001,0.040527000000000001,0.0062329999999999998,152576000,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,640,0,22,4
0,4,0,0,0,0.061485283000000002,0.043261999999999995,0.0066530000000000001,154320896,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1079,0,20,4
0,4,1,1,0,0.057816629000000001,0.039697999999999997,0.0066059999999999999,152305664,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1078,0,22,4
0,5,0,1,0,0.057848168000000005,0.036150000000000002,0.0098689999999999993,152555520,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,638,0,21,4
0,5,1,0,0,0.060831569000000002,0.049091999999999997,0,154107904,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1075,0,45,4
0,6,0,1,0,0.058441499000000001,0.033323999999999999,0.013313999999999999,152150016,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1079,0,22,4
0,6,1,0,0,0.059816085000000005,0.044711000000000001,0.003441,154198016,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1076,0,31,4
0,7,0,0,0,0.060842559000000004,0.039305,0.0098160000000000001,154451968,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1083,0,19,4
0,7,1,1,0,0.057806520000000007,0.033994999999999997,0.012353999999999999,152199168,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1077,0,20,4
0,8,0,0,0,0.059837855000000002,0.047497999999999999,0.00070399999999999998,154411008,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,635,0,27,6
0,8,1,1,0,0.057630290000000001,0.039600999999999997,0.006594,152297472,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1084,0,24,3
0,9,0,1,0,0.057789728000000005,0.039130999999999999,0.0071159999999999999,151941120,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1075,0,22,4
0,9,1,0,0,0.063637646000000006,0.044731,0.0034419999999999997,154308608,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1081,0,41,2
0,10,0,0,0,0.059987837000000002,0.041396999999999996,0.0069019999999999993,154316800,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1079,0,12,3
0,10,1,1,0,0.057600204000000002,0.036239,0.0098839999999999987,152174592,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1079,0,23,3
0,11,0,1,0,0.057335908000000005,0.026241999999999998,0.019695000000000001,152326144,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,633,0,37,4
0,11,1,0,0,0.061222201000000004,0.040334999999999996,0.0093109999999999998,154394624,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1082,0,19,3
0,12,0,0,0,0.059949695000000004,0.032077000000000001,0.016048,154324992,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1080,0,37,3
0,12,1,1,0,0.057679602000000003,0.036857999999999995,0.0092160000000000002,152551424,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,630,0,21,3
0,13,0,1,0,0.057736088000000005,0.046288999999999997,0,152129536,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1079,0,27,3
0,13,1,0,0,0.060605224000000006,0.048975999999999999,0,154419200,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1110,0,20,4
0,14,0,0,0,0.059589221000000005,0.044794,0.0034489999999999998,154304512,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,1079,0,26,4
0,14,1,1,0,0.057591698000000004,0.042484000000000001,0.0035399999999999997,152342528,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,635,0,20,3
0,15,0,1,0,0.057419746000000001,0.045924,0,152469504,NA,NA,NA,NA,NA,NA,NA,NA,1018592,407679,8197,1,20eb35e3894499e2f63cb7de484c538d87cee78f36bdbc9a59f2c383a0ec97fb,637,0,24,4
