round,pair,order,variant,job,wall_seconds,user_seconds,system_seconds,peak_rss_bytes,cycles,instructions,branches,branch_misses,cache_references,cache_misses,arena_calls,arena_bytes,output_bytes,source_bytes,source_lines,source_functions,output_sha256,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
0,0,0,0,4,0.199404837,0.150204,0.030043999999999998,428355584,NA,NA,NA,NA,NA,NA,NA,NA,5833440,1882629,26625,512,0f41e20848de6408cce7b1c5f57f0212c9401233ca75c7b6652c8ea62bfcd43f,1236,0,143,6
0,0,1,1,4,0.19751616800000002,0.152393,0.025944999999999999,428400640,NA,NA,NA,NA,NA,NA,NA,NA,5833440,1882629,26625,512,0f41e20848de6408cce7b1c5f57f0212c9401233ca75c7b6652c8ea62bfcd43f,1254,0,129,4
0,0,0,1,0,0.019942616,0.0084919999999999995,0,55709696,NA,NA,NA,NA,NA,NA,NA,NA,2408,135,5,1,3d4d37e7dcef36139698862d60d536450dfb480779ac0676046a82e065e8af0f,583,0,12,3
0,0,1,0,0,0.018390168000000002,0.0051770000000000002,0.002588,55255040,NA,NA,NA,NA,NA,NA,NA,NA,2408,135,5,1,3d4d37e7dcef36139698862d60d536450dfb480779ac0676046a82e065e8af0f,1028,0,15,3
0,0,0,1,3,0.059774029000000006,0.044484999999999997,0.0034249999999999997,179621888,NA,NA,NA,NA,NA,NA,NA,NA,1968568,2240463,32773,1,c491f4791a93a71124b9219b05e718490cf6bd1c68b1ec8fc6a6550e31f844b1,681,0,42,4
0,0,1,0,3,0.059870691000000004,0.048381999999999994,0,181252096,NA,NA,NA,NA,NA,NA,NA,NA,1968568,2240463,32773,1,c491f4791a93a71124b9219b05e718490cf6bd1c68b1ec8fc6a6550e31f844b1,1125,0,36,4
0,0,0,0,5,0.44640429200000004,0.37417999999999996,0.043448000000000001,1023762432,NA,NA,NA,NA,NA,NA,NA,NA,11457352,5690734,153602,512,388033e7552b3b3255277a47381a62d5067155e67b74e663ad0ac019ed72fc50,1137,0,234,7
0,0,1,1,5,0.43995516900000003,0.379361,0.036927000000000001,1025814528,NA,NA,NA,NA,NA,NA,NA,NA,11457352,5690734,153602,512,388033e7552b3b3255277a47381a62d5067155e67b74e663ad0ac019ed72fc50,1585,0,169,6
0,0,0,1,1,0.056070701000000001,0.044427999999999995,0,156389376,NA,NA,NA,NA,NA,NA,NA,NA,994016,407679,8197,1,76f10b65f44b546f736cef2848789238eb7a5f77ce08b564ccca55b5bdc08f36,1084,0,25,5
0,0,1,0,1,0.055457532000000004,0.036603999999999998,0.0073209999999999994,156344320,NA,NA,NA,NA,NA,NA,NA,NA,994016,407679,8197,1,76f10b65f44b546f736cef2848789238eb7a5f77ce08b564ccca55b5bdc08f36,1083,0,18,3
