# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cpu/cycles/Pu'
# Event count (approx.): 7802321905
#
# Children      Self  Command      Shared Object         Symbol
# ........  ........  ...........  ....................  ................................................................
#
    99.99%     0.00%  main_thread  ide-baseline          [.] _start
    99.99%     0.00%  main_thread  ide-baseline          [.] buster_entry_point (inlined)
    99.99%     0.00%  main_thread  ide-baseline          [.] entry_point
    99.99%     0.00%  main_thread  ide-baseline          [.] main
    99.99%     0.00%  main_thread  ide-baseline          [.] run_c_compiler (inlined)
    99.99%     0.00%  main_thread  libc.so.6             [.] __libc_start_main
    99.99%     0.00%  main_thread  libc.so.6             [.] 0x00007f3f98427781
    96.26%     0.00%  main_thread  ide-baseline          [.] compiler_driver_execute_c_single
    96.26%     0.00%  main_thread  ide-baseline          [.] compiler_driver_execute_invocation
    55.09%     0.00%  main_thread  ide-baseline          [.] c_analyze_with_options (inlined)
    29.77%     0.33%  main_thread  ide-baseline          [.] c_analyze_semantics_core
    25.29%     1.45%  main_thread  ide-baseline          [.] c_lower_to_ir_with_options
    25.05%     0.02%  main_thread  ide-baseline          [.] codegen_generate_canonical_module_with_trace
    24.51%     0.65%  main_thread  ide-baseline          [.] codegen_generate_canonical_module_attempt
    24.40%     5.33%  main_thread  ide-baseline          [.] c_parse_validate_lowering_constraints
    15.44%     0.00%  main_thread  ide-baseline          [.] c_ir_lower_body
    15.39%     0.26%  main_thread  ide-baseline          [.] c_ir_lower_dispatch_run
    15.39%     0.00%  main_thread  ide-baseline          [.] c_ir_lower_frame_fallback (inlined)
    11.38%     0.00%  main_thread  ide-baseline          [.] ir_prepare_canonical_module
    10.35%     0.02%  main_thread  ide-baseline          [.] machine_predicate_placement_build
     8.56%     3.19%  main_thread  ide-baseline          [.] machine_fast_placement_build_prepassed
     7.56%     0.24%  main_thread  ide-baseline          [.] c_parse_infer_initializer_array_count_core
     7.43%     0.02%  main_thread  ide-baseline          [.] c_parse_validate_initializer_shape
     7.35%     3.94%  main_thread  ide-baseline          [.] c_type_parse_machine_run
     7.19%     0.88%  main_thread  ide-baseline          [.] c_parse_expression_type_query
     7.14%     0.00%  main_thread  ide-baseline          [.] c_ir_lower_body_step (inlined)
     6.89%     1.24%  main_thread  ide-baseline          [.] c_ir_lower_expression_core_step
     6.80%     0.04%  main_thread  ide-baseline          [.] machine_select_canonical_function_internal
