F	B	C	base_bits	proto_bits	base_words	proto_words	base_visits	proto_visits	slots	colorable	blocks	same_object
64	256	16	246259	135603	2595	1730	881	881	147	83	865	yes
64	256	64	768259	620739	8071	6918	1217	1217	387	323	1153	yes
64	1024	16	923635	518067	9507	6338	3185	3185	147	83	3169	yes
64	1024	64	2551555	2109123	24199	20742	3521	3521	387	323	3457	yes
256	256	16	578227	135603	5190	1730	881	881	339	83	865	yes
256	256	64	1210819	620739	11530	6918	1217	1217	579	323	1153	yes
256	1024	16	2140339	518067	19014	6338	3185	3185	339	83	3169	yes
256	1024	64	3878851	2109123	34570	20742	3521	3521	579	323	3457	yes
1024	256	16	1906099	135603	15570	1730	881	881	1107	83	865	yes
1024	256	64	2981059	620739	25366	6918	1217	1217	1347	323	1153	yes
1024	1024	16	7007155	518067	57042	6338	3185	3185	1107	83	3169	yes
1024	1024	64	9188035	2109123	76054	20742	3521	3521	1347	323	3457	yes
