### after_preprocess: monotonic_ranges=504 resident=385.6MB | scratch_regions=1 resident_lb=6.1MB span_ub=6.9MB
  mono res=  137.33MB handed=    384.2MB n=  144 c_source.c:2651:c_lex_dispatch
  mono res=  114.29MB handed=    384.2MB n=  144 c_source.c:647:c_translate_source
  mono res=   57.40MB handed=    126.2MB n=   92 c_source.c:648:c_translate_source
  mono res=   23.89MB handed=     30.0MB n=   48 c_source.c:2652:c_lex_dispatch
  mono res=   23.24MB handed=     23.0MB n=   45 c_source.c:103:c_space_allocate
  mono res=   18.83MB handed=     20.9MB n=    8 c_source.c:266:c_source_map_append
  mono res=    5.52MB handed=      5.5MB n=    3 c_source.c:3218:c_symbol_intern
  mono res=    1.98MB handed=      2.0MB n=    4 c_source.c:3207:c_symbol_intern
  mono res=    1.00MB handed=      1.0MB n=    4 c_source.c:2855:c_macro_index_rebuild
  mono res=    0.68MB handed=      0.7MB n=    1 c_source.c:361:c_source_map_publish
  mono res=    0.48MB handed=      0.5MB n=    4 c_source.c:869:c_translate_source
  mono res=    0.40MB handed=      0.4MB n=    1 c_source.c:3371:c_symbol_table_create
  mono res=    0.26MB handed=      0.2MB n=    3 c_source.c:3961:c_macro_expansion_tasks_reserve
  mono res=    0.14MB handed=      0.1MB n=    1 c_source.c:9457:c_preprocess
  mono res=    0.10MB handed=      0.1MB n=    1 c_source.c:3602:c_token_stream_reserve
  mono res=    0.07MB handed=      0.1MB n=    1 c_source.c:3370:c_symbol_table_create
  scratch region 73: span=6.9MB max_single_res=6.1MB ranges=2 sites=[('c_source.c:103:c_space_allocate', 2)]
### after_parse: monotonic_ranges=505 resident=387.4MB | scratch_regions=1 resident_lb=6.1MB span_ub=6.9MB
  mono res=  137.33MB handed=    384.2MB n=  144 c_source.c:2651:c_lex_dispatch
  mono res=  114.29MB handed=    384.2MB n=  144 c_source.c:647:c_translate_source
  mono res=   57.40MB handed=    126.2MB n=   92 c_source.c:648:c_translate_source
  mono res=   23.89MB handed=     30.0MB n=   48 c_source.c:2652:c_lex_dispatch
  mono res=   23.24MB handed=     23.0MB n=   45 c_source.c:103:c_space_allocate
  mono res=   18.83MB handed=     20.9MB n=    8 c_source.c:266:c_source_map_append
  mono res=    5.52MB handed=      5.5MB n=    3 c_source.c:3218:c_symbol_intern
  mono res=    1.98MB handed=      2.0MB n=    4 c_source.c:3207:c_symbol_intern
  mono res=    1.83MB handed=     14.4MB n=    1 c_parse.c:16959:c_parse_ast
  mono res=    1.00MB handed=      1.0MB n=    4 c_source.c:2855:c_macro_index_rebuild
  mono res=    0.68MB handed=      0.7MB n=    1 c_source.c:361:c_source_map_publish
  mono res=    0.48MB handed=      0.5MB n=    4 c_source.c:869:c_translate_source
  mono res=    0.40MB handed=      0.4MB n=    1 c_source.c:3371:c_symbol_table_create
  mono res=    0.26MB handed=      0.2MB n=    3 c_source.c:3961:c_macro_expansion_tasks_reserve
  mono res=    0.14MB handed=      0.1MB n=    1 c_source.c:9457:c_preprocess
  mono res=    0.10MB handed=      0.1MB n=    1 c_source.c:3602:c_token_stream_reserve
  mono res=    0.07MB handed=      0.1MB n=    1 c_source.c:3370:c_symbol_table_create
  scratch region 73: span=6.9MB max_single_res=6.1MB ranges=2 sites=[('c_source.c:103:c_space_allocate', 2)]
### after_analyze: monotonic_ranges=2773 resident=1170.2MB | scratch_regions=5 resident_lb=47.5MB span_ub=119.9MB
  mono res=  281.04MB handed=    297.3MB n= 1172 c_gen.c:50655:c_lower_to_ir_with_options
  mono res=  137.33MB handed=    384.2MB n=  144 c_source.c:2651:c_lex_dispatch
  mono res=  114.29MB handed=    384.2MB n=  144 c_source.c:647:c_translate_source
  mono res=   65.97MB handed=     68.8MB n=  329 c_gen.c:50653:c_lower_to_ir_with_options
  mono res=   57.40MB handed=    126.2MB n=   92 c_source.c:648:c_translate_source
  mono res=   47.30MB handed=     46.4MB n=  235 c_gen.c:50663:c_lower_to_ir_with_options
  mono res=   46.98MB handed=     50.9MB n=   75 c_gen.c:47813:c_ir_global_initializer
  mono res=   31.49MB handed=     30.8MB n=  164 c_gen.c:50661:c_lower_to_ir_with_options
  mono res=   25.19MB handed=     25.0MB n=   46 c_parse.c:1512:c_parse_type_layout_core
