# c_conditional_number calls during one stage-1 unity compile (trusted build/Release/ide inputs), grouped
# base	digits	suffix_bytes	separators	result	calls
8	1	1	0	1	9807
8	1	2	0	1	5
8	1	3	0	1	6
8	2	0	0	1	42
8	4	0	0	1	50
8	4	1	0	1	3
8	5	0	0	1	6
8	7	0	0	1	76
8	8	0	0	1	21
10	1	0	0	1	1418589
10	1	1	0	1	53794
10	1	2	0	1	838
10	1	3	0	1	1013
10	2	0	0	1	101301
10	2	1	0	1	20839
10	2	2	0	1	69
10	2	3	0	1	7
10	3	0	0	1	66507
10	3	1	0	1	76265
10	4	0	0	1	103430
10	4	1	0	1	71791
10	4	2	0	1	6
10	5	0	0	1	84990
10	5	1	0	1	7313
10	6	0	0	1	48643
10	6	1	0	1	215
10	6	2	0	1	3
10	7	0	0	1	144
10	7	1	0	1	104
10	8	0	0	1	12
10	9	0	0	1	4732
10	9	1	0	1	16
10	9	2	0	1	5
10	10	0	0	1	37019
10	10	1	0	1	18798
10	10	2	0	1	6
10	10	3	0	1	4
10	13	2	0	1	12
10	13	3	0	1	6
10	15	2	0	1	6
10	19	1	0	1	585
10	19	2	0	1	14
10	19	3	0	1	31
10	20	2	0	1	1350
10	20	3	0	1	46
16	1	0	0	1	426
16	1	1	0	1	190
16	1	2	0	1	23
16	2	0	0	1	279527
16	2	1	0	1	1426
16	2	2	0	1	272
16	2	3	0	1	4
16	3	0	0	1	175
16	3	1	0	1	320
16	3	2	0	1	40
16	4	0	0	1	2998
16	4	1	0	1	219
16	4	2	0	1	123
16	4	3	0	1	4
16	5	0	0	1	50
16	5	1	0	1	197
16	5	2	0	1	23
16	6	0	0	1	16
16	6	1	0	1	82
16	6	2	0	1	7
16	7	1	0	1	47
16	8	0	0	1	2817
16	8	1	0	1	65665
16	8	2	0	1	175
16	8	3	0	1	16
16	9	2	0	1	9
16	11	2	0	1	3
16	14	2	0	1	4
16	15	0	0	1	12
16	15	2	0	1	96
16	16	0	0	1	244
16	16	1	0	1	3
16	16	2	0	1	28881
16	16	3	0	1	227
