# Source: run 36142767360, job 108096360334, artifact 10866943297.
# Tested compiler source: 83c5f229288ecd8e23588c11b9ad19edc8bf4be2, tree b310e6573e6c89c618f8466941be4b995021a410.
# Artifact ZIP SHA256: d41110bc31b13b0f2cf0c6d538bf0ea8edcf530712c6dc6b6c0d85281967121f.
# Compiler SHA256: bffe495cd07b4841a42d7c3aa137fae88ac31d2edb7983e59e01a3547e985dfa.
# All 160 compilations exit 0; all compile/runtime timeout flags false; unrun.json = [].
# Every case expects runtime exit 0. Bit 0 means wrong expression result; bit 1 means wrong stored value.
# Profile order p0..p15: Clang O0,O2,ASan+UBSan O1; GCC O0,O2,ASan+UBSan O1;
# Buster O0 NONE SSA,memory; MIR_STACK SSA,memory; FAST SSA,memory; QUALITY SSA,memory; FAST O2 SSA,memory.
# Source bytes are generated by ../atomic_compound_confirm.py; hashes below authenticate them.
# For each row, compile command id = first_compile + 2*profile_index; runtime command id = compile id + 1.
# Command JSONL and commands/NNNNN.stdout/stderr in the artifact retain actual argv and raw streams.
case	source_sha256	first_compile	p0	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15
byte_add	f28434b9330a55c122bdac40a8a314a7782d59bd9299e0de69761cda13d0b14d	6	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
byte_sub	ea6a45c5f1b95a8a440606aa1a676d266a99d182038abe751bbc5c784f770718	38	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
short_add	d729d3f1147640d4a390074ee6425b4e63cfdd0392d035ab198d43dbc5026372	70	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
byte_preinc	9a9256177cd6958ff8ffc9ed4bc3b9649a4000a405535cb8843227b7e74eaa3e	102	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1
byte_postinc_control	fe76f47c43adb174e3542d4ce8d9601b71e08ed5cefffc4e6e2ffb3f9b2a3b37	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
byte_cast_control	12bf71aa3f3308050b40990b351c9169980305a7b7124c88e51f84ba295958ab	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
float_precision	9c1e9103188d5ee96c3d280d25886924968a1e9e3404573fa05606cb8ceeb43f	198	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3
integer_fraction	8167c0a8498933bdea86c7bcffda278b0562af6d6f634339baa913c6474bba7a	230	3	3	3	0	0	0	3	3	3	3	3	3	3	3	3	3
byte_nonwrap_control	bec1344f2e48dadb166e47937566b709e6c888b9ad65941213a314ceddbea8ec	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ordinary_byte_control	dcfa60efbc46191da5f26727b39995209ae4bd84f9020bcaff4756188b701569	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
# Exact observer.c stdout (the observer deliberately returns 0; its exit is not a correctness assertion):
# Clang, compile 326 / run 327: byte=0 result=0 floating=-0x1p-24 result=-0x1p-24 integer=-1 result=-1
# GCC, compile 328 / run 329: byte=0 result=0 floating=-0x1p-24 result=-0x1p-24 integer=0 result=0
# Buster FAST SSA O0, compile 330 / run 331: byte=0 result=256 floating=0x0p+0 result=0x0p+0 integer=-1 result=-1
# Buster observer verifier stdout: CODEGEN_VERIFY version=1 ir=1 mir=1 scheduled=0 allocator=fast
# Clang version: Ubuntu clang version 21.1.8 (6ubuntu1).
# GCC version: gcc (Ubuntu 15.2.0-16ubuntu1) 15.2.0.
# Independent reference disagreement on integer_fraction is retained, not turned into agreement or a passing outcome.
